ID,Description,GeneRatio,n,N,BgRatio,b,B,pvalue,p.adjust,qvalue,geneID,Count,EnrichmentScore,group,sample
GO:0001732,formation of cytoplasmic translation initiation complex,12/80,12,80,12/8164,12,8164,3.3185355135756635e-25,5.349479247883969e-22,4.652936109560826e-22,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/EIF3K/EIF3E/EIF3L/EIF3B/EIF3F/EIF3D/EIF3J,12,102.05,GO BP,Co-IP
GO:1905214,regulation of RNA binding,6/80,6,80,10/8164,10,8164,1.4901105479422055e-10,1.501286377051772e-8,1.3058074012230382e-8,EIF4G1/EIF3E/EIF3D/NCBP1/EIF4A3/FMR1,6,61.23,GO BP,Co-IP
GO:0002183,cytoplasmic translational initiation,14/80,14,80,28/8164,28,8164,8.207767737089544e-22,6.615460796094172e-19,5.7540771714754075e-19,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/EIF4G1/EIF3K/EIF3E/EIF3L/EIF3B/EIF3F/EIF3D/EIF3J/EIF4B,14,51.025,GO BP,Co-IP
GO:0019081,viral translation,6/80,6,80,14/8164,14,8164,2.065377385398424e-9,1.7523096554011892e-7,1.5241455276181169e-7,EIF3A/EIF3G/EIF3L/EIF3B/EIF3F/EIF3D,6,43.73571428571429,GO BP,Co-IP
GO:0075522,IRES-dependent viral translational initiation,4/80,4,80,10/8164,10,8164,1.7169240392541705e-6,6.436468723901682e-5,5.5983912369315924e-5,EIF3A/EIF3B/EIF3F/EIF3D,4,40.82,GO BP,Co-IP
GO:0034063,stress granule assembly,4/80,4,80,14/8164,14,8164,7.943182771424177e-6,2.5106687504972104e-4,2.18376046471352e-4,DDX3X/ATXN2L/ATXN2/G3BP2,4,29.15714285714286,GO BP,Co-IP
GO:0061158,3'-UTR-mediated mRNA destabilization,3/80,3,80,11/8164,11,8164,1.4128823126905273e-4,0.0033993526687419854,0.0029567309355911747,UPF1/HNRNPD/DHX36,3,27.83181818181818,GO BP,Co-IP
GO:0002181,cytoplasmic translation,16/80,16,80,74/8164,74,8164,6.421311938328282e-18,2.070230968917038e-15,1.800671053021742e-15,EIF3I/EIF3H/EIF3M/EIF3A/EIF3G/EIF4G1/EIF3K/EIF3E/EIF3L/EIF3B/EIF3F/EIF3D/EIF3J/DHX36/EIF4B/FMR1,16,22.06486486486487,GO BP,Co-IP
GO:1904353,regulation of telomere capping,5/80,5,80,24/8164,24,8164,2.925350933999273e-6,1.0479257123570729e-4,9.11477764698721e-5,USP7/HNRNPD/MAP3K4/NBN/RAD50,5,21.260416666666668,GO BP,Co-IP
GO:0031954,positive regulation of protein autophosphorylation,3/80,3,80,15/8164,15,8164,3.787404994750093e-4,0.008250401150725877,0.007176135779526492,NBN/RAD50/MRE11,3,20.41,GO BP,Co-IP
GO:0006446,regulation of translational initiation,12/80,12,80,65/8164,65,8164,8.867210532183497e-13,1.4293943377879797e-10,1.24327625567036e-10,EIF3H/EIF4G1/DDX3X/EIF3K/EIF3E/EIF3B/KHDRBS1/NCBP1/DDX1/EIF4G3/EIF4B/FMR1,12,18.84,GO BP,Co-IP
GO:0019080,viral gene expression,8/80,8,80,52/8164,52,8164,3.1619694001436154e-8,2.216128118709351e-6,1.9275712773415545e-6,EIF3A/EIF3G/TRIM27/EIF3L/EIF3B/EIF3F/EIF3D/TRIM21,8,15.7,GO BP,Co-IP
GO:0016233,telomere capping,6/80,6,80,39/8164,39,8164,1.8465716580358953e-6,6.765167074440597e-5,5.88429054665984e-5,USP7/HNRNPD/MAP3K4/NBN/RAD50/MRE11,6,15.7,GO BP,Co-IP
GO:0032206,positive regulation of telomere maintenance,7/80,7,80,47/8164,47,8164,3.0498625729839023e-7,1.3287509372027163e-5,1.1557373960781105e-5,HNRNPD/MAP3K4/PPP1R10/NBN/RAD50/MRE11/DHX36,7,15.198936170212766,GO BP,Co-IP
