Id,entrezgene_id,Mutu_HL_Ratio,Mutu_Intensity,MutuSignif,U2932_HL_Ratio,U2932_Intensity,U2932Signif
FGA,2243,90.06,475550000,TRUE,NA,NA,NA
EIF3I,8668,42.681,2684100000,TRUE,32.419,24315000000,TRUE
EIF3H,8667,35.473,2225200000,TRUE,17.941,1022800000,TRUE
EIF3M,10480,31.108,2497900000,TRUE,56.936,3757100000,TRUE
EIF3A,8661,21.802,173660000,TRUE,25.794,33645000000,TRUE
PDCD4,27250,20.482,2281000000,TRUE,12.624,231970000,TRUE
EIF3C,8663,19.337,1519600000,TRUE,26.037,30087000000,TRUE
EIF3G,8666,18.103,1634900000,TRUE,21.612,2890400000,TRUE
EIF4G1,1981,17.84,159980000,TRUE,27.848,11588000000,TRUE
DDX3X,1654,17.052,99320000000,TRUE,27.367,1.108E+11,TRUE
TRIM27,5987,16.901,702130000,TRUE,NA,NA,NA
EIF3K,27335,15.827,1281000000,TRUE,20.571,8372700000,TRUE
EIF3E,3646,15.665,2388500000,TRUE,25.653,23690000000,TRUE
PYCR2,29920,15.443,153860000,TRUE,1.9781,117640000,FALSE
LSM12,124801,15.371,98001000,TRUE,NA,NA,NA
EIF3L,51386,15.31,4166700000,TRUE,50.055,31792000000,TRUE
EIF3B,8662,14.912,3572900000,TRUE,22.772,34294000000,TRUE
USP7,7874,14.63,718580000,TRUE,3.1238,684430000,FALSE
ATXN2L,11273,14.096,57682000,TRUE,9.2566,588420000,TRUE
KHDRBS1,10657,13.479,155080000,TRUE,2.7065,372040000,FALSE
CARMIL1,55604,13.476,193620000,TRUE,NA,NA,NA
PABPC1,26986,12.636,3566600000,TRUE,11.065,18678000000,TRUE
EIF4E,1977,12.469,163430000,TRUE,20.736,2361100000,TRUE
UPF1,5976,12.164,167080000,TRUE,4.1784,793220000,TRUE
EIF3F,8665,11.902,2934300000,TRUE,18.329,5658900000,TRUE
PRMT1,3276,11.598,573130000,TRUE,1.3807,203810000,FALSE
PYCR1,5831,11.111,64500000,TRUE,1.7492,628760000,FALSE
AGL,178,10.967,34228000,TRUE,0.66285,27543000,FALSE
XPNPEP3,63929,10.942,604380000,TRUE,NA,NA,NA
EWSR1,2130,10.935,81181000,TRUE,4.2205,200010000,TRUE
NUFIP2,57532,10.081,119870000,TRUE,11.984,64534000,TRUE
PABPC4,8761,9.4206,343160000,TRUE,15.309,2915400000,TRUE
CAPRIN1,4076,9.1048,223240000,TRUE,NA,NA,NA
LRRC74A,145497,8.6795,127350000,TRUE,3.6534,192680000,FALSE
EIF3D,8664,8.5644,418040000,TRUE,20.72,14115000000,TRUE
USP10,9100,8.4935,62544000,TRUE,6.473,112910000,TRUE
PRMT5,10419,8.0045,163190000,TRUE,0.96466,561200000,FALSE
HNRNPA3,220988,7.7961,411310000,TRUE,NA,NA,NA
MATR3,9782,7.6052,304880000,TRUE,3.8818,1872800000,FALSE
CAPZA1,829,7.5525,490320000,TRUE,1.2447,10706000000,FALSE
DDX17,10521,7.5387,789380000,TRUE,2.8745,5988200000,FALSE
NCBP1,4686,7.2664,41128000,TRUE,2.8292,95256000,FALSE
RPS3,6188,7.2266,2491300000,TRUE,1.5345,3749100000,FALSE
HNRNPD,3184,7.1475,306350000,TRUE,NA,NA,NA
DDX1,1653,7.0361,147900000,TRUE,4.1381,1483200000,TRUE
SFPQ,6421,6.9238,305570000,FALSE,0.76978,469870000,FALSE
WDR77,79084,6.8274,198430000,FALSE,0.9746,33486000,FALSE
CSDE1,7812,6.7612,108150000,FALSE,1.7282,76352000,FALSE
HNRNPU,3192,6.7101,181480000,FALSE,2.1902,425760000,FALSE
FUS,2521,6.7069,302060000,FALSE,2.0831,241370000,FALSE
CAPZB,832,6.6212,404870000,FALSE,1.25,11265000000,FALSE
USP9X,8239,6.6106,90522000,FALSE,1.8329,71061000,FALSE
CSNK2B,1460,6.4498,28826000,FALSE,5.324,386220000,TRUE
DHX15,1665,6.3165,85636000,FALSE,2.058,1250200000,FALSE
HNRNPUL1,11100,6.265,10011000,FALSE,2.7187,470120000,FALSE
HNRNPK,3190,6.2491,3164600000,FALSE,2.3899,4283500000,FALSE
ELAVL1,1994,6.2439,121360000,FALSE,2.4925,544820000,FALSE
DAP3,7818,6.1065,52763000,FALSE,NA,NA,NA
ILF2,3608,6.0631,107290000,FALSE,2.0388,472620000,FALSE
C1QBP,708,5.8984,466030000,FALSE,0.57134,273320000,FALSE
RPS14,6208,5.8832,213050000,FALSE,1.0864,1162600000,FALSE
RTCB,51493,5.8291,118840000,FALSE,3.8846,270430000,FALSE
RPS16,6217,5.8214,170040000,FALSE,1.2627,2246100000,FALSE
EIF4A1,1973,5.7948,654040000,FALSE,1.7946,775390000,FALSE
CCT2,10576,5.7674,875810000,FALSE,1.143,801620000,FALSE
CPSF1,29894,5.7455,15792000,FALSE,4.0207,251540000,TRUE
CPSF2,53981,5.7029,53436000,FALSE,5.5779,95141000,TRUE
PTBP1,5725,5.702,229520000,FALSE,2.0524,517330000,FALSE
HNRNPH1,3187,5.6998,1833700000,FALSE,0.77887,9959700,FALSE
ERP44,23071,5.6911,800710000,FALSE,10.503,474320000,TRUE
MAGOHB,55110,5.5967,47812000,FALSE,NA,NA,NA
CCT8,10694,5.5549,700240000,FALSE,1.1473,1361100000,FALSE
ARHGEF2,9181,5.3239,8098500,FALSE,17.12,6735900000,TRUE
CSNK2A1,1457,5.2523,64376000,FALSE,NA,NA,NA
AGO2,27161,5.1803,13543000,FALSE,3.7238,108000000,FALSE
CCT6A,908,5.1326,450520000,FALSE,1.1729,1563600000,FALSE
CPSF7,79869,5.1109,14035000,FALSE,1.9613,58954000,FALSE
PGAM5,192111,5.0628,35646000,FALSE,2.0751,1639500000,FALSE
EIF4A2,1974,5.0622,19116000,FALSE,NA,NA,NA
NUDT21,11051,5.0119,239530000,FALSE,1.8198,395940000,FALSE
DDX6,1656,4.9401,98594000,FALSE,NA,NA,NA
NKRF,55922,4.741,13574000,FALSE,NA,NA,NA
UBAP2L,9898,4.7367,6989100,FALSE,4.2218,61959000,TRUE
CCT4,10575,4.7349,363080000,FALSE,1.1303,1054900000,FALSE
NONO,4841,4.721,59216000,FALSE,0.72514,935230000,FALSE
LAS1L,81887,4.7035,45532000,FALSE,1.1417,31295000,FALSE
SRSF1,6426,4.6957,31823000,FALSE,1.1219,219600000,FALSE
EIF4A3,9775,4.628,168040000,FALSE,4.264,602560000,TRUE
HNRNPM,4670,4.6092,2017500000,FALSE,1.7826,2542700000,FALSE
RPS27,6232,4.5937,62826000,FALSE,1.006,799010000,FALSE
CCT7,10574,4.5916,207650000,FALSE,1.1042,963430000,FALSE
PPP2R2A,5520,4.5658,45018000,FALSE,NA,NA,NA
MRPS22,56945,4.5655,42839000,FALSE,1.4039,54153000,FALSE
SNRPD2,6633,4.5448,10660000,FALSE,1.0385,349690000,FALSE
DDX5,1655,4.5259,454120000,FALSE,3.2508,918860000,FALSE
NCL,4691,4.5252,213540000,FALSE,0.89134,654080000,FALSE
CCT5,22948,4.4117,343400000,FALSE,1.1499,1417400000,FALSE
RPLP0,6175,4.4013,1213700000,FALSE,1.5608,8007700000,FALSE
CHERP,10523,4.3849,23250000,FALSE,2.4555,184910000,FALSE
IGF2BP3,10643,4.3775,39457000,FALSE,1.6803,441290000,FALSE
CCT3,7203,4.3339,235800000,FALSE,1.086,1027700000,FALSE
SF1,7536,4.2812,16867000,FALSE,1.441,92085000,FALSE
EDC4,23644,4.2771,21079000,FALSE,1.871,69042000,FALSE
RPL12,6136,4.2769,911390000,FALSE,1.6693,4814700000,FALSE
DHX9,1660,4.2541,77745000,FALSE,1.2875,384090000,FALSE
HNRNPL,3191,4.2448,36047000,FALSE,1.6195,126560000,FALSE
YTHDF2,51441,4.2122,8186700,FALSE,2.952,22116000,FALSE
HMGB2,3148,4.2045,21791000,FALSE,0.77328,84128000,FALSE
RFC4,5984,4.1902,29777000,FALSE,NA,NA,NA
RPL11,6135,4.1251,305210000,FALSE,1.112,571030000,FALSE
