Gene_names.x,Mutu_HL_Ratio,Mutu_Intensity,MutuSignif,Gene_names_rep,Gene_names.y,U2932_HL_Ratio,U2932_Intensity,U2932Signif,ApprovedSymbol,entrezgene_id
FGA,90.06,475550000,TRUE,FGA,NA,NA,NA,NA,FGA,2243
EIF3S2;EIF3I,42.681,2684100000,TRUE,EIF3I,EIF3S2;EIF3I,32.419,24315000000,TRUE,EIF3I,8668
EIF3S3;EIF3H,35.473,2225200000,TRUE,EIF3H,EIF3S3;EIF3H,17.941,1022800000,TRUE,EIF3H,8667
EIF3M,31.108,2497900000,TRUE,EIF3M,EIF3M,56.936,3757100000,TRUE,EIF3M,10480
EIF3M,31.108,2497900000,TRUE,EIF3M,EIF3M,0.85321,57225000,FALSE,EIF3M,10480
EIF3A,21.802,173660000,TRUE,EIF3A,EIF3A,25.794,33645000000,TRUE,EIF3A,8661
PDCD4,20.482,2281000000,TRUE,PDCD4,PDCD4,12.624,231970000,TRUE,PDCD4,27250
EIF3C;EIF3CL,19.337,1519600000,TRUE,EIF3C,EIF3C;EIF3CL,26.037,30087000000,TRUE,EIF3C,8663
EIF3S4;EIF3G,18.103,1634900000,TRUE,EIF3G,EIF3S4;EIF3G,21.612,2890400000,TRUE,EIF3G,8666
EIF4G1;EIF4G1 VARIANT PROTEIN,17.84,159980000,TRUE,EIF4G1,EIF4G1;EIF4G1 VARIANT PROTEIN,27.848,11588000000,TRUE,EIF4G1,1981
DDX3X,17.052,99320000000,TRUE,DDX3X,DDX3X;DDX3Y,27.367,110800000000,TRUE,DDX3X,1654
TRIM27,16.901,702130000,TRUE,TRIM27,NA,NA,NA,NA,TRIM27,5987
EIF3K,15.827,1281000000,TRUE,EIF3K,EIF3K,20.571,8372700000,TRUE,EIF3K,27335
EIF3S6;EIF3E,15.665,2388500000,TRUE,EIF3E,EIF3S6;EIF3E,25.653,23690000000,TRUE,EIF3E,3646
P5CR2;PYCR2;DKFZP434J218,15.443,153860000,TRUE,P5CR2,NA,NA,NA,NA,NA,NA
LSM12,15.371,98001000,TRUE,LSM12,NA,NA,NA,NA,LSM12,124801
EIF3L,15.31,4166700000,TRUE,EIF3L,EIF3L,50.055,31792000000,TRUE,EIF3L,51386
EIF3B;EIF3S9,14.912,3572900000,TRUE,EIF3B,EIF3B;EIF3S9,22.772,34294000000,TRUE,EIF3B,8662
USP7,14.63,718580000,TRUE,USP7,USP7,3.1238,684430000,FALSE,USP7,7874
ATXN2L,14.096,57682000,TRUE,ATXN2L,ATXN2L,9.2566,588420000,TRUE,ATXN2L,11273
KHDRBS1,13.479,155080000,TRUE,KHDRBS1,KHDRBS1,2.7065,372040000,FALSE,KHDRBS1,10657
LRRC16A,13.476,193620000,TRUE,CARMIL1,NA,NA,NA,NA,CARMIL1,55604
PABPC1,12.636,3566600000,TRUE,PABPC1,PABPC1;PABPC3,11.065,18678000000,TRUE,PABPC1,26986
EIF4E,12.469,163430000,TRUE,EIF4E,EIF4E,20.736,2361100000,TRUE,EIF4E,1977
UPF1,12.164,167080000,TRUE,UPF1,UPF1,4.1784,793220000,FALSE,UPF1,5976
EIF3F,11.902,2934300000,TRUE,EIF3F,EIF3F,18.329,5658900000,TRUE,EIF3F,8665
PRMT1;HRMT1L2,11.598,573130000,TRUE,PRMT1,PRMT1;HRMT1L2,1.3807,203810000,FALSE,PRMT1,3276
PIG45;PYCR1,11.111,64500000,TRUE,PIG45,NA,NA,NA,NA,NA,NA
AGL,10.967,34228000,TRUE,AGL,AGL,0.66285,27543000,FALSE,AGL,178
XPNPEP3,10.942,604380000,TRUE,XPNPEP3,NA,NA,NA,NA,XPNPEP3,63929
EWSR1;EWSR1/ZNF384 FUSION;EWSR1/ATF1 FUSION,10.935,81181000,TRUE,EWSR1,EWSR1,4.2205,200010000,FALSE,EWSR1,2130
NUFIP2,10.081,119870000,TRUE,NUFIP2,NUFIP2,11.984,64534000,TRUE,NUFIP2,57532
DKFZP686P17171;SERBP1,10.014,89148000,TRUE,DKFZP686P17171,DKFZP686P17171;SERBP1,1.3841,88325000,FALSE,NA,NA
PABPC4,9.4206,343160000,TRUE,PABPC4,PABPC4,15.309,2915400000,TRUE,PABPC4,8761
CAPRIN1,9.1048,223240000,TRUE,CAPRIN1,NA,NA,NA,NA,CAPRIN1,4076
C14ORF166,8.6795,127350000,TRUE,C14ORF166,C14ORF166,3.6534,192680000,FALSE,NA,NA
EIF3D,8.5644,418040000,TRUE,EIF3D,EIF3D,20.72,14115000000,TRUE,EIF3D,8664
USP10,8.4935,62544000,TRUE,USP10,USP10,6.473,112910000,FALSE,USP10,9100
PRMT5,8.0045,163190000,TRUE,PRMT5,PRMT5,0.96466,561200000,FALSE,PRMT5,10419
HNRNPA3;HNRPA3;D10S102,7.7961,411310000,TRUE,HNRNPA3,NA,NA,NA,NA,HNRNPA3,220988
MATR3;DKFZP686K23100,7.6052,304880000,TRUE,MATR3,MATR3;DKFZP686K23100,3.8818,1872800000,FALSE,MATR3,9782
CAPZA1,7.5525,490320000,TRUE,CAPZA1,CAPZA1,1.2447,10706000000,FALSE,CAPZA1,829
DDX17,7.5387,789380000,TRUE,DDX17,DDX17,2.8745,5988200000,FALSE,DDX17,10521
NCBP1,7.2664,41128000,TRUE,NCBP1,NCBP1,2.8292,95256000,FALSE,NCBP1,4686
RPS3,7.2266,2491300000,TRUE,RPS3,RPS3,1.5345,3749100000,FALSE,RPS3,6188
HNRNPD,7.1475,306350000,TRUE,HNRNPD,NA,NA,NA,NA,HNRNPD,3184
DDX1,7.0361,147900000,TRUE,DDX1,DDX1,4.1381,1483200000,FALSE,DDX1,1653
SFPQ,6.9238,305570000,FALSE,SFPQ,SFPQ,0.76978,469870000,FALSE,SFPQ,6421
WDR77,6.8274,198430000,FALSE,WDR77,WDR77,0.9746,33486000,FALSE,WDR77,79084
CSDE1;UNR,6.7612,108150000,FALSE,CSDE1,CSDE1;UNR,1.7282,76352000,FALSE,CSDE1,7812
HNRNPU;HNRPU,6.7101,181480000,FALSE,HNRNPU,HNRNPU;HNRPU,2.1902,425760000,FALSE,HNRNPU,3192
FUS,6.7069,302060000,FALSE,FUS,FUS,2.0831,241370000,FALSE,FUS,2521
CAPZB,6.6212,404870000,FALSE,CAPZB,CAPZB,1.25,11265000000,FALSE,CAPZB,832
USP9X,6.6106,90522000,FALSE,USP9X,USP9X;USP9Y,1.8329,71061000,FALSE,USP9X,8239
CSNK2B;CSNK2B-LY6G5B-1072;CSNK2B-LY6G5B-562;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991,6.4498,28826000,FALSE,CSNK2B,CSNK2B;CSNK2B-LY6G5B-1072;CSNK2B-LY6G5B-562;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991,5.324,386220000,FALSE,CSNK2B,1460
DHX15,6.3165,85636000,FALSE,DHX15,DHX15,2.058,1250200000,FALSE,DHX15,1665
HNRNPUL1,6.265,10011000,FALSE,HNRNPUL1,HNRNPUL1,2.7187,470120000,FALSE,HNRNPUL1,11100
HNRPK;HNRNPK,6.2491,3164600000,FALSE,HNRNPK,NA,NA,NA,NA,HNRNPK,3190
ELAVL1,6.2439,121360000,FALSE,ELAVL1,ELAVL1,2.4925,544820000,FALSE,ELAVL1,1994
DAP3,6.1065,52763000,FALSE,DAP3,NA,NA,NA,NA,DAP3,7818
ILF2,6.0631,107290000,FALSE,ILF2,ILF2,2.0388,472620000,FALSE,ILF2,3608
C1QBP,5.8984,466030000,FALSE,C1QBP,C1QBP,0.57134,273320000,FALSE,C1QBP,708
RPS14,5.8832,213050000,FALSE,RPS14,RPS14,1.0864,1162600000,FALSE,RPS14,6208
RTCB,5.8291,118840000,FALSE,RTCB,RTCB,3.8846,270430000,FALSE,RTCB,51493
RPS16,5.8214,170040000,FALSE,RPS16,RPS16,1.2627,2246100000,FALSE,RPS16,6217
EIF4A1,5.7948,654040000,FALSE,EIF4A1,EIF4A1,1.7946,775390000,FALSE,EIF4A1,1973
CCT2,5.7674,875810000,FALSE,CCT2,CCT2,1.143,801620000,FALSE,CCT2,10576
CPSF1,5.7455,15792000,FALSE,CPSF1,CPSF1,4.0207,251540000,FALSE,CPSF1,29894
CPSF2,5.7029,53436000,FALSE,CPSF2,CPSF2,5.5779,95141000,FALSE,CPSF2,53981
PTBP1,5.702,229520000,FALSE,PTBP1,PTBP1,2.0524,517330000,FALSE,PTBP1,5725
HNRNPH1,5.6998,1833700000,FALSE,HNRNPH1,HNRNPH1;HNRNPH2;DKFZP686A15170,0.77887,9959700,FALSE,HNRNPH1,3187
ERP44,5.6911,800710000,FALSE,ERP44,ERP44,10.503,474320000,TRUE,ERP44,23071
MAGOHB;MAGOH,5.5967,47812000,FALSE,MAGOHB,NA,NA,NA,NA,MAGOHB,55110
CCT8,5.5549,700240000,FALSE,CCT8,CCT8,1.1473,1361100000,FALSE,CCT8,10694
ARHGEF2,5.3239,8098500,FALSE,ARHGEF2,ARHGEF2,17.12,6735900000,TRUE,ARHGEF2,9181
CSNK2A1;CSNK2A3,5.2523,64376000,FALSE,CSNK2A1,NA,NA,NA,NA,CSNK2A1,1457
EIF2C2;AGO2;AGO1;EIF2C3;AGO3,5.1803,13543000,FALSE,AGO2,EIF2C2;AGO2;AGO1,3.7238,108000000,FALSE,AGO2,27161
CCT6A,5.1326,450520000,FALSE,CCT6A,CCT6A,1.1729,1563600000,FALSE,CCT6A,908
CPSF7,5.1109,14035000,FALSE,CPSF7,CPSF7,1.9613,58954000,FALSE,CPSF7,79869
PGAM5,5.0628,35646000,FALSE,PGAM5,PGAM5,2.0751,1639500000,FALSE,PGAM5,192111
EIF4A2,5.0622,19116000,FALSE,EIF4A2,NA,NA,NA,NA,EIF4A2,1974
NUDT21,5.0119,239530000,FALSE,NUDT21,NUDT21;DKFZP313O211,1.8198,395940000,FALSE,NUDT21,11051
DDX6,4.9401,98594000,FALSE,DDX6,NA,NA,NA,NA,DDX6,1656
NKRF;NRF,4.741,13574000,FALSE,NKRF,NA,NA,NA,NA,NKRF,55922
UBAP2L,4.7367,6989100,FALSE,UBAP2L,UBAP2L,4.2218,61959000,FALSE,UBAP2L,9898
CCT4,4.7349,363080000,FALSE,CCT4,CCT4,1.1303,1054900000,FALSE,CCT4,10575
NONO,4.721,59216000,FALSE,NONO,NONO,0.72514,935230000,FALSE,NONO,4841
LAS1L,4.7035,45532000,FALSE,LAS1L,LAS1L,1.1417,31295000,FALSE,LAS1L,81887
SRSF1,4.6957,31823000,FALSE,SRSF1,SRSF1,1.1219,219600000,FALSE,SRSF1,6426
EIF4A3,4.628,168040000,FALSE,EIF4A3,EIF4A3,4.264,602560000,FALSE,EIF4A3,9775
HNRNPM;ORF;HNRPM,4.6092,2017500000,FALSE,HNRNPM,HNRNPM;ORF,1.7826,2542700000,FALSE,HNRNPM,4670
RPS27,4.5937,62826000,FALSE,RPS27,RPS27,1.006,799010000,FALSE,RPS27,6232
CCT7,4.5916,207650000,FALSE,CCT7,CCT7,1.1042,963430000,FALSE,CCT7,10574
PPP2R2A,4.5658,45018000,FALSE,PPP2R2A,NA,NA,NA,NA,PPP2R2A,5520
MRPS22,4.5655,42839000,FALSE,MRPS22,MRPS22,1.4039,54153000,FALSE,MRPS22,56945
SNRPD2,4.5448,10660000,FALSE,SNRPD2,SNRPD2,1.0385,349690000,FALSE,SNRPD2,6633
DDX5;DKFZP686J01190,4.5259,454120000,FALSE,DDX5,DDX5;DKFZP686J01190,3.2508,918860000,FALSE,DDX5,1655
NCL,4.5252,213540000,FALSE,NCL,NCL,0.89134,654080000,FALSE,NCL,4691
CCT5,4.4117,343400000,FALSE,CCT5,CCT5,1.1499,1417400000,FALSE,CCT5,22948
RPLP0;RPLP0P6,4.4013,1213700000,FALSE,RPLP0,RPLP0;RPLP0P6,1.5608,8007700000,FALSE,RPLP0,6175
CHERP,4.3849,23250000,FALSE,CHERP,CHERP,2.4555,184910000,FALSE,CHERP,10523
IGF2BP3,4.3775,39457000,FALSE,IGF2BP3,IGF2BP3,1.6803,441290000,FALSE,IGF2BP3,10643
CCT3,4.3339,235800000,FALSE,CCT3,CCT3,1.086,1027700000,FALSE,CCT3,7203
SF1,4.2812,16867000,FALSE,SF1,SF1,1.441,92085000,FALSE,SF1,7536
EDC4,4.2771,21079000,FALSE,EDC4,EDC4,1.871,69042000,FALSE,EDC4,23644
RPL12;HCG_21173,4.2769,911390000,FALSE,RPL12,RPL12;HCG_21173,1.6693,4814700000,FALSE,RPL12,6136
DHX9,4.2541,77745000,FALSE,DHX9,DHX9,1.2875,384090000,FALSE,DHX9,1660
HNRNPL,4.2448,36047000,FALSE,HNRNPL,HNRNPL,1.6195,126560000,FALSE,HNRNPL,3191
YTHDF2;DKFZP451J085;DKFZP451A052;YTHDF3;YTHDF1,4.2122,8186700,FALSE,YTHDF2,YTHDF2;DKFZP451J085;DKFZP451A052;YTHDF3;YTHDF1,2.952,22116000,FALSE,YTHDF2,51441
