ID,Description,GeneRatio,n,N,BgRatio,b,B,pvalue,p.adjust,qvalue,geneID,Count,EnrichmentScore,group,sample
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,45/562,45,562,82/8278,82,8278,1.372578590975162e-31,5.429920905897741e-28,4.370579197578806e-28,RPS20/RPL18/RPL31/RPS5/RPLP0/RPL3/RPS16/RPS19/RPL28/RPL19/RPL34/RPS13/RPS12/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/SRP14/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/RPL15/RPL10A/RPS18,45,8.083282701154415,GO BP,Mutu
GO:0006613,cotranslational protein targeting to membrane,45/562,45,562,86/8278,86,8278,2.2315538595058684e-30,2.9426756894017387e-27,2.3685790964930714e-27,RPS20/RPL18/RPL31/RPS5/RPLP0/RPL3/RPS16/RPS19/RPL28/RPL19/RPL34/RPS13/RPS12/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/SRP14/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/RPL15/RPL10A/RPS18,45,7.707316063891419,GO BP,Mutu
GO:0045047,protein targeting to ER,45/562,45,562,97/8278,97,8278,1.8244087303241156e-27,1.8043402342905503e-24,1.4523253708501185e-24,RPS20/RPL18/RPL31/RPS5/RPLP0/RPL3/RPS16/RPS19/RPL28/RPL19/RPL34/RPS13/RPS12/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/SRP14/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/RPL15/RPL10A/RPS18,45,6.833290530872804,GO BP,Mutu
GO:0072599,establishment of protein localization to endoplasmic reticulum,45/562,45,562,100/8278,100,8278,9.288872689087275e-27,6.124463393004877e-24,4.9296210323664925e-24,RPS20/RPL18/RPL31/RPS5/RPLP0/RPL3/RPS16/RPS19/RPL28/RPL19/RPL34/RPS13/RPS12/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/SRP14/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/RPL15/RPL10A/RPS18,45,6.62829181494662,GO BP,Mutu
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",47/562,47,562,108/8278,108,8278,4.13961559422208e-27,3.2752638581485098e-24,2.6362815100045882e-24,RPS20/RPL18/PABPC1/RPL31/RPS5/RPLP0/RPL3/EIF3E/RPS16/RPS19/RPL28/RPL19/RPL34/RPS13/RPS12/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/RPL15/RPL10A/RNPS1/RPS18,47,6.410076446553314,GO BP,Mutu
GO:0035722,interleukin-12-mediated signaling pathway,15/562,15,562,36/8278,36,8278,3.6571362922379564e-9,5.167011132890484e-7,4.1589613849698565e-7,RPLP0/HSPA9/LMNB1/CAPZA1/TCP1/HNRNPA2B1/LCP1/SOD1/ARF1/HNRNPDL/HNRNPF/CFL1/CNN2/PDCD4/JAK1,15,6.137307236061686,GO BP,Mutu
GO:0070972,protein localization to endoplasmic reticulum,47/562,47,562,119/8278,119,8278,7.1736984975926805e-25,4.054164465210949e-22,3.26322375266434e-22,RPS20/RPL18/RPL31/RPS5/RPLP0/RPL3/RPS16/RPS19/RPL28/RPL19/RPL34/RPS13/RPS12/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/SRP14/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/INSIG1/RPL14/RPL37A/RPS4X/UBA52/GABARAPL2/RPL15/RPL10A/RPS18,47,5.8175483716618315,GO BP,Mutu
GO:0071349,cellular response to interleukin-12,15/562,15,562,38/8278,38,8278,8.943988408024448e-9,1.1057005669420224e-6,8.899856886274328e-7,RPLP0/HSPA9/LMNB1/CAPZA1/TCP1/HNRNPA2B1/LCP1/SOD1/ARF1/HNRNPDL/HNRNPF/CFL1/CNN2/PDCD4/JAK1,15,5.8142910657426485,GO BP,Mutu
GO:0070671,response to interleukin-12,15/562,15,562,39/8278,39,8278,1.363548237461479e-8,1.6346050992113974e-6,1.3157044396558132e-6,RPLP0/HSPA9/LMNB1/CAPZA1/TCP1/HNRNPA2B1/LCP1/SOD1/ARF1/HNRNPDL/HNRNPF/CFL1/CNN2/PDCD4/JAK1,15,5.665206679441555,GO BP,Mutu
GO:0006413,translational initiation,62/562,62,562,164/8278,164,8278,2.7510787121121357e-31,5.441633692557804e-28,4.380006896915374e-28,RPS20/RPL18/PABPC1/RPL31/RPS5/EIF2AK1/RPLP0/EIF3L/RPL3/EIF3E/RPS16/RPS19/EIF3A/RPL28/RPL19/RPL34/EIF4G2/RPS13/RPS12/PAIP2/KHDRBS1/RPL5/RPL23/ATF4/RPL36/RPL27/RPL35/RPS6/RPS24/RPS11/RPL11/RPS8/RPL32/RPL37/EIF3H/EIF3M/RPS3/LARP1/RPL30/EIF4A2/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/EIF1/RPL4/RPLP2/RPL35A/RPS23/RPL14/RPL37A/RPS4X/DDX3X/UBA52/EIF4B/EIF4EBP2/EIF2AK3/RPL15/RPL10A/RPS18,62,5.568483638573041,GO BP,Mutu
GO:0045070,positive regulation of viral genome replication,11/562,11,562,32/8278,32,8278,4.445840725033515e-6,3.14066891218439e-4,2.527945149102704e-4,NUCKS1/PABPC1/TOP2B/SRPK1/HSPA8/TOP2A/LARP1/ADAR/RAD23A/DDX3X/STAU1,11,5.06327846975089,GO BP,Mutu
GO:0006612,protein targeting to membrane,46/562,46,562,146/8278,146,8278,1.2391498798171236e-19,3.7708284035050316e-17,3.035164685382024e-17,RPS20/RPL18/RPL31/RPS5/RPLP0/RPL3/RPS16/RPS19/RPL28/RPL19/RPL34/RPS13/RPS12/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/SRP14/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/NACA/RPL37A/RPS4X/UBA52/RPL15/RPL10A/RPS18,46,4.640813142885,GO BP,Mutu
GO:0019083,viral transcription,49/562,49,562,157/8278,157,8278,1.1910145640590675e-20,3.92637801284806e-18,3.1603675932269118e-18,RPS20/NDC1/RPL18/NUCKS1/RPL31/RPS5/RPLP0/RPL3/RPS16/RPS19/RPL28/RPL19/RPL34/RPS13/RPS12/HDAC1/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/SMARCB1/SMARCA4/RPL15/RPL10A/RPS18,49,4.597116757712446,GO BP,Mutu
GO:0019080,viral gene expression,53/562,53,562,174/8278,174,8278,1.0358593258546084e-21,4.553177214534256e-19,3.664882410187358e-19,RPS20/PTBP1/NDC1/RPL18/NUCKS1/RPL31/RPS5/RPLP0/EIF3L/RPL3/RPS16/RPS19/EIF3A/RPL28/RPL19/RPL34/RPS13/RPS12/HDAC1/RPL5/RPL23/RPL36/RPL27/RPL35/RPS6/RPS24/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/PCBP2/RPL37A/RPS4X/UBA52/SMARCB1/SMARCA4/RPL15/RPL10A/RPS18,53,4.486583220845094,GO BP,Mutu
GO:0002181,cytoplasmic translation,25/562,25,562,83/8278,83,8278,9.600345425619319e-11,1.6512594132065228e-8,1.3291096069793337e-8,RPL18/PKM/RPL31/RPLP0/EIF3L/EIF3E/EIF3A/RPL19/RPL36/RPL11/RPL32/EIF3H/EIF3M/RPL30/EIF4A2/RPL8/EEF2/CNBP/RPS21/RPL38/RPL35A/RPS23/EIF4B/RPL15/RPL10A,25,4.436607640526519,GO BP,Mutu
GO:1903312,negative regulation of mRNA metabolic process,18/562,18,562,62/8278,62,8278,7.933053853732953e-8,8.717544734824322e-6,7.016809329690697e-6,PTBP1/THRAP3/U2AF2/PABPC1/FUS/HNRNPC/C1QBP/SRSF9/SRSF7/HNRNPA2B1/SYNCRIP/HNRNPD/HNRNPU/LARP1/HNRNPK/HNRNPA0/TAF15/RNPS1,18,4.276317299965561,GO BP,Mutu
GO:0000956,nuclear-transcribed mRNA catabolic process,54/562,54,562,188/8278,188,8278,8.979104829049149e-21,3.2292126094289484e-18,2.5992145557773855e-18,RPS20/CSDE1/THRAP3/RPL18/PABPC1/RPL31/RPS5/RPLP0/RPL3/EIF3E/RPS16/RPS19/RPL28/RPL19/DDX5/RPL34/DDX6/RPS13/RPS12/RPL5/CNOT1/RPL23/RPL36/LSM4/RPL27/RPL35/RPS6/RPS24/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/RPL8/RPS14/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/BTG2/RPL15/RPL10A/RNPS1/RPS18,54,4.230824562731884,GO BP,Mutu
GO:0050853,B cell receptor signaling pathway,13/562,13,562,49/8278,49,8278,1.5327824428512994e-5,9.780140877289904e-4,7.872099982385707e-4,PTPRC/RFTN1/MS4A1/SYK/PAX5/CD38/CD79B/BTK/CD79A/CD81/ELF1/PRKCB/GCSAM,13,3.907836444186215,GO BP,Mutu
GO:0048024,"regulation of mRNA splicing, via spliceosome",23/562,23,562,89/8278,89,8278,1.4618267133181961e-8,1.700878375849054e-6,1.3690482377051218e-6,PTBP1/THRAP3/U2AF2/DAZAP1/SRPK1/DDX17/RBM3/C1QBP/DDX5/HSPA8/SRSF9/SRSF3/NCL/SRSF7/KHDRBS1/HNRNPA2B1/MBNL1/HNRNPU/HNRNPK/SF1/SRSF5/RBM39/RNPS1,23,3.806509656523651,GO BP,Mutu
GO:0043484,regulation of RNA splicing,30/562,30,562,120/8278,120,8278,2.1935313503685002e-10,3.337542316176072e-8,2.686409852171949e-8,PTBP1/THRAP3/U2AF2/DAZAP1/FUS/SRPK1/HNRNPH3/DDX17/RBM3/C1QBP/DDX5/HSPA8/RPS13/SRSF9/SRSF3/NCL/SRSF7/KHDRBS1/HNRNPA2B1/TMBIM6/MBNL1/HNRNPU/HNRNPK/SF1/HNRNPH1/HNRNPF/SRSF5/RBM39/RBM38/RNPS1,30,3.682384341637011,GO BP,Mutu
GO:1903902,positive regulation of viral life cycle,12/562,12,562,48/8278,48,8278,6.188193085461328e-5,0.0028800578642452957,0.002318177595482417,CD74/NUCKS1/PABPC1/TOP2B/SRPK1/HSPA8/TOP2A/LARP1/ADAR/RAD23A/DDX3X/STAU1,12,3.682384341637011,GO BP,Mutu
GO:0090150,establishment of protein localization to membrane,60/562,60,562,244/8278,244,8278,2.9121217538273005e-19,8.228824041529143e-17,6.623434816035778e-17,RPS20/RPL18/RPL31/HSP90AA1/RPS5/RPLP0/RPL3/CSK/RPS16/RPS19/RPL28/RPL19/YWHAE/RPL34/RPS13/RPS12/RPL5/RPL23/RPL36/RFTN1/RPL27/YWHAQ/RPL35/RPS6/RPS24/SRP14/RPS11/RPL11/RPS8/RPL32/RPL37/RPS3/RPL30/CALM3/RPL8/RPS14/YWHAB/RPL13/YWHAG/HSPA4/RPS9/RPS21/RPL38/RPL4/RPLP2/RPL35A/RPS23/RPL14/NACA/RPL37A/RPS4X/TFDP1/RACK1/UBA52/GGA2/TFDP2/CLSTN1/RPL15/RPL10A/RPS18,60,3.622017385216732,GO BP,Mutu
GO:0006402,mRNA catabolic process,75/562,75,562,312/8278,312,8278,2.771906425346739e-23,1.3707077273339626e-20,1.1032917021939325e-20,RPS20/CSDE1/PSMA4/THRAP3/PUM2/RPL18/PABPC1/RPL31/XPO1/RPS5/RPLP0/FUS/PABPC4/HNRNPC/RPL3/PSMA7/EIF3E/RPS16/RPS19/RPL28/RPL19/DDX5/RPL34/HSPA8/DDX6/RPS13/RPS12/SET/RPL5/CNOT1/RPL23/HNRNPR/PSMB2/RPL36/LSM4/PSME3/RPL27/SYNCRIP/RPL35/RPS6/RPS24/HNRNPD/ANP32A/RPS11/RPL11/RPS8/PSMA5/RPL32/RPL37/RPS3/HNRNPU/LARP1/RPL30/RPL8/RPS14/YWHAB/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/HNRNPA0/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/TAF15/BTG2/RPL15/RPL10A/RNPS1/RPS18,75,3.5407541746509716,GO BP,Mutu
GO:0002431,Fc receptor mediated stimulatory signaling pathway,15/562,15,562,63/8278,63,8278,1.438232790525515e-5,9.365366588734305e-4,7.538245418264402e-4,ACTB/HSP90AA1/PTPRC/HSP90AB1/CSK/ACTR3/ACTR2/ARPC5/ARPC2/SYK/GRB2/ACTG1/RAPGEF1/WIPF1/ABI1,15,3.5070327063209628,GO BP,Mutu
GO:0002433,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,14/562,14,562,59/8278,59,8278,2.8881671972560146e-5,0.0015439985719384857,0.0012427746474679153,ACTB/HSP90AA1/PTPRC/HSP90AB1/ACTR3/ACTR2/ARPC5/ARPC2/SYK/GRB2/ACTG1/RAPGEF1/WIPF1/ABI1,14,3.495144459858858,GO BP,Mutu
GO:0038094,Fc-gamma receptor signaling pathway,14/562,14,562,59/8278,59,8278,2.8881671972560146e-5,0.0015439985719384857,0.0012427746474679153,ACTB/HSP90AA1/PTPRC/HSP90AB1/ACTR3/ACTR2/ARPC5/ARPC2/SYK/GRB2/ACTG1/RAPGEF1/WIPF1/ABI1,14,3.495144459858858,GO BP,Mutu
GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,14/562,14,562,59/8278,59,8278,2.8881671972560146e-5,0.0015439985719384857,0.0012427746474679153,ACTB/HSP90AA1/PTPRC/HSP90AB1/ACTR3/ACTR2/ARPC5/ARPC2/SYK/GRB2/ACTG1/RAPGEF1/WIPF1/ABI1,14,3.495144459858858,GO BP,Mutu
GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",13/562,13,562,58/8278,58,8278,1.0456040820842933e-4,0.00440043590289943,0.003541939919714432,PTBP1/THRAP3/DDX17/DDX5/SRSF9/SRSF3/SRSF7/KHDRBS1/MBNL1/HNRNPU/SF1/SRSF5/RNPS1,13,3.301448030433182,GO BP,Mutu
GO:0006401,RNA catabolic process,76/562,76,562,344/8278,344,8278,3.5275614851802944e-21,1.3955033235373247e-18,1.1232498413337256e-18,RPS20/CSDE1/PSMA4/THRAP3/PUM2/RPL18/PABPC1/RPL31/XPO1/RPS5/RPLP0/FUS/PABPC4/HNRNPC/RPL3/PSMA7/EIF3E/RPS16/RPS19/RPL28/RPL19/DDX5/RPL34/HSPA8/DDX6/RPS13/RPS12/SET/RPL5/CNOT1/RPL23/HNRNPR/PSMB2/RPL36/LSM4/PSME3/RPL27/SYNCRIP/RPL35/RPS6/RPS24/HNRNPD/ANP32A/RPS11/RPL11/RPS8/PSMA5/RPL32/RPL37/RPS3/HNRNPU/LARP1/RPL30/RPL8/RPS14/YWHAB/RPL13/RPS9/RPS21/RPL38/RPL4/RPLP2/HNRNPA0/RPL35A/RPS23/RPL14/RPL37A/RPS4X/UBA52/TAF15/RNASEH2B/BTG2/RPL15/RPL10A/RNPS1/RPS18,76,3.254200115865266,GO BP,Mutu
GO:0019079,viral genome replication,19/562,19,562,87/8278,87,8278,4.2125241399836775e-6,3.0860639810695236e-4,2.483993279425073e-4,NUCKS1/PABPC1/TOP2B/SRPK1/DDX5/HSPA8/DEK/TOP2A/LARP1/CTBP1/ADAR/IFI16/GRK2/RAD23A/PCBP2/DDX3X/SMARCB1/STAU1/LAMTOR5,19,3.2167955168323314,GO BP,Mutu
GO:0001906,cell killing,12/562,12,562,55/8278,55,8278,2.516174444394479e-4,0.007963188881619647,0.006409623321510146,PTPRC/HSP90AB1/CORO1A/RPS19/GAPDH/PRDX1/RPL30/SYK/B2M/TUBB/HLA-B/HPRT1,12,3.2137172436104824,GO BP,Mutu
GO:0006959,humoral immune response,12/562,12,562,55/8278,55,8278,2.516174444394479e-4,0.007963188881619647,0.006409623321510146,ST6GAL1/PTPRC/RPS19/C1QBP/POU2AF1/GAPDH/JCHAIN/RPL30/MS4A1/PAX5/RGCC/CD81,12,3.2137172436104824,GO BP,Mutu
GO:2000573,positive regulation of DNA biosynthetic process,12/562,12,562,56/8278,56,8278,3.008747644206057e-4,0.008625076580057364,0.006942381101238233,HSP90AA1/HSP90AB1/PTGES3/CCT4/TCP1/HNRNPA2B1/PCNA/CCT7/HNRNPD/CCT3/RGCC/RFC4,12,3.1563294356888663,GO BP,Mutu
GO:1900182,positive regulation of protein localization to nucleus,13/562,13,562,61/8278,61,8278,1.8022883164592164e-4,0.006365939803493446,0.005123986989933393,IPO5/HSP90AB1/UBR5/CCT4/TCP1/RAN/CCT7/PARP1/CCT3/CDK1/HCLS1/LAMTOR5/EIF2AK3,13,3.1390817338545007,GO BP,Mutu
GO:0034728,nucleosome organization,20/562,20,562,95/8278,95,8278,4.300964443788949e-6,3.093566425387106e-4,2.490032046404129e-4,SUPT16H/RBBP7/SET/H3-3B/ANP32B/HMGA1/ANP32E/RBBP4/HMGB2/SMARCC1/NAP1L1/H1-2/H2AX/H4C3/SMARCB1/CTCF/ASF1B/ARID1A/SMARCA4/H1-10,20,3.1009552350627465,GO BP,Mutu
GO:0006446,regulation of translational initiation,14/562,14,562,67/8278,67,8278,1.2828833226542457e-4,0.0050248380439803925,0.0040445253267629945,EIF2AK1/EIF3E/EIF4G2/PAIP2/KHDRBS1/ATF4/EIF3H/LARP1/EIF4A2/EIF1/DDX3X/EIF4B/EIF4EBP2/EIF2AK3,14,3.077813778084665,GO BP,Mutu
GO:0000380,"alternative mRNA splicing, via spliceosome",14/562,14,562,68/8278,68,8278,1.5168351856904247e-4,0.005505137609716808,0.004431121619230841,PTBP1/THRAP3/DDX17/DDX5/SRSF9/SRSF3/SRSF7/SFPQ/KHDRBS1/MBNL1/HNRNPU/SF1/SRSF5/RNPS1,14,3.0325518107598914,GO BP,Mutu
GO:1901992,positive regulation of mitotic cell cycle phase transition,13/562,13,562,64/8278,64,8278,2.9875884233937294e-4,0.008625076580057364,0.006942381101238233,ANAPC5/CCND3/CDK4/MDM2/CDK1/RCC2/TFDP1/PHB2/DDX3X/CDC25B/RGCC/BRD4/UBE2C,13,2.991937277580071,GO BP,Mutu
GO:0050684,regulation of mRNA processing,25/562,25,562,125/8278,125,8278,7.660963108093836e-7,6.734837790137604e-5,5.4209154156687384e-5,PTBP1/THRAP3/U2AF2/DAZAP1/PAPOLA/SRPK1/DDX17/RBM3/C1QBP/DDX5/HSPA8/SRSF9/SRSF3/NCL/SRSF7/KHDRBS1/HNRNPA2B1/MBNL1/HNRNPU/HNRNPK/SF1/SRSF5/CPSF6/RBM39/RNPS1,25,2.945907473309609,GO BP,Mutu
GO:0032273,positive regulation of protein polymerization,15/562,15,562,78/8278,78,8278,1.989890375114479e-4,0.006845222890393807,0.005509765111873043,RHOA/HSP90AA1/CORO1A/PFN1/ACTR3/ACTR2/ARF1/RPS3/ARPC5/ARPC2/ARF6/CKAP5/GRB2/MAPRE1/GMFG,15,2.8326033397207775,GO BP,Mutu
GO:0048511,rhythmic process,28/562,28,562,149/8278,149,8278,6.406681096186974e-7,5.760188731026288e-5,4.636413951187942e-5,THRAP3/AHCY/DDX5/HDAC1/SFPQ/CBX3/HNRNPR/ATF4/TOP2A/PCNA/ETS1/CDK4/HNRNPD/NONO/HNRNPU/ATF5/CDK1/IMPDH2/PPP1CC/USP7/TOP1/RACK1/PPP1CB/PRKDC/ADNP/CSNK2A1/JUND/CSNK1E,28,2.76796675344527,GO BP,Mutu
