Subtype	Length	cDNA #	cDNA %	reads #	reads %
CDS mRNA	35673230	274535	24.679366454903647	5949453	25.19581809216749
UTR3 mRNA	37725285	248985	22.38254523748952	5735536	24.289883745123788
UTR5 mRNA	9020040	70641	6.350283664162487	1377205	5.8324364703147555
ncRNA lncRNA	51895660	42540	3.824214818257466	939362	3.97818197279711
ncRNA miRNA	138077	322	0.029021152629688	5566	0.023574019562815327
ncRNA mt_tRNA	1507	5396	0.4850742578930194	152994	0.6479266233707659
ncRNA mt_rRNA	2513	17932	1.6119999244880696	489498	2.073014538391984
ncRNA rRNA	61932	143	0.012899954782736894	1706	0.007226994410122045
ncRNA sRNA	2395	178	0.01604628521755077	3410	0.014441283878415569
ncRNA snRNA	207700	2495	0.22433336000222945	46082	0.19515637644725695
ncRNA snoRNA	107135	926	0.08331782641904747	22307	0.0944718299465558
intron pre-mRNA	988243648	193068	17.355922787253228	4125394	17.470963596572528
intron lncRNA	588089729	75876	6.820929749633003	1527641	6.4695300132864055
intergenic	4488330785	179365	16.124044526868314	3236703	13.707374443730005
