Subtype	Length	cDNA #	cDNA %	reads #	reads %
CDS mRNA	35673230	168970	25.385660114300823	14266041	28.508075919429764
UTR3 mRNA	37725285	133740	20.092786788699726	11954924	23.88973093537394
UTR5 mRNA	9020040	43561	6.544503404385738	3110031	6.214828617118098
ncRNA lncRNA	51895660	23200	3.4855391228924155	1697513	3.3921715202062637
ncRNA miRNA	138077	179	0.02691758361728254	9194	0.01837352801952532
ncRNA mt_tRNA	1507	2425	0.36432636430833576	238930	0.4774579422160187
ncRNA mt_rRNA	2513	11243	1.6891221913066472	1166865	2.331766466094231
ncRNA rRNA	61932	143	0.021483987668491557	1161	0.0023200463353819016
ncRNA sRNA	2395	93	0.0140472227063214	14416	0.028807741576972863
ncRNA snRNA	207700	1035	0.15557111350155947	82315	0.16449248416893106
ncRNA snoRNA	107135	552	0.08303135560456643	75244	0.15036138368602567
intron pre-mRNA	988243648	94722	14.2308131463976	8643075	17.271605926081765
intron lncRNA	588089729	40190	6.038052198578152	3048314	6.091498470967567
intergenic	4488330785	145557	21.868145406032344	5734079	11.458509018725511
