ensembl_gene_id,Mutu,U2932,GCBcells,N,entrezgene_id,external_gene_name
ENSG00000003402,0,0,1,1,8837,CFLAR
ENSG00000004478,0,0,1,1,2288,FKBP4
ENSG00000005810,0,0,1,1,23077,MYCBP2
ENSG00000007202,0,0,1,1,9703,KIAA0100
ENSG00000008018,0,0,1,1,5689,PSMB1
ENSG00000008988,1,0,1,2,6224,RPS20
ENSG00000009307,1,1,1,3,7812,CSDE1
ENSG00000009954,0,0,1,1,9031,BAZ1B
ENSG00000010292,1,0,1,2,9918,NCAPD2
ENSG00000011304,1,0,1,2,5725,PTBP1
ENSG00000013306,0,0,1,1,51629,SLC25A39
ENSG00000014641,1,1,1,3,4190,MDH1
ENSG00000019582,1,1,1,3,972,CD74
ENSG00000021355,0,0,1,1,1992,SERPINB1
ENSG00000022840,0,0,1,1,9921,RNF10
ENSG00000023228,0,0,1,1,4719,NDUFS1
ENSG00000023445,0,0,1,1,330,BIRC3
ENSG00000023734,0,0,1,1,11171,STRAP
ENSG00000025800,0,0,1,1,23633,KPNA6
ENSG00000026025,0,0,1,1,7431,VIM
ENSG00000028277,0,1,1,2,5452,POU2F2
ENSG00000034510,1,1,1,3,9168,TMSB10
ENSG00000036257,0,0,1,1,8452,CUL3
ENSG00000041357,1,1,1,3,5685,PSMA4
ENSG00000044574,0,0,1,1,3309,HSPA5
ENSG00000047315,0,0,1,1,5431,POLR2B
ENSG00000048828,0,0,1,1,23196,FAM120A
ENSG00000051108,0,1,1,2,9709,HERPUD1
ENSG00000054118,1,0,1,2,9967,THRAP3
ENSG00000055044,0,0,1,1,51602,NOP58
ENSG00000055917,1,0,1,2,23369,PUM2
ENSG00000057608,1,1,1,3,2665,GDI2
ENSG00000058804,1,0,1,2,55706,NDC1
ENSG00000060237,1,0,1,2,65125,WNK1
ENSG00000060982,1,0,1,2,586,BCAT1
ENSG00000062485,0,0,1,1,1431,CS
ENSG00000063177,1,1,1,3,6141,RPL18
ENSG00000063244,1,1,1,3,11338,U2AF2
ENSG00000065150,1,1,1,3,3843,IPO5
ENSG00000065548,0,0,1,1,55854,ZC3H15
ENSG00000065809,1,1,1,3,83641,FAM107B
ENSG00000065911,1,0,1,2,10797,MTHFD2
ENSG00000067064,0,0,1,1,3422,IDI1
ENSG00000067225,1,1,1,3,5315,PKM
ENSG00000067560,1,1,1,3,387,RHOA
ENSG00000068366,0,0,1,1,2182,ACSL4
ENSG00000069275,1,1,1,3,64710,NUCKS1
ENSG00000070756,1,1,1,3,26986,PABPC1
ENSG00000070814,0,0,1,1,6949,TCOF1
ENSG00000071054,1,0,1,2,9448,MAP4K4
ENSG00000071082,1,1,1,3,6160,RPL31
ENSG00000071127,0,0,1,1,9948,WDR1
ENSG00000071564,1,0,1,2,6929,TCF3
ENSG00000071626,1,0,1,2,26528,DAZAP1
ENSG00000072274,0,1,1,2,7037,TFRC
ENSG00000072501,0,0,1,1,8243,SMC1A
ENSG00000073111,0,0,1,1,4171,MCM2
