NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
COX6A1,COX6A1,null,null,0.25044647
SNRPE,SNRPE,null,null,0.22762355
SEC61G,SEC61G,null,null,0.18756497
OST4,OST4,null,null,0.18131581
C4orf3,C4orf3,null,null,0.1761932
MICOS10,MICOS10,null,null,0.16932507
RPS29,RPS29,null,null,0.16694143
UQCR10,UQCR10,null,null,0.16357796
TOMM5,TOMM5,null,null,0.15921369
RPL22,RPL22,null,null,0.15911536
POLR2K,POLR2K,null,null,0.14769113
POLR2L,POLR2L,null,null,0.14222921
ATP5MPL,ATP5MPL,null,null,0.14076783
TOMM7,TOMM7,null,null,0.13897587
NDUFA4,NDUFA4,null,null,0.13759023
GLMN,GLMN,null,null,0.13591011
HMGN2,HMGN2,null,null,0.13555817
HSPE1,HSPE1,null,null,0.1347696
BRK1,BRK1,null,null,0.1341195
COPS9,COPS9,null,null,0.13289855
ATP5F1E,ATP5F1E,null,null,0.1313566
NDUFA1,NDUFA1,null,null,0.13119987
CENPX,CENPX,null,null,0.12716179
ATP5ME,ATP5ME,null,null,0.12221952
TOMM6,TOMM6,null,null,0.12173725
TMSB10,TMSB10,null,null,0.119847514
NDUFB1,NDUFB1,null,null,0.117759146
GSDME,GSDME,null,null,0.116004564
COX7A2,COX7A2,null,null,0.113917746
TAF1A,TAF1A,null,null,0.11106829
URM1,URM1,null,null,0.11036111
COX6C,COX6C,null,null,0.1086631
ATOX1,ATOX1,null,null,0.10787869
MRPS18C,MRPS18C,null,null,0.10733352
ACYP1,ACYP1,null,null,0.106949426
TIMM8B,TIMM8B,null,null,0.106311515
CRIPT,CRIPT,null,null,0.10504679
RPS23,RPS23,null,null,0.10474583
ATP6V0E1,ATP6V0E1,null,null,0.1035598
FMC1,FMC1,null,null,0.1034416
SMIM7,SMIM7,null,null,0.10289521
SEM1,SEM1,null,null,0.10230945
PET100,PET100,null,null,0.10218015
CIRBP,CIRBP,null,null,0.1021762
TXNRD2,TXNRD2,null,null,0.10075987
DPM2,DPM2,null,null,0.10038244
PAIP2B,PAIP2B,null,null,0.09978367
ZCCHC10,ZCCHC10,null,null,0.09953497
NDUFS5,NDUFS5,null,null,0.09881028
BRI3,BRI3,null,null,0.0984875
NDUFA6,NDUFA6,null,null,0.09818379
TRIAP1,TRIAP1,null,null,0.097799
ROMO1,ROMO1,null,null,0.096935734
EIF1AY,EIF1AY,null,null,0.095604844
NOP10,NOP10,null,null,0.095233105
RPS27L,RPS27L,null,null,0.09470408
GLCE,GLCE,null,null,0.09396141
LSM5,LSM5,null,null,0.093889005
ZNF160,ZNF160,null,null,0.093686156
SNRPG,SNRPG,null,null,0.09343249
TNFRSF1A,TNFRSF1A,null,null,0.0927263
SH2D1A,SH2D1A,null,null,0.09230346
RBM7,RBM7,null,null,0.0920224
KRIT1,KRIT1,null,null,0.091985136
CNIH4,CNIH4,null,null,0.09176123
RPGR,RPGR,null,null,0.091729194
GADD45B,GADD45B,null,null,0.09138446
