NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
LMO2,LMO2,null,null,0.39986005
NR4A3,NR4A3,null,null,0.2662664
COX6A1,COX6A1,null,null,0.24936429
EGR1,EGR1,null,null,0.24833222
QSOX1,QSOX1,null,null,0.24683474
SEMA7A,SEMA7A,null,null,0.2421619
RNF19B,RNF19B,null,null,0.23450708
CCSER2,CCSER2,null,null,0.23132728
ZYX,ZYX,null,null,0.22990075
BASP1,BASP1,null,null,0.22793628
RNF38,RNF38,null,null,0.22111599
SLC41A1,SLC41A1,null,null,0.22021209
FST,FST,null,null,0.21949899
TET3,TET3,null,null,0.21677704
MAN2A2,MAN2A2,null,null,0.21594943
TNFRSF1B,TNFRSF1B,null,null,0.21162422
AJM1,AJM1,null,null,0.21061796
ZBTB18,ZBTB18,null,null,0.21046297
NAB2,NAB2,null,null,0.21044387
LONRF1,LONRF1,null,null,0.20958908
KCNK12,KCNK12,null,null,0.20863819
PAM,PAM,null,null,0.20672806
LARGE2,LARGE2,null,null,0.2031924
ADARB1,ADARB1,null,null,0.20244719
CHST2,CHST2,null,null,0.20128673
DUSP7,DUSP7,null,null,0.19972926
FAM53B,FAM53B,null,null,0.19840868
PPP1R13B,PPP1R13B,null,null,0.19782762
TNFRSF21,TNFRSF21,null,null,0.1960155
SESN3,SESN3,null,null,0.1945329
EGR2,EGR2,null,null,0.19296898
ANKRD52,ANKRD52,null,null,0.18876372
MED12L,MED12L,null,null,0.18759954
TOMM7,TOMM7,null,null,0.18493557
ITGAV,ITGAV,null,null,0.18412098
TWF1,TWF1,null,null,0.18254404
TNFRSF11A,TNFRSF11A,null,null,0.17966183
SETBP1,SETBP1,null,null,0.17905347
ZDHHC18,ZDHHC18,null,null,0.17878884
DMPK,DMPK,null,null,0.17874958
CHUK,CHUK,null,null,0.17793532
BCAR3,BCAR3,null,null,0.17787968
PLEKHO1,PLEKHO1,null,null,0.17735916
GCNT1,GCNT1,null,null,0.17663346
PPP1R16B,PPP1R16B,null,null,0.17560981
AGO1,AGO1,null,null,0.17489916
KCTD2,KCTD2,null,null,0.17443915
TMEM64,TMEM64,null,null,0.17415597
BRPF3,BRPF3,null,null,0.17399764
DAG1,DAG1,null,null,0.17359753
PARP6,PARP6,null,null,0.17283686
PLK3,PLK3,null,null,0.17002426
RPS29,RPS29,null,null,0.16958895
IDS,IDS,null,null,0.16791315
ATP8B2,ATP8B2,null,null,0.16559635
DOCK6,DOCK6,null,null,0.16445702
BNIP3,BNIP3,null,null,0.16423275
ZNF628,ZNF628,null,null,0.16395706
CCDC88A,CCDC88A,null,null,0.1636847
CASD1,CASD1,null,null,0.16337733
AMIGO2,AMIGO2,null,null,0.16333252
PLAGL1,PLAGL1,null,null,0.16319998
ZCCHC14,ZCCHC14,null,null,0.16317923
CTSH,CTSH,null,null,0.16313867
KCNC3,KCNC3,null,null,0.1631169
EXT1,EXT1,null,null,0.16249536
ZNF354A,ZNF354A,null,null,0.16100885
MYO1G,MYO1G,null,null,0.15970364
SSH1,SSH1,null,null,0.15959853
MAPKAPK2,MAPKAPK2,null,null,0.15828392
IL6ST,IL6ST,null,null,0.15790702
RUNX3,RUNX3,null,null,0.15670097
CEP164,CEP164,null,null,0.15626371
TUBA1A,TUBA1A,null,null,0.15594526
ITPK1,ITPK1,null,null,0.15523398
SUCO,SUCO,null,null,0.15506704
CACUL1,CACUL1,null,null,0.15325949
FURIN,FURIN,null,null,0.15296829
USP25,USP25,null,null,0.15274529
CKB,CKB,null,null,0.15229043
CADPS,CADPS,null,null,0.15136692
SACS,SACS,null,null,0.15075949
PFKFB3,PFKFB3,null,null,0.15075646
LAPTM4A,LAPTM4A,null,null,0.15061654
WHRN,WHRN,null,null,0.14935799
PRNP,PRNP,null,null,0.149153
CCDC6,CCDC6,null,null,0.14874284
PRKCE,PRKCE,null,null,0.14857185
PTEN,PTEN,null,null,0.14796038
HIVEP3,HIVEP3,null,null,0.147044
SPATS2L,SPATS2L,null,null,0.14701645
EMB,EMB,null,null,0.1467992
TESK1,TESK1,null,null,0.1464028
ZCCHC2,ZCCHC2,null,null,0.14634313
MELTF,MELTF,null,null,0.14508438
RBL2,RBL2,null,null,0.14415538
RASGRP1,RASGRP1,null,null,0.14376603
CCDC112,CCDC112,null,null,0.14371097
TMEM62,TMEM62,null,null,0.14253022
TNF,TNF,null,null,0.14246823
RALGDS,RALGDS,null,null,0.14186592
CRIP1,CRIP1,null,null,0.1414875
RSAD1,RSAD1,null,null,0.14143233
C5orf24,C5orf24,null,null,0.14104782
ZNF71,ZNF71,null,null,0.14059648
RNF103,RNF103,null,null,0.1396835
CD83,CD83,null,null,0.13921279
AGO4,AGO4,null,null,0.13904798
UBE2Q2,UBE2Q2,null,null,0.13886642
DVL1,DVL1,null,null,0.13866425
RRAGD,RRAGD,null,null,0.13862976
FAM193B,FAM193B,null,null,0.13827732
CRYBG1,CRYBG1,null,null,0.13825214
TSPAN17,TSPAN17,null,null,0.13799194
AGO2,AGO2,null,null,0.13642181
PHTF2,PHTF2,null,null,0.13605191
PPP3CB,PPP3CB,null,null,0.13577473
CSF2RB,CSF2RB,null,null,0.13510312
SERTAD4,SERTAD4,null,null,0.13481644
CRTC3,CRTC3,null,null,0.13473873
LMLN,LMLN,null,null,0.13387063
B4GALT6,B4GALT6,null,null,0.13369823
RETREG2,RETREG2,null,null,0.13368896
WDR47,WDR47,null,null,0.13327454
PIGQ,PIGQ,null,null,0.13307133
TP53BP2,TP53BP2,null,null,0.13294582
GLCCI1,GLCCI1,null,null,0.13268834
DUSP2,DUSP2,null,null,0.1325322
BMPR1A,BMPR1A,null,null,0.13232934
ZRANB1,ZRANB1,null,null,0.13197489
TOGARAM1,TOGARAM1,null,null,0.13172738
GIT1,GIT1,null,null,0.13099362
ATP11C,ATP11C,null,null,0.13077466
TOMM5,TOMM5,null,null,0.13054094
TLCD1,TLCD1,null,null,0.13053706
LATS1,LATS1,null,null,0.13050728
ESRRA,ESRRA,null,null,0.13042775
SPIRE1,SPIRE1,null,null,0.13014887
FNDC3A,FNDC3A,null,null,0.12987757
BTG2,BTG2,null,null,0.1297686
WNT7B,WNT7B,null,null,0.12910658
PDE7A,PDE7A,null,null,0.12849642
GPX7,GPX7,null,null,0.12830146
NCOA1,NCOA1,null,null,0.1280037
RAB11FIP2,RAB11FIP2,null,null,0.12778161
FAM13B,FAM13B,null,null,0.12775172
ZFP36L1,ZFP36L1,null,null,0.12758078
NDST2,NDST2,null,null,0.12745154
RUSC1,RUSC1,null,null,0.12732022
BMI1,BMI1,null,null,0.12728226
STXBP5,STXBP5,null,null,0.12713735
MFSD6,MFSD6,null,null,0.126813
SOGA1,SOGA1,null,null,0.12593865
FGD6,FGD6,null,null,0.12542152
CRTC2,CRTC2,null,null,0.12531203
PTPN6,PTPN6,null,null,0.12516698
SLF2,SLF2,null,null,0.124636024
HIF1AN,HIF1AN,null,null,0.124457635
LARP1B,LARP1B,null,null,0.12421577
ENTPD7,ENTPD7,null,null,0.124141335
ZBTB38,ZBTB38,null,null,0.12396747
ORMDL1,ORMDL1,null,null,0.1235497
TMEM123,TMEM123,null,null,0.123242244
TMSB10,TMSB10,null,null,0.122925214
ANKRD13D,ANKRD13D,null,null,0.122698694
BBS1,BBS1,null,null,0.1225904
ATRN,ATRN,null,null,0.12249431
GPR137B,GPR137B,null,null,0.12222856
KLF16,KLF16,null,null,0.12203374
CTNND1,CTNND1,null,null,0.12180642
PHLPP2,PHLPP2,null,null,0.12161922
RBM3,RBM3,null,null,0.121581666
ARL16,ARL16,null,null,0.1213866
KLHL5,KLHL5,null,null,0.1212604
KIF26B,KIF26B,null,null,0.1210695
ATP13A3,ATP13A3,null,null,0.12084294
DYNC1LI2,DYNC1LI2,null,null,0.12035384
NOTCH1,NOTCH1,null,null,0.11986531
ZFYVE16,ZFYVE16,null,null,0.119827874
ULK1,ULK1,null,null,0.11975353
NAT1,NAT1,null,null,0.11945145
SKI,SKI,null,null,0.11893606
HK1,HK1,null,null,0.118885666
ELK3,ELK3,null,null,0.11870518
DNAJB9,DNAJB9,null,null,0.11847962
E2F1,E2F1,null,null,0.11835997
ARSB,ARSB,null,null,0.11791697
ZNF275,ZNF275,null,null,0.11786909
KLHDC10,KLHDC10,null,null,0.11730656
ZZEF1,ZZEF1,null,null,0.11702236
NCOR2,NCOR2,null,null,0.116798595
FNDC3B,FNDC3B,null,null,0.11672787
STK33,STK33,null,null,0.116450615
PER2,PER2,null,null,0.116000645
RAVER2,RAVER2,null,null,0.11584869
NETO2,NETO2,null,null,0.11580737
PPP2R2D,PPP2R2D,null,null,0.11566534
PDGFD,PDGFD,null,null,0.11558352
PNMA1,PNMA1,null,null,0.115413725
CACNA2D3,CACNA2D3,null,null,0.11513752
AUNIP,AUNIP,null,null,0.11475764
TAB3,TAB3,null,null,0.114608325
LRRC1,LRRC1,null,null,0.11339688
LACC1,LACC1,null,null,0.1133791
GOLGA7,GOLGA7,null,null,0.11328563
ERLIN1,ERLIN1,null,null,0.11321361
OAT,OAT,null,null,0.11316453
AGFG1,AGFG1,null,null,0.112735204
TMEM245,TMEM245,null,null,0.11259086
RASA2,RASA2,null,null,0.11256305
MSANTD3,MSANTD3,null,null,0.11251292
FAM193A,FAM193A,null,null,0.11246664
MYLPF,MYLPF,null,null,0.11235786
UGCG,UGCG,null,null,0.11221049
DSTYK,DSTYK,null,null,0.112065814
SS18L1,SS18L1,null,null,0.11183618
PRDM4,PRDM4,null,null,0.111818224
ARNTL2,ARNTL2,null,null,0.11174842
FBXW11,FBXW11,null,null,0.11163972
BTBD10,BTBD10,null,null,0.11160221
RUBCN,RUBCN,null,null,0.11156338
BRK1,BRK1,null,null,0.11151964
GIGYF1,GIGYF1,null,null,0.11149101
PPARA,PPARA,null,null,0.11138004
ZNRF2,ZNRF2,null,null,0.11128527
STK36,STK36,null,null,0.111130014
GXYLT1,GXYLT1,null,null,0.110948265
HIGD1A,HIGD1A,null,null,0.11084157
ZNF384,ZNF384,null,null,0.11059338
SLC17A5,SLC17A5,null,null,0.110453494
TOPBP1,TOPBP1,null,null,0.11036181
TPRG1L,TPRG1L,null,null,0.110308245
ZNF768,ZNF768,null,null,0.110255845
KDM6B,KDM6B,null,null,0.110222064
TMTC3,TMTC3,null,null,0.11014215
NLK,NLK,null,null,0.11002953
TRAF3IP1,TRAF3IP1,null,null,0.109997034
ABHD12,ABHD12,null,null,0.10997654
RPS6KA4,RPS6KA4,null,null,0.1098423
TULP4,TULP4,null,null,0.10983609
FRA10AC1,FRA10AC1,null,null,0.10975235
GRK3,GRK3,null,null,0.10957867
JMY,JMY,null,null,0.109565206
ZFYVE9,ZFYVE9,null,null,0.10954713
PPM1K,PPM1K,null,null,0.10935661
CENPS-CORT,CENPS-CORT,null,null,0.10932859
ITFG1,ITFG1,null,null,0.10929518
GLTP,GLTP,null,null,0.10922184
ITPRID2,ITPRID2,null,null,0.10909277
KAT2B,KAT2B,null,null,0.10903321
FOXC1,FOXC1,null,null,0.1088794
C21orf91,C21orf91,null,null,0.10859571
ATN1,ATN1,null,null,0.108435236
TRIB1,TRIB1,null,null,0.10829855
PKD1,PKD1,null,null,0.10823527
REXO1,REXO1,null,null,0.10808527
CENPS,CENPS,null,null,0.10797757
STK39,STK39,null,null,0.10792977
NLN,NLN,null,null,0.10778257
EIF5A2,EIF5A2,null,null,0.107724614
TMCO4,TMCO4,null,null,0.10736595
RGS2,RGS2,null,null,0.1073171
PNKD,PNKD,null,null,0.10727174
CNIH1,CNIH1,null,null,0.10710877
SIMC1,SIMC1,null,null,0.10709758
AC026470.1,AC026470.1,null,null,0.10662755
GALNS,GALNS,null,null,0.10631872
GALNT1,GALNT1,null,null,0.10617577
RP9,RP9,null,null,0.106123105
TLE4,TLE4,null,null,0.10609491
FOXJ3,FOXJ3,null,null,0.10582316
SOCS5,SOCS5,null,null,0.10545078
RRBP1,RRBP1,null,null,0.10545064
NR4A1,NR4A1,null,null,0.105434276
LUZP1,LUZP1,null,null,0.10526063
IGF2R,IGF2R,null,null,0.10501196
CA8,CA8,null,null,0.10483525
SNX11,SNX11,null,null,0.104825914
ZMYND19,ZMYND19,null,null,0.10470753
SBNO1,SBNO1,null,null,0.1046798
IL4R,IL4R,null,null,0.10454217
KIF21A,KIF21A,null,null,0.10449926
RPS23,RPS23,null,null,0.10398039
SNAI2,SNAI2,null,null,0.10362355
ARF4,ARF4,null,null,0.103554405
TAF4,TAF4,null,null,0.10355194
FKBP1A,FKBP1A,null,null,0.10343751
POLR3G,POLR3G,null,null,0.10342423
KMT2B,KMT2B,null,null,0.10340757
SLC26A2,SLC26A2,null,null,0.103406645
TSPAN33,TSPAN33,null,null,0.10339081
SOS1,SOS1,null,null,0.10336755
KIAA0232,KIAA0232,null,null,0.103244446
ASAP1,ASAP1,null,null,0.10290308
TNFAIP1,TNFAIP1,null,null,0.102902934
RAB22A,RAB22A,null,null,0.102878496
AGFG2,AGFG2,null,null,0.10262585
DHX33,DHX33,null,null,0.102613986
SRGN,SRGN,null,null,0.1025483
VPS37A,VPS37A,null,null,0.10246387
MLLT6,MLLT6,null,null,0.10237364
CHSY1,CHSY1,null,null,0.102250494
MED13L,MED13L,null,null,0.10214256
HLA-DRB5,HLA-DRB5,null,null,0.10184796
LRCH1,LRCH1,null,null,0.10179649
RHBDD2,RHBDD2,null,null,0.10159801
BOLA3,BOLA3,null,null,0.10150265
NECAP1,NECAP1,null,null,0.101115175
SLC25A22,SLC25A22,null,null,0.1011112
PLEKHB2,PLEKHB2,null,null,0.10106139
KCMF1,KCMF1,null,null,0.100991644
USP12,USP12,null,null,0.10089422
DGKD,DGKD,null,null,0.100789584
MIA2,MIA2,null,null,0.10039813
SCYL2,SCYL2,null,null,0.100389816
PHC2,PHC2,null,null,0.10011324
HIPK1,HIPK1,null,null,0.099910654
SP4,SP4,null,null,0.09979243
MAPK9,MAPK9,null,null,0.09979137
C6orf120,C6orf120,null,null,0.09970231
UROS,UROS,null,null,0.09956287
KIAA1109,KIAA1109,null,null,0.09941554
COQ2,COQ2,null,null,0.09928587
CHCHD10,CHCHD10,null,null,0.09920267
TSC22D1,TSC22D1,null,null,0.0991561
PDXDC1,PDXDC1,null,null,0.09914408
UBALD1,UBALD1,null,null,0.098951146
RAB4A,RAB4A,null,null,0.09882646
MAP2K4,MAP2K4,null,null,0.098579325
USB1,USB1,null,null,0.09855925
TTYH3,TTYH3,null,null,0.09852075
PCNX1,PCNX1,null,null,0.09847802
SNX22,SNX22,null,null,0.09844328
