ID,Description,GeneRatio,n,N,BgRatio,b,B,pvalue,p.adjust,qvalue,geneID,Count,EnrichmentScore,group,status,sample
GO:0015949,nucleobase-containing small molecule interconversion,6/211,6,211,26/16847,26,16847,6.714418491878407e-7,9.733557479109536e-5,8.781612392764095e-5,NME3/GSR/DTYMK/TYMS/NME1/NME2,6,18.425446591323368,GO BP,TE_down,U2932
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,19/211,19,211,95/16847,95,16847,6.2030365561175695e-18,5.555853075429303e-15,5.0124888381539524e-15,RPL18/RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPL35/RPLP1/RPL11/RPL7A/RPS3/RPS14/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,19,15.96872037914692,GO BP,TE_down,U2932
GO:0006613,cotranslational protein targeting to membrane,19/211,19,211,99/16847,99,16847,1.413294671990656e-17,7.595045567277786e-15,6.852247641251539e-15,RPL18/RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPL35/RPLP1/RPL11/RPL7A/RPS3/RPS14/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,19,15.323519555747044,GO BP,TE_down,U2932
GO:0045047,protein targeting to ER,20/211,20,211,110/16847,110,16847,5.940443142236209e-18,5.555853075429303e-15,5.0124888381539524e-15,RPL18/RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPL35/RPLP1/RPL11/RPL7A/RPS3/RPS14/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A/CHMP4A,20,14.517018526497198,GO BP,TE_down,U2932
GO:0072599,establishment of protein localization to endoplasmic reticulum,20/211,20,211,114/16847,114,16847,1.2444232856061199e-17,7.595045567277786e-15,6.852247641251539e-15,RPL18/RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPL35/RPLP1/RPL11/RPL7A/RPS3/RPS14/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A/CHMP4A,20,14.007649455392034,GO BP,TE_down,U2932
GO:0070972,protein localization to endoplasmic reticulum,23/211,23,211,142/16847,142,16847,2.6849312571109517e-19,7.214410287857127e-16,6.508838615922655e-16,RPL18/RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/OS9/RPL35/RPLP1/RPL11/RPL7A/RPS3/RPS14/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A/GPAA1/DDRGK1/CHMP4A,23,12.932414391562647,GO BP,TE_down,U2932
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",19/211,19,211,120/16847,120,16847,6.114794765547328e-16,2.738408922504278e-13,2.4705916394834204e-13,RPL18/RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPL35/RPLP1/RPL11/RPL7A/RPS3/RPS14/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,19,12.641903633491312,GO BP,TE_down,U2932
GO:0042255,ribosome assembly,8/211,8,211,63/16847,63,16847,1.1370361761119358e-6,1.4548648596251294e-4,1.312578603301147e-4,RPS5/RPLP0/RPS19/NOP53/RPL11/RPS14/RPSA/BOP1,8,10.138870081998045,GO BP,TE_down,U2932
GO:0019083,viral transcription,21/211,21,211,177/16847,177,16847,6.8864473528321134e-15,2.312985504632486e-12,2.0867747702068894e-12,RPL18/RPS5/RPLP0/AAAS/RPS16/RPS19/RPL28/GTF2F1/RPL36/RPL35/RPLP1/RPL11/RPL7A/RPS3/RPS14/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,21,9.472969716443087,GO BP,TE_down,U2932
GO:0019080,viral gene expression,21/211,21,211,194/16847,194,16847,4.392816573325507e-14,1.1803498132525637e-11,1.064911217723015e-11,RPL18/RPS5/RPLP0/AAAS/RPS16/RPS19/RPL28/GTF2F1/RPL36/RPL35/RPLP1/RPL11/RPL7A/RPS3/RPS14/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,21,8.642864122734158,GO BP,TE_down,U2932
