ID,Description,GeneRatio,n,N,BgRatio,b,B,pvalue,p.adjust,qvalue,geneID,Count,EnrichmentScore,group,status,sample
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,16/83,16,83,82/8253,82,8253,5.947158401991362e-17,8.742322850927302e-14,8.620249599518007e-14,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,19.40170437848957,GO BP,TE_down,U2932
GO:0006613,cotranslational protein targeting to membrane,16/83,16,83,86/8253,86,8253,1.3354391689915944e-16,9.815477892088218e-14,9.67841966158645e-14,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,18.4992995236761,GO BP,TE_down,U2932
GO:0045047,protein targeting to ER,16/83,16,83,97/8253,97,8253,1.006242915155852e-15,4.905187022946879e-13,4.836693541423454e-13,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,16.401440814805614,GO BP,TE_down,U2932
GO:0072599,establishment of protein localization to endoplasmic reticulum,16/83,16,83,100/8253,100,8253,1.6684309601860134e-15,4.905187022946879e-13,4.836693541423454e-13,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,15.909397590361447,GO BP,TE_down,U2932
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",16/83,16,83,108/8253,108,8253,5.930849080207758e-15,1.4530580246509008e-12,1.4327682777975583e-12,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,14.730923694779117,GO BP,TE_down,U2932
GO:0070972,protein localization to endoplasmic reticulum,17/83,17,83,119/8253,119,8253,1.4424942516949995e-15,4.905187022946879e-13,4.836693541423454e-13,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A/GPAA1,17,14.204819277108433,GO BP,TE_down,U2932
GO:0006612,protein targeting to membrane,17/83,17,83,146/8253,146,8253,4.776328421313918e-14,1.0030289684759227e-11,9.890231934059044e-12,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/ZDHHC12/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,17,11.577900643670572,GO BP,TE_down,U2932
GO:0042255,ribosome assembly,6/83,6,83,56/8253,56,8253,1.8731720004743744e-5,0.0011972012350857958,0.0011804841394293885,RPS5/RPLP0/RPS19/NOP53/RPL11/RPSA,6,10.653614457831324,GO BP,TE_down,U2932
GO:0006413,translational initiation,17/83,17,83,163/8253,163,8253,3.0266639950110195e-13,5.5614950908327486e-11,5.483837264644966e-11,RPS5/RPLP0/RPS16/RPS19/RPL28/ATF4/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,17,10.3703895335945,GO BP,TE_down,U2932
GO:0019083,viral transcription,16/83,16,83,157/8253,157,8253,2.3525476551207956e-12,3.8424945033639665e-10,3.7888399077208607e-10,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,10.133374261376717,GO BP,TE_down,U2932
GO:0019080,viral gene expression,16/83,16,83,174/8253,174,8253,1.1563071987035158e-11,1.6997715820941682e-9,1.6760368553839382e-9,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,9.14333194848359,GO BP,TE_down,U2932
GO:0000956,nuclear-transcribed mRNA catabolic process,16/83,16,83,188/8253,188,8253,3.7764512569083706e-11,5.046712134232095e-9,4.9762424696295e-9,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,8.462445526788004,GO BP,TE_down,U2932
GO:0002181,cytoplasmic translation,6/83,6,83,83/8253,83,8253,1.754634404629105e-4,0.010747135728353268,0.010597068312167886,RPLP0/RPL36/RPLP1/RPL11/RPSA/RPL15,6,7.187980839018725,GO BP,TE_down,U2932
GO:0090150,establishment of protein localization to membrane,17/83,17,83,244/8253,244,8253,2.0661270503732968e-10,2.5310056367072886e-8,2.4956639897930085e-8,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/ZDHHC12/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,17,6.92776022121272,GO BP,TE_down,U2932
GO:0006605,protein targeting,17/83,17,83,319/8253,319,8253,1.258610517306575e-8,1.4231980464928195e-6,1.403325248851137e-6,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/ZDHHC12/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,17,5.298976470143899,GO BP,TE_down,U2932
GO:0006402,mRNA catabolic process,16/83,16,83,313/8253,313,8253,6.44894157206461e-8,6.771388650667841e-6,6.676836499799224e-6,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,5.082874629508449,GO BP,TE_down,U2932
GO:0006401,RNA catabolic process,16/83,16,83,345/8253,345,8253,2.4670535190869794e-7,2.4177124487052396e-5,2.3839527689703657e-5,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,4.611419591409114,GO BP,TE_down,U2932
GO:0072657,protein localization to membrane,17/83,17,83,401/8253,401,8253,3.5408461185731884e-7,3.253152371439117e-5,3.207727042944264e-5,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/ZDHHC12/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,17,4.215395246822702,GO BP,TE_down,U2932
GO:0034655,nucleobase-containing compound catabolic process,16/83,16,83,429/8253,429,8253,4.442644985686143e-6,3.841581252328606e-4,3.7879394088481856e-4,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,3.7084842867975403,GO BP,TE_down,U2932
GO:0072594,establishment of protein localization to organelle,16/83,16,83,438/8253,438,8253,5.799323483889664e-6,4.736114178509893e-4,4.6699815422900987e-4,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,3.6322825548770425,GO BP,TE_down,U2932
GO:0046700,heterocycle catabolic process,16/83,16,83,444/8253,444,8253,6.899647354146817e-6,5.218666957250648e-4,5.145796204893765e-4,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,3.583197655486812,GO BP,TE_down,U2932
GO:0044270,cellular nitrogen compound catabolic process,16/83,16,83,445/8253,445,8253,7.100227152721969e-6,5.218666957250648e-4,5.145796204893765e-4,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,3.575145525923921,GO BP,TE_down,U2932
GO:0019439,aromatic compound catabolic process,16/83,16,83,447/8253,447,8253,7.517152926311104e-6,5.262007048417773e-4,5.188531117559093e-4,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,3.559149349074149,GO BP,TE_down,U2932
GO:0022618,ribonucleoprotein complex assembly,6/83,6,83,168/8253,168,8253,0.006745290801925891,0.23756277512855,0.2342455720386777,RPS5/RPLP0/RPS19/NOP53/RPL11/RPSA,6,3.551204819277108,GO BP,TE_down,U2932
GO:0042254,ribosome biogenesis,10/83,10,83,284/8253,284,8253,5.242243168115225e-4,0.029638836373574545,0.029224975070828607,RPS5/RPLP0/RPS16/RPS19/NOP53/GAR1/RPL11/RPL7A/RPSA/RPS9,10,3.5011878499915152,GO BP,TE_down,U2932
GO:1901361,organic cyclic compound catabolic process,16/83,16,83,457/8253,457,8253,9.949706460491107e-6,6.64821295314633e-4,6.555380763682419e-4,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,3.4812686193351086,GO BP,TE_down,U2932
GO:0071826,ribonucleoprotein complex subunit organization,6/83,6,83,175/8253,175,8253,0.008182806533433527,0.26730501342549523,0.2635725051821747,RPS5/RPLP0/RPS19/NOP53/RPL11/RPSA,6,3.4091566265060242,GO BP,TE_down,U2932
GO:0006364,rRNA processing,7/83,7,83,209/8253,209,8253,0.004925077790714799,0.21159692766229157,0.20864229816754423,RPS16/RPS19/NOP53/GAR1/RPL11/RPL7A/RPS9,7,3.3303164812359487,GO BP,TE_down,U2932
GO:0016072,rRNA metabolic process,7/83,7,83,217/8253,217,8253,0.006031145117179398,0.2270390061044582,0.22386875145423485,RPS16/RPS19/NOP53/GAR1/RPL11/RPL7A/RPS9,7,3.2075398367664203,GO BP,TE_down,U2932
GO:0097193,intrinsic apoptotic signaling pathway,6/83,6,83,208/8253,208,8253,0.01802895100932034,0.42746061264033713,0.42149177486984907,PTPMT1/ATF4/TPT1/RPL11/RPS3/RAD9A,6,2.868280815569972,GO BP,TE_down,U2932
GO:0055065,metal ion homeostasis,6/83,6,83,226/8253,226,8253,0.025900497192910647,0.5599078069643919,0.5520895454278324,KCNH2/ATF4/TPT1/STOML2/CCR10/LIME1,6,2.6398336709670542,GO BP,TE_down,U2932
GO:0055080,cation homeostasis,7/83,7,83,268/8253,268,8253,0.017913879597310816,0.42746061264033713,0.42149177486984907,KCNH2/ATP6V0B/ATF4/TPT1/STOML2/CCR10/LIME1,7,2.597149793202661,GO BP,TE_down,U2932
GO:0098771,inorganic ion homeostasis,7/83,7,83,272/8253,272,8253,0.01927014659791808,0.4358017769067628,0.42971646745478864,KCNH2/ATP6V0B/ATF4/TPT1/STOML2/CCR10/LIME1,7,2.5589564138908574,GO BP,TE_down,U2932
GO:0030003,cellular cation homeostasis,6/83,6,83,240/8253,240,8253,0.03341489667227321,0.6217708621296407,0.6130887770515685,ATP6V0B/ATF4/TPT1/STOML2/CCR10/LIME1,6,2.4858433734939758,GO BP,TE_down,U2932
GO:0022613,ribonucleoprotein complex biogenesis,10/83,10,83,402/8253,402,8253,0.006787507860815715,0.23756277512855,0.2342455720386777,RPS5/RPLP0/RPS16/RPS19/NOP53/GAR1/RPL11/RPL7A/RPSA/RPS9,10,2.4734759935263444,GO BP,TE_down,U2932
GO:0006873,cellular ion homeostasis,6/83,6,83,243/8253,243,8253,0.03519204177158362,0.646653767552849,0.6376242305193506,ATP6V0B/ATF4/TPT1/STOML2/CCR10/LIME1,6,2.4551539491298526,GO BP,TE_down,U2932
GO:0050801,ion homeostasis,7/83,7,83,296/8253,296,8253,0.02895458327275325,0.601152053476749,0.5927578787235828,KCNH2/ATP6V0B/ATF4/TPT1/STOML2/CCR10/LIME1,7,2.3514734614132204,GO BP,TE_down,U2932
GO:0034470,ncRNA processing,7/83,7,83,355/8253,355,8253,0.06553227434197187,0.6579117186554333,0.648724981445422,RPS16/RPS19/NOP53/GAR1/RPL11/RPL7A/RPS9,7,1.9606651959952486,GO BP,TE_down,U2932
GO:0030001,metal ion transport,6/83,6,83,310/8253,310,8253,0.0912645161704661,0.6579117186554333,0.648724981445422,KCNH2/ATP6V0B/ATF4/TPT1/STOML2/LIME1,6,1.9245239020598524,GO BP,TE_down,U2932
GO:0001816,cytokine production,7/83,7,83,367/8253,367,8253,0.07538310545176218,0.6579117186554333,0.648724981445422,YY1/NOP53/ATF4/RPS3/STOML2/SULF2/CARD11,7,1.896556252256984,GO BP,TE_down,U2932
GO:0055082,cellular chemical homeostasis,6/83,6,83,320/8253,320,8253,0.10235983552208162,0.6579117186554333,0.648724981445422,ATP6V0B/ATF4/TPT1/STOML2/CCR10/LIME1,6,1.8643825301204817,GO BP,TE_down,U2932
GO:0001817,regulation of cytokine production,6/83,6,83,333/8253,333,8253,0.1178057756258054,0.6579117186554333,0.648724981445422,YY1/NOP53/ATF4/RPS3/SULF2/CARD11,6,1.7915988277434058,GO BP,TE_down,U2932
GO:0050778,positive regulation of immune response,6/83,6,83,356/8253,356,8253,0.14782937895660647,0.6579117186554333,0.648724981445422,RPS19/RPS3/STOML2/CARD11/LIME1/PVRIG,6,1.6758494652768376,GO BP,TE_down,U2932
GO:0006812,cation transport,7/83,7,83,419/8253,419,8253,0.12764813426157837,0.6579117186554333,0.648724981445422,KCNH2/ATP6V0B/ATF4/TPT1/STOML2/COX8A/LIME1,7,1.661184115938695,GO BP,TE_down,U2932
GO:0006091,generation of precursor metabolites and energy,6/83,6,83,360/8253,360,8253,0.15338383385931417,0.6579117186554333,0.648724981445422,NOP53/NDUFC1/UQCR11/UQCC2/STOML2/COX8A,6,1.6572289156626505,GO BP,TE_down,U2932
GO:0019725,cellular homeostasis,7/83,7,83,424/8253,424,8253,0.1334677626536424,0.6579117186554333,0.648724981445422,ATP6V0B/ATF4/TPT1/STOML2/CCR10/LIME1/E2F4,7,1.6415946806092292,GO BP,TE_down,U2932
GO:0034660,ncRNA metabolic process,7/83,7,83,427/8253,427,8253,0.13702320444472219,0.6579117186554333,0.648724981445422,RPS16/RPS19/NOP53/GAR1/RPL11/RPL7A/RPS9,7,1.63006122852064,GO BP,TE_down,U2932
GO:0090407,organophosphate biosynthetic process,6/83,6,83,369/8253,369,8253,0.1662208239755556,0.6579117186554333,0.648724981445422,SBF1/NME3/PTPMT1/STOML2/GPAA1/APRT,6,1.6168086982074639,GO BP,TE_down,U2932
GO:0016569,covalent chromatin modification,6/83,6,83,378/8253,378,8253,0.1795078433605978,0.6579117186554333,0.648724981445422,SETD1A/MBD2/MTF2/NTMT1/ATXN7/TAF10,6,1.578313253012048,GO BP,TE_down,U2932
GO:1901137,carbohydrate derivative biosynthetic process,6/83,6,83,387/8253,387,8253,0.19321886668322152,0.6579117186554333,0.648724981445422,NME3/A4GALT/STOML2/GPAA1/APRT/ALG3,6,1.5416082936396749,GO BP,TE_down,U2932
GO:0097190,apoptotic signaling pathway,6/83,6,83,388/8253,388,8253,0.19476730390156208,0.6579117186554333,0.648724981445422,PTPMT1/ATF4/TPT1/RPL11/RPS3/RAD9A,6,1.5376350763880262,GO BP,TE_down,U2932
GO:0048878,chemical homeostasis,7/83,7,83,471/8253,471,8253,0.1942925206015636,0.6579117186554333,0.648724981445422,KCNH2/ATP6V0B/ATF4/TPT1/STOML2/CCR10/LIME1,7,1.477783746450771,GO BP,TE_down,U2932
GO:0034220,ion transmembrane transport,6/83,6,83,432/8253,432,8253,0.26713037962318575,0.69797718374837725,0.6882309932126857,KCNH2/ATP6V0B/STOML2/COX8A/TMEM120A/LIME1,6,1.3810240963855422,GO BP,TE_down,U2932
GO:0050776,regulation of immune response,6/83,6,83,456/8253,456,8253,0.30929290256383096,0.69797718374837725,0.6882309932126857,RPS19/RPS3/STOML2/CARD11/LIME1/PVRIG,6,1.3083386176284082,GO BP,TE_down,U2932
GO:0002684,positive regulation of immune system process,6/83,6,83,489/8253,489,8253,0.3689946150639753,0.7230724823534513,0.7129758741143591,RPS19/RPS3/STOML2/CARD11/LIME1/PVRIG,6,1.2200458274817059,GO BP,TE_down,U2932
GO:0022625,cytosolic large ribosomal subunit,10/85,10,85,47/8494,47,8494,2.2427767353666833e-11,1.5848955596591228e-9,1.526662058460128e-9,RPLP0/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPL13/RPL15/RPLP2/RPL37A,10,21.261576971214016,GO CC,TE_down,U2932
GO:0022626,cytosolic ribosome,16/85,16,85,89/8494,89,8494,2.2859637664367657e-16,4.8462431848459435e-14,4.668178638828764e-14,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,17.964838070059486,GO CC,TE_down,U2932
GO:0022627,cytosolic small ribosomal subunit,6/85,6,85,39/8494,39,8494,2.104548735132263e-6,7.43607219746733e-5,7.162850080976475e-5,RPS5/RPS16/RPS19/RPS3/RPSA/RPS9,6,15.373755656108596,GO CC,TE_down,U2932
GO:0015934,large ribosomal subunit,10/85,10,85,104/8494,104,8494,7.12927475244419e-8,3.0228124950363367e-6,2.9117458988929958e-6,RPLP0/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPL13/RPL15/RPLP2/RPL37A,10,9.608597285067873,GO CC,TE_down,U2932
GO:0044391,ribosomal subunit,16/85,16,85,167/8494,167,8494,5.888987780789121e-12,6.242327047636469e-10,6.012966470910998e-10,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,9.574075378654456,GO CC,TE_down,U2932
GO:0015935,small ribosomal subunit,6/85,6,85,66/8494,66,8494,4.7244534824118366e-5,0.0013412436149592975,0.0012919625685308027,RPS5/RPS16/RPS19/RPS3/RPSA/RPS9,6,9.084491978609625,GO CC,TE_down,U2932
GO:0005840,ribosome,16/85,16,85,202/8494,202,8494,1.0740183191025661e-10,5.6922970912436e-9,5.4831461554183635e-9,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,7.915200931857892,GO CC,TE_down,U2932
GO:0005925,focal adhesion,11/85,11,85,260/8494,260,8494,5.129810386749586e-5,0.0013412436149592975,0.0012919625685308027,RPS5/RPLP0/RPS16/RPS19/RPLP1/MTF2/RPL7A/RPS3/RPS9/RPLP2/RPL37A,11,4.2277828054298645,GO CC,TE_down,U2932
GO:0030055,cell-substrate junction,11/85,11,85,263/8494,263,8494,5.693958742751734e-5,0.0013412436149592975,0.0012919625685308027,RPS5/RPLP0/RPS16/RPS19/RPLP1/MTF2/RPL7A/RPS3/RPS9/RPLP2/RPL37A,11,4.179557146052338,GO CC,TE_down,U2932
GO:0070161,anchoring junction,12/85,12,85,404/8494,404,8494,6.398105743360004e-4,0.013563984175923208,0.013065605412756219,RPS5/RPLP0/RPS16/RPS19/RPLP1/TCHP/MTF2/RPL7A/RPS3/RPS9/RPLP2/RPL37A,12,2.9682003494467093,GO CC,TE_down,U2932
GO:0005667,transcription regulator complex,7/85,7,85,262/8494,262,8494,0.01565818547477092,0.23710966576081677,0.22839759263951567,TCF3/YY1/ATF4/ZFHX3/HDGF/TAF10/E2F4,7,2.669869779973058,GO CC,TE_down,U2932
GO:0019866,organelle inner membrane,10/85,10,85,421/8494,421,8494,0.009018180469324245,0.14706571226898,0.14166210615780594,NDUFC1/PTPMT1/UQCR11/UQCC2/NRM/RPS3/STOML2/SPNS1/COX8A/TMEM120A,10,2.3736202319407576,GO CC,TE_down,U2932
GO:0005743,mitochondrial inner membrane,8/85,8,85,383/8494,383,8494,0.03723038929227781,0.46428485470369973,0.4472257289598697,NDUFC1/PTPMT1/UQCR11/UQCC2/RPS3/STOML2/SPNS1/COX8A,8,2.0872984180617418,GO CC,TE_down,U2932
GO:0003735,structural constituent of ribosome,16/86,16,86,143/8452,143,8452,6.797760731845529e-13,1.7130357044250735e-10,1.695862414155148e-10,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,10.99625955439909,GO MF,TE_down,U2932
GO:0019843,rRNA binding,6/86,6,86,58/8452,58,8452,2.4661710558992037e-5,0.0020715836869553313,0.002050815930695127,RPS5/RPLP0/NOP53/RPL11/RPS3/RPS9,6,10.166800320769847,GO MF,TE_down,U2932
GO:0005198,structural molecule activity,16/86,16,86,289/8452,289,8452,2.5746199571366963e-8,3.2440211459922374e-6,3.211499630744195e-6,RPS5/RPLP0/RPS16/RPS19/RPL28/RPL36/RPLP1/RPL11/RPL7A/RPS3/RPL13/RPSA/RPS9/RPL15/RPLP2/RPL37A,16,5.441055765671522,GO MF,TE_down,U2932
GO:0008134,transcription factor binding,9/86,9,86,425/8452,425,8452,0.028235588092444967,0.5485819965162024,0.543082427628822,TCF3/SETD1A/UBA2/ATF4/HDGF/RPS3/TAF10/PTMA/E2F4,9,2.081203830369357,GO MF,TE_down,U2932
GO:0019904,protein domain specific binding,8/86,8,86,436/8452,436,8452,0.07500652667629631,0.5485819965162024,0.543082427628822,KCNH2/ERC1/STUB1/ATF4/MBD2/RAD9A/CARD11/E2F4,8,1.8032856838062725,GO MF,TE_down,U2932
GO:0019901,protein kinase binding,7/86,7,86,421/8452,421,8452,0.13595487323587915,0.5485819965162024,0.543082427628822,TCF3/RPS19/ATF4/JTB/RPS3/RAD9A/LIME1,7,1.6340937966082971,GO MF,TE_down,U2932
GO:0019900,kinase binding,8/86,8,86,483/8452,483,8452,0.11725928587632395,0.5485819965162024,0.543082427628822,TCF3/STUB1/RPS19/ATF4/JTB/RPS3/RAD9A/LIME1,8,1.627810679377919,GO MF,TE_down,U2932
GO:0000978,RNA polymerase II cis-regulatory region sequence-specific DNA binding,7/86,7,86,492/8452,492,8452,0.2334390545142699,0.5485819965162024,0.543082427628822,TCF3/YY1/ATF4/MBD2/ZFHX3/THAP11/E2F4,7,1.3982794479107583,GO MF,TE_down,U2932
GO:0016788,"hydrolase activity, acting on ester bonds",6/86,6,86,429/8452,429,8452,0.27075962153944255,0.5485819965162024,0.543082427628822,SBF1/PTPMT1/RPS3/NT5DC2/RAD9A/SULF2,6,1.374532444299886,GO MF,TE_down,U2932
GO:0001654,eye development,6/66,6,66,126/8253,126,8253,4.829167344918373e-4,0.1888204431863084,0.18706669293999592,TULP3/HIF1A/GPD2/MFN2/AGTPBP1/MFSD2A,6,5.954545454545455,GO BP,TE_up,U2932
GO:0048880,sensory system development,6/66,6,66,126/8253,126,8253,4.829167344918373e-4,0.1888204431863084,0.18706669293999592,TULP3/HIF1A/GPD2/MFN2/AGTPBP1/MFSD2A,6,5.954545454545455,GO BP,TE_up,U2932
GO:0150063,visual system development,6/66,6,66,126/8253,126,8253,4.829167344918373e-4,0.1888204431863084,0.18706669293999592,TULP3/HIF1A/GPD2/MFN2/AGTPBP1/MFSD2A,6,5.954545454545455,GO BP,TE_up,U2932
GO:0007423,sensory organ development,6/66,6,66,188/8253,188,8253,0.0037730394401125416,0.45681647662170277,0.45257359912986034,TULP3/HIF1A/GPD2/MFN2/AGTPBP1/MFSD2A,6,3.9908123791102517,GO BP,TE_up,U2932
GO:0040012,regulation of locomotion,8/66,8,66,391/8253,391,8253,0.012233493680061854,0.5376531419930948,0.5326594595597223,KRIT1/PKN2/HIF1A/GCNT2/SSX2IP/SDCBP/LMNA/ZSWIM8,8,2.558474773308533,GO BP,TE_up,U2932
GO:0051270,regulation of cellular component movement,8/66,8,66,406/8253,406,8253,0.015085736859669404,0.5376531419930948,0.5326594595597223,KRIT1/PKN2/HIF1A/GCNT2/SSX2IP/SDCBP/LMNA/ZSWIM8,8,2.463949843260188,GO BP,TE_up,U2932
GO:0048646,anatomical structure formation involved in morphogenesis,8/66,8,66,408/8253,408,8253,0.015499960357463984,0.5376531419930948,0.5326594595597223,KRIT1/TULP3/HIF1A/MIB1/MFN2/AGTPBP1/KBTBD8/UGT8,8,2.4518716577540105,GO BP,TE_up,U2932
GO:0051241,negative regulation of multicellular organismal process,9/66,9,66,464/8253,464,8253,0.011034096398237008,0.5376531419930948,0.5326594595597223,KRIT1/TULP3/HIF1A/MIB1/GLRX3/CD83/RAB11FIP1/LMNA/CD2AP,9,2.4254506269592473,GO BP,TE_up,U2932
GO:2000145,regulation of cell motility,7/66,7,66,378/8253,378,8253,0.03054836436078292,0.5376531419930948,0.5326594595597223,KRIT1/PKN2/HIF1A/GCNT2/SSX2IP/SDCBP/LMNA,7,2.3156565656565657,GO BP,TE_up,U2932
GO:0000226,microtubule cytoskeleton organization,7/66,7,66,380/8253,380,8253,0.03131525551509292,0.5376531419930948,0.5326594595597223,USP33/SSX2IP/CLIP1/KIF3A/DYNC1LI2/LMNA/CALM1,7,2.303468899521531,GO BP,TE_up,U2932
GO:0009887,animal organ morphogenesis,7/66,7,66,383/8253,383,8253,0.032489959751982336,0.5376531419930948,0.5326594595597223,TULP3/HIF1A/MIB1/MFN2/AGTPBP1/MFSD2A/CRIP1,7,2.2854260621884643,GO BP,TE_up,U2932
GO:0007417,central nervous system development,8/66,8,66,440/8253,440,8253,0.023312474616249548,0.5376531419930948,0.5326594595597223,TULP3/HIF1A/AGTPBP1/C21orf91/SERPINI1/MFSD2A/UGT8/CALM1,8,2.273553719008264,GO BP,TE_up,U2932
GO:0007420,brain development,6/66,6,66,341/8253,341,8253,0.05425509881907843,0.5376531419930948,0.5326594595597223,TULP3/HIF1A/AGTPBP1/C21orf91/MFSD2A/CALM1,6,2.200213276459611,GO BP,TE_up,U2932
GO:0051960,regulation of nervous system development,7/66,7,66,405/8253,405,8253,0.04202227990050003,0.5376531419930948,0.5326594595597223,TULP3/HIF1A/MIB1/C21orf91/SERPINI1/MFSD2A/ZSWIM8,7,2.1612794612794612,GO BP,TE_up,U2932
GO:0060322,head development,6/66,6,66,360/8253,360,8253,0.06703895495751469,0.5376531419930948,0.5326594595597223,TULP3/HIF1A/AGTPBP1/C21orf91/MFSD2A/CALM1,6,2.084090909090909,GO BP,TE_up,U2932
