ensembl_gene_id,external_gene_name,entrezgene_id,baseMean_RNA,baseMean_Ribo,log2FoldChange_RNA,log2FoldChange_Ribo,lfcSE_RNA,lfcSE_Ribo,pvalue_RNA,pvalue_Ribo,padj_RNA,padj_Ribo,log2FoldChangeTE_DESeq2
ENSG00000000419,DPM1,8813,811.1928468121175,368.18454245768754,0.049142743407970174,-0.1510851273412355,0.13159834806824475,0.2035906054513644,0.7088285916543517,0.4580251458063046,0.9986627621636095,0.9981322094390942,-0.20022787074920567
ENSG00000000457,SCYL3,57147,92.02525464815055,28.368649207963866,-0.09075743842391304,-0.1162691872909569,0.2813907141169369,0.3984240268556834,0.7470498915446286,0.7704221651409953,0.9986627621636095,0.9981322094390942,-0.025511748867043854
ENSG00000000460,C1orf112,55732,390.80340002700615,136.7016949810808,0.21843434923096938,0.24304214879165587,0.14491535649122386,0.2812135013451637,0.13172770931174418,0.3874439688818489,0.9986627621636095,0.9981322094390942,0.024607799560686483
ENSG00000000938,FGR,2268,276.0521421099924,55.627812209764286,0.02992849611543017,-0.2158469934889311,0.16232644637968546,0.3540972396079114,0.8537214187677722,0.5421468034247517,0.9986627621636095,0.9981322094390942,-0.24577548960436127
ENSG00000001084,GCLC,2729,438.64305326514335,104.22320543778423,0.043552121270434396,0.21757426224336412,0.15443364557861713,0.2655624899022035,0.7779344081733,0.412617604634073,0.9986627621636095,0.9981322094390942,0.17402214097292973
ENSG00000001167,NFYA,4800,262.8482796197844,134.7616327379095,-0.10787335228090135,-0.49653569205983356,0.20681613245787736,0.23581139336662585,0.6019554039332486,0.035234975550333496,0.9986627621636095,0.9981322094390942,-0.3886623397789322
ENSG00000001461,NIPAL3,57185,97.011781147377,30.450876588816453,0.1754533149585989,0.2995507645993692,0.2646536890561015,0.382899406830461,0.5073597899630633,0.43402515387640594,0.9986627621636095,0.9981322094390942,0.1240974496407703
ENSG00000001497,LAS1L,81887,1501.2314189824197,786.4195007132728,0.011367776763156265,-0.05525047862373924,0.13154214246080095,0.1639711029141968,0.931133123929122,0.736152682160486,0.9986627621636095,0.9981322094390942,-0.0666182553868955
ENSG00000001561,ENPP4,22875,118.87881700231628,69.43422126327948,0.09601673433363601,0.2653180019126259,0.23715971077348938,0.289191054909554,0.6855796354183461,0.358907482509834,0.9986627621636095,0.9981322094390942,0.1693012675789899
ENSG00000001629,ANKIB1,54467,474.4919805475535,47.316090988396624,0.06045611823554227,0.1772594996776488,0.14174312440892714,0.3374072847013782,0.66972979587761,0.5993345848964524,0.9986627621636095,0.9981322094390942,0.11680338144210654
ENSG00000001630,CYP51A1,1595,399.53294644825525,173.47985680308125,-0.4263336886300898,-0.11091534613163148,0.1848529252946151,0.26289073361204734,0.021091643875775834,0.6730931631628263,0.9986627621636095,0.9981322094390942,0.31541834249845835
ENSG00000001631,KRIT1,889,455.50077086032053,56.94438560535481,0.3290131324366807,0.2846254419798362,0.1806033801419991,0.2993924860261219,0.06849383137780828,0.34176855123023414,0.9986627621636095,0.9981322094390942,-0.044387690456844486
ENSG00000002016,RAD52,5893,102.56999535512448,31.61003615582092,0.024328578902191283,-0.20687102752742204,0.2501220327453144,0.4656757442912292,0.9225144916086687,0.6568702632297393,0.9986627621636095,0.9981322094390942,-0.23119960642961332
ENSG00000002330,BAD,572,199.30048917547953,96.4953672396008,-0.18607604164293517,-0.3449641196620745,0.19753186984899082,0.3991409999583434,0.3461899955678294,0.387441612256727,0.9986627621636095,0.9981322094390942,-0.15888807801913934
ENSG00000002549,LAP3,51056,1596.3014971981372,880.5273401153868,-0.07379199900477527,-0.11358100468028404,0.10887692190048162,0.17249961934437172,0.4979263438429004,0.5102541163384546,0.9986627621636095,0.9981322094390942,-0.03978900567550876
ENSG00000002822,MAD1L1,8379,555.4843209162938,235.379766140874,0.05158421287732689,-0.03984726337467214,0.18719759333394276,0.20971916029188892,0.7828858550794622,0.8493068030044157,0.9986627621636095,0.9981322094390942,-0.09143147625199903
ENSG00000002834,LASP1,3927,874.9043557286161,817.649832604515,-0.21978660232682748,-0.3207391447281619,0.1282433728236208,0.20991777477744783,0.08656100820463304,0.12653053489844263,0.9986627621636095,0.9981322094390942,-0.10095254240133442
ENSG00000002919,SNX11,29916,113.19617794466343,37.699693906156796,0.07666126645889704,-0.00644044114585116,0.22111327502936765,0.3595999337105512,0.7288123131843885,0.985710637398276,0.9986627621636095,0.9981322094390942,-0.08310170760474819
ENSG00000003056,M6PR,4074,737.5915131082496,458.0590908386725,-0.05350826631580614,-0.086525989755733,0.1438145885124168,0.2519164061601362,0.7098450165849979,0.7312441246768034,0.9986627621636095,0.9981322094390942,-0.033017723439926865
ENSG00000003096,KLHL13,90293,89.75348684011642,42.07897838704876,0.29210294963379246,-0.2691090418718742,0.2459484683781717,0.33434731766265646,0.2349677226859918,0.42088966802853006,0.9986627621636095,0.9981322094390942,-0.5612119915056666
ENSG00000003509,NDUFAF7,55471,217.10671128092534,106.64422001484512,0.2409763425432934,-0.12586641708081142,0.1700581121159685,0.2412590680109749,0.15647605464629724,0.6018747181669745,0.9986627621636095,0.9981322094390942,-0.36684275962410484
