label,condition,replicate,sample,experiment,DEG_incl
Abundances..Grouped...126,BL41_CTL,1,126,BL41_DY,1
Abundances..Grouped...127N,BL41_CTL,2,127N,BL41_DY,1
Abundances..Grouped...127C,BL41_DY,1,127C,BL41_DY,1
Abundances..Grouped...128N,BL41_DY,2,128N,BL41_DY,1
Abundances..Grouped...128C,U2932_WT,1,128C,U2932_cl,1
Abundances..Grouped...129N,U2932_WT,2,129N,U2932_cl,1
Abundances..Grouped...129C,U2932_WT,3,129C,U2932_cl,1
Abundances..Grouped...130N,U2932_MUT,1,130N,U2932_cl,1
Abundances..Grouped...130C,U2932_MUT,2,130C,U2932_cl,1
Abundances..Grouped...131,U2932_MUT,3,131,U2932_cl,1
Abundances..Grouped...126,ctl,1,126,BL41_DX,1
Abundances..Grouped...127N,sh_Untreated,1,127N,BL41_DX,1
Abundances..Grouped...127C,Empty,1,127C,BL41_DX,0
Abundances..Grouped...128N,Empty,2,128N,BL41_DX,0
Abundances..Grouped...128C,sh_Untreated,2,128C,BL41_DX,1
Abundances..Grouped...129N,ctl,2,129N,BL41_DX,1
Abundances..Grouped...129C,Empty,3,129C,BL41_DX,0
Abundances..Grouped...130N,Empty,4,130N,BL41_DX,0
Abundances..Grouped...130C,sh,1,130C,BL41_DX,1
Abundances..Grouped...131,sh,2,131,BL41_DX,1
Abundances..Grouped...126,ctl,1,126,U2932_DX,1
Abundances..Grouped...127N,sh_Untreated,1,127N,U2932_DX,1
Abundances..Grouped...127C,Empty,1,127C,U2932_DX,0
Abundances..Grouped...128N,Empty,2,128N,U2932_DX,0
Abundances..Grouped...128C,sh_Untreated,2,128C,U2932_DX,1
Abundances..Grouped...129N,ctl,2,129N,U2932_DX,1
Abundances..Grouped...129C,Empty,3,129C,U2932_DX,0
Abundances..Grouped...130N,Empty,4,130N,U2932_DX,0
Abundances..Grouped...130C,sh,1,130C,U2932_DX,1
Abundances..Grouped...131,sh,2,131,U2932_DX,1
