,SLX.13194.A002,SLX.13194.A003,SLX.13194.A004,SLX.13194.A005,SLX.13194.A006,SLX.13194.A008,SLX.13194.A009,SLX.13194.A010,SLX.13194.A011,SLX.13194.A012
ENSG00000225630,3142.23887545451,3266.01481667009,3670.19636328873,3320.49643375427,3363.56815790952,2683.12432500063,2732.4120206471,3063.54507756391,2819.75368953954,2550.59075530916
ENSG00000237973,191.072350159579,86.7237072934173,101.078532322292,88.8039743911026,161.221894656647,153.579506818218,82.0955038752258,101.644823261452,209.178299947095,157.305156715103
ENSG00000248527,10286.1816882134,9618.52637591291,9815.07403515769,9738.83585822425,9839.23592083845,10404.2587462146,8498.25290948379,10551.6295206263,10211.2237252152,9488.87177470744
ENSG00000228794,242.265319447617,320.01047991271,210.289820118791,405.409448307208,320.093615921797,269.015083838447,187.451400515099,352.767327789745,373.047220844278,438.207222277786
ENSG00000187634,315.089120829192,383.318786236904,214.937108961195,680.830470331787,367.097083751724,345.302943434424,192.924434106781,342.303890101066,463.665978944103,303.374230807698
ENSG00000188976,2895.64738958818,3125.52241085476,1681.15673873972,5139.04738758946,3008.69197579358,2557.65087171777,1529.71288887504,2545.6049119743,3943.42628997737,2502.83740416351
ENSG00000187961,294.900344208557,542.023170583858,266.057286227641,666.673314994075,457.813776663481,495.871087373853,266.810387594484,482.812910491896,504.444420089024,556.186089814113
ENSG00000187608,163.673296174432,197.730052628991,97.5930656904884,221.366428916951,171.562657579231,256.969632323292,103.987638241953,171.151945050533,235.608771059544,179.777321960117
ENSG00000131591,313.64706535629,458.768411582177,285.808263807859,431.149730739411,450.293221810693,395.492324747567,258.600837206961,414.053177109149,283.938775379451,443.825263589039
ENSG00000186891,123.295742933162,280.117574557738,219.584397803599,68.2117484453397,48.413571864824,282.064322979864,313.331173123778,446.19087858152,60.4125053998831,92.6976816356855
ENSG00000078808,2427.70038863133,3187.09624303308,1772.94069337721,2756.78424848901,2494.47403773418,3042.48029520273,2004.49855295343,3042.61820218655,2155.97128645833,2890.48225464001
ENSG00000176022,579.706300106798,899.324844632737,664.562304463802,691.126583304668,751.11541592222,696.628612626425,503.519090434718,769.062670117897,539.936767011455,758.435577019245
ENSG00000160087,1814.10578491132,1989.44184531099,912.030435321826,2002.59397322544,1684.60428702455,1992.51843813178,860.63453229195,1679.38174903296,1782.92406561405,1646.08610419732
ENSG00000131584,1054.14255069171,1176.84070797167,680.827815412217,1546.99097417544,920.797934788254,1496.64735075793,886.631441852438,1419.29058362865,1079.87353402291,1103.94511766134
ENSG00000169972,720.306708714789,999.924345093101,436.845151185996,760.625345871618,581.432897056187,790.984649495134,502.150832036798,804.189925215604,566.367238123904,716.300267184842
ENSG00000127054,2762.2572583447,3174.95492401201,1631.19838368388,3191.79502159325,2757.69345758177,3325.54840580886,1688.43086303381,2985.06929489881,2751.03446464718,2595.53508579919
ENSG00000224051,583.311438789054,673.843205669852,274.190041701848,921.502111072891,681.55028353393,742.802843434517,288.702521961211,615.848046819385,676.620060478691,640.456709482918
ENSG00000107404,847.928618066659,1163.83215187766,535.600039087085,1795.38469964621,1295.41557339277,1471.55266010135,595.192403095387,1309.42448789753,1475.57544439214,2115.192553687
ENSG00000162576,98.78079989382,99.7322633874299,52.2819994770474,81.0818896614415,77.5557219193782,187.708286111155,79.3589870793849,124.066475451478,84.5775075598363,154.496136059476
ENSG00000175756,2191.92431881177,2541.00462369713,1147.88034407384,2438.8917604513,1939.83311734105,2424.14711742481,1072.71458396962,2035.88601885437,1974.73377025868,1755.63790976677
ENSG00000221978,3450.83874665564,4375.2110329529,2059.91077939567,3947.27231097843,3622.08723097411,4487.93447702125,2227.52467181446,4187.61724069055,3432.18546303086,4137.68742573832
ENSG00000224870,1430.51902911926,1323.40377329755,618.08941603976,1137.7204835034,1059.92819956484,1363.14359646496,626.662346247557,1094.92401527961,1159.16494736026,1005.62939471441
ENSG00000242485,2677.89701317991,2467.28947249772,1064.22914491056,2454.33592991062,2045.12088528009,2231.41989318234,1004.3016640736,1770.56313460573,2147.66456696584,1825.86342615744
ENSG00000160072,1168.78596078746,1217.60085039958,528.629105823479,1701.43266876866,1238.54137731855,1196.51485050533,593.824144697466,1185.35801244605,1159.16494736026,1323.04872880024
ENSG00000197785,1707.39367991654,2260.88704913939,1168.79314386466,2409.29043565426,1953.93415769003,2100.92750176817,1208.17216536374,2106.14052904979,1746.67656237412,1994.40466549505
ENSG00000160075,3726.27134198001,4239.92204957517,2018.08517981403,4907.38484569963,4434.77718975354,4168.73001186966,2103.0131576037,3766.09017951806,4154.87005887696,4710.7276394862
ENSG00000197530,211.982154516665,380.717075018102,213.775286750594,332.049643375427,390.598817666687,450.700644192025,331.118532296744,507.476727900925,288.469713284442,662.928874727932
ENSG00000248333,941.66222380532,866.369835861238,568.131060983915,954.964478234756,839.481935442482,996.761112879021,526.779483199365,782.515661431912,926.576801570707,828.661093409915
ENSG00000189339,806.109009352487,974.77446997801,599.500260670143,889.326758032636,870.974258888532,1090.11336212147,758.015152447918,1172.65240953837,826.141011343401,1196.64279929703
ENSG00000008128,157.18404654637,200.331763847794,159.169642852344,200.774202971189,179.553247110318,202.765100505098,171.032299740054,167.415003018862,190.299392009632,193.822425238251
ENSG00000268575,165.836379383785,204.667949212465,161.493287273546,193.052118241527,227.496784296843,220.833277777829,205.238759688064,221.974356681259,222.771113662069,230.3396937614
ENSG00000215790,211.982154516665,273.179677974264,76.6802658996695,266.411923173308,256.638934351397,371.401421717259,94.4098294565096,349.777774164408,324.717216524372,421.353098344025
ENSG00000008130,4008.19318693245,4173.14479495924,2609.45268500996,3903.51383084368,4146.17589727779,4792.0821277789,3018.37802581247,4601.6704177997,3272.84748003867,4660.16526768491
ENSG00000078369,13780.2820990561,14835.8246066849,7737.73592260301,14589.592082573,14003.2731358916,13921.5305886396,7680.03438752737,15398.4433357036,14869.0278915462,14862.5282889216
ENSG00000067606,406.6596433585,612.269373491526,253.27724191103,527.675789860175,602.584457579654,576.174097474882,324.277240307142,611.363716381379,572.408488663892,901.695630456213
ENSG00000162585,576.101161424541,791.7874475889,320.662930125891,696.274639791109,636.426954417201,869.280084343638,388.585385009402,723.47197733151,579.204895521379,977.539188158137
ENSG00000157933,506.882498725222,537.686985219187,174.273331590158,606.183651278396,517.978215485787,664.507408586014,249.023028421518,557.551751125317,470.46238580159,693.828101939827
ENSG00000116151,220.63448735408,197.730052628991,119.667687691908,122.266341552967,178.613177753719,189.715861363681,147.771906975406,233.185182776272,157.072514039696,182.586342615744
ENSG00000157916,2569.74285271222,2761.28284022241,1470.86691862093,3073.38972240512,2603.52208309961,2591.77965101071,1435.30305941853,2334.09399298172,2609.06507695745,2325.86910285902
ENSG00000157911,485.972694368136,761.434150036204,295.102841492667,664.099286750854,741.714722356235,646.439231313282,405.004485784447,683.860391795797,523.323328026487,705.064184562335
ENSG00000157881,202.608793942799,234.154009692227,154.52235400994,177.607948782205,173.912830970727,202.765100505098,112.197188629475,225.71129871293,127.621417657253,176.96830130449
ENSG00000158109,953.19866758854,874.174969517646,455.434306555613,1087.5269327606,952.760292912604,1053.977007576,432.369653742856,810.169032466278,985.478994335593,1002.82037405878
ENSG00000116213,515.534831562637,720.674007608297,307.882885809279,767.060416479669,559.341267176122,660.492258080962,316.067689919619,733.935415020189,579.960051838878,528.095883257844
ENSG00000227372,219.192431881177,360.770622340616,25.5600886332232,204.635245336019,262.279350490988,276.041597222287,30.1016847542494,379.673310417776,201.62673677211,303.374230807698
ENSG00000130764,2033.2982167925,1874.09931461075,959.66514595647,2229.10845862884,1924.79200763548,2124.01461717221,1075.45110076546,1775.04746504374,1922.62798435128,1932.60621107126
ENSG00000272153,173.046656748298,169.978466295098,73.1947992678663,182.756005268646,117.508669574815,184.696923232366,124.511514210759,158.446342142851,98.9254775923086,210.676549172012
ENSG00000116198,1897.02397460321,1541.08027860402,899.250391005215,2154.46163957545,2202.11246783204,1506.68522702055,897.577509035802,1491.78725904307,2038.16690092856,2238.78946253458
ENSG00000169598,323.020425930156,238.490195056897,116.182221060105,361.650968172461,274.03021744847,313.181739394013,121.774997414918,234.67995958894,324.717216524372,398.88093309901
ENSG00000198912,578.264244633895,507.333687666491,279.999152754854,666.673314994075,677.319971429236,536.022592424368,284.597746767449,586.699898972351,565.612081806406,547.759027847232
ENSG00000131697,418.19608714172,550.6955413132,350.870307601518,612.618721886447,511.867764667896,546.060468686996,437.842687334537,612.858493194048,487.075824786558,589.894337681635
ENSG00000069424,1447.10266705764,2119.52740625112,1512.69251820257,2420.87356274875,2679.19766630579,1891.13588787923,1703.48170541093,2338.57832341973,2228.46629293819,3837.12221558625
ENSG00000116251,1843.66792210582,1763.96020634811,1274.51896502935,2317.91243301994,2761.45373500816,1849.98059520245,1249.21991730135,2097.17186817378,2311.53348786303,2250.02554515709
ENSG00000116237,4150.23565101334,4414.23670123494,2510.69779710887,5011.63298955005,4968.2665496232,4007.12020404134,2200.15950385605,4032.16045217303,5197.74093334244,4539.37737949296
ENSG00000097021,2078.72296418893,2511.51856321736,1245.47340976433,2378.40209673562,2111.86580959858,2498.42740176826,1082.29239275506,2109.13008267513,2119.7237832184,1859.57167402496
ENSG00000162408,1300.01300882159,889.785236830461,451.948839923809,1163.46076593561,1363.57060174616,1009.81035202044,459.734821701264,786.252603463583,1244.49761123759,941.021919634989
ENSG00000204859,467.225973220404,549.828304240265,275.35186391245,728.449992831364,682.490352890528,565.132433585991,305.121622736256,624.069319289061,555.039893361426,766.862638986125
