,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,name,ensembl
ENSG00000112182,3414.89680134078,1.44720138685397,0.118421164293408,12.2208001879486,2.40703700881797e-34,2.81358555960733e-30,BACH2,ENSG00000112182
ENSG00000163694,254.762281818613,-2.04934993619427,0.170642326479599,-12.0096225741465,3.16285233381149e-33,1.84852904649612e-29,RBM47,ENSG00000163694
ENSG00000276180,340.209228439659,-1.67596389937967,0.158841665951405,-10.5511604234395,5.01735467548096e-26,1.95492862672323e-22,HIST1H4I,ENSG00000276180
ENSG00000033170,1684.56225088847,-1.03636315730901,0.102477217376456,-10.1131079067249,4.83264224525518e-24,1.41221888011969e-20,FUT8,ENSG00000033170
ENSG00000137817,1835.27184845417,0.948170799209392,0.0954231318374265,9.93648794534224,2.88831144040398e-23,6.75229448537642e-20,PARP6,ENSG00000137817
ENSG00000197483,517.685975065903,1.3911304256774,0.144427763976479,9.63201525368737,5.85693661754527e-22,1.14102886870811e-18,ZNF628,ENSG00000197483
ENSG00000157613,280.097064224941,-3.34330202339025,0.362522909615061,-9.22231929270423,2.90742217374158e-20,4.85497968412362e-17,CREB3L1,ENSG00000157613
ENSG00000077713,158.266173708275,-4.23285543507218,0.474152376397803,-8.92720493616361,4.36907561960744e-19,6.38376561469892e-16,SLC25A43,ENSG00000077713
ENSG00000047597,109.092367861939,-4.45083533038202,0.503369980488454,-8.84207541749524,9.39567648241982e-19,1.22028958225561e-15,XK,ENSG00000047597
ENSG00000197903,200.106007550599,-1.64029124203749,0.188981994914413,-8.6796165041032,3.97105509709838e-18,4.6417663029983e-15,HIST1H2BK,ENSG00000197903
ENSG00000215301,15665.6652347681,1.14423348119323,0.132810547426568,8.61553169808211,6.96177574870056e-18,7.39783606605099e-15,DDX3X,ENSG00000215301
ENSG00000146416,138.287727567938,-2.70050924955489,0.322524876672956,-8.37302622176721,5.61571033587276e-17,5.4701698430014e-14,AIG1,ENSG00000146416
ENSG00000198736,1222.88478775692,-0.972454082808013,0.11729617763111,-8.29058629571312,1.12691599364748e-16,1.01327084998042e-13,MSRB1,ENSG00000198736
ENSG00000110852,171.881013681144,-1.56544424873433,0.19217354006985,-8.14599266977823,3.76182923778501e-16,3.14085871146207e-13,CLEC2B,ENSG00000110852
ENSG00000088808,759.161672393236,0.796937828738672,0.0982101734465994,8.11461583633185,4.87323987762679e-16,3.79755339530531e-13,PPP1R13B,ENSG00000088808
ENSG00000162889,3345.67508252275,0.643488080381459,0.080133084933452,8.0302422016556,9.72804252451298e-16,7.10694306681451e-13,MAPKAPK2,ENSG00000162889
ENSG00000074755,2770.23432165048,0.752167453906739,0.0940752557749991,7.99538037617146,1.29174441379736e-15,8.88188261933964e-13,ZZEF1,ENSG00000074755
ENSG00000076513,13073.0965270522,0.678396847470778,0.0864531795543433,7.84698551248016,4.26156458799911e-15,2.76741269272897e-12,ANKRD13A,ENSG00000076513
ENSG00000100219,5042.93542429373,-0.87557592713247,0.112232903459902,-7.80141919294898,6.12147999533611e-15,3.76599892976231e-12,XBP1,ENSG00000100219
ENSG00000167524,588.322039448267,0.854623349345799,0.109800222970436,7.78343910627492,7.05791319256681e-15,4.12499736539567e-12,SGK494,ENSG00000167524
ENSG00000099968,2730.58927578498,0.55264577914963,0.072457361977817,7.62718603140457,2.39933239521278e-14,1.33551411274486e-11,BCL2L13,ENSG00000099968
ENSG00000074657,6949.55790193811,0.774419942626194,0.101828955079538,7.60510546358151,2.84671654316972e-14,1.47274134379334e-11,ZNF532,ENSG00000074657
ENSG00000166716,3065.30798508039,0.486735564317159,0.0640205461116171,7.60280244202473,2.89785703715004e-14,1.47274134379334e-11,ZNF592,ENSG00000166716
ENSG00000277443,327.379926097382,-3.42384255498062,0.451728555715956,-7.57942466035624,3.47090683783819e-14,1.69047625114544e-11,MARCKS,ENSG00000277443
ENSG00000106635,1378.84219005567,0.68748568429331,0.0908580891481048,7.56658752940162,3.83156046189815e-14,1.7914844095651e-11,BCL7B,ENSG00000106635
ENSG00000172175,7131.0302485117,0.649380137442913,0.088710586972882,7.32021013051602,2.47582961809485e-13,1.1130758617658e-10,MALT1,ENSG00000172175
ENSG00000176165,2006.92818262877,-1.37107612305729,0.188585279873063,-7.27032419486909,3.58625765593941e-13,1.55258391630651e-10,FOXG1,ENSG00000176165
ENSG00000157625,1563.96535085277,0.81268241953534,0.114094861607519,7.12286607902582,1.05705519727648e-12,4.40899604439437e-10,TAB3,ENSG00000157625
ENSG00000123908,4067.05158790376,0.832157393645552,0.116906421772944,7.11814955094398,1.0938564914658e-12,4.40899604439437e-10,AGO2,ENSG00000123908
ENSG00000148337,4157.23116312903,0.556153752518952,0.0796602282284272,6.98157367719524,2.91891758537995e-12,1.13730758851688e-09,CIZ1,ENSG00000148337
ENSG00000180263,2617.98747299888,1.10267849932163,0.158513260019872,6.95638017402074,3.49126937945551e-12,1.3164337992405e-09,FGD6,ENSG00000180263
ENSG00000120137,4354.12375457621,0.64112450925572,0.0922882098842494,6.94698174403682,3.73183971699987e-12,1.36317107662536e-09,PANK3,ENSG00000120137
ENSG00000102760,357.701516039631,-1.84516121135387,0.266876398452341,-6.91391678715037,4.71451789645856e-12,1.66993938459709e-09,RGCC,ENSG00000102760
ENSG00000119326,2070.00626391214,-0.44285647704896,0.0645585527420219,-6.85976463596744,6.89740931132133e-12,2.37128874823633e-09,CTNNAL1,ENSG00000119326
ENSG00000149289,409.870720058527,-2.89674283201093,0.424115668669439,-6.83007737275722,8.48688466075526e-12,2.83437699427338e-09,ZC3H12C,ENSG00000149289
ENSG00000010404,5205.15833153992,1.03301883392661,0.15337438237788,6.73527624307871,1.63618777671754e-11,5.31261081168092e-09,IDS,ENSG00000010404
ENSG00000109790,1829.42003556396,0.630484908798784,0.0939961783803552,6.70755896316901,1.97907002691486e-11,6.25225663367777e-09,KLHL5,ENSG00000109790
ENSG00000131626,2340.5873725473,0.473155326575513,0.0711776634859283,6.64752540899372,2.98061544386759e-11,9.16852997983375e-09,PPFIA1,ENSG00000131626
ENSG00000144746,988.666085963874,-0.702705445259158,0.106641073971433,-6.58944456474059,4.41475028679893e-11,1.32317990006135e-08,ARL6IP5,ENSG00000144746
ENSG00000136141,952.009194914493,0.63578878929516,0.0965704484573773,6.58367854194831,4.58948857982131e-11,1.34116330023828e-08,LRCH1,ENSG00000136141
ENSG00000135045,816.655066707836,-0.597051580455732,0.0915470376955769,-6.52180120170703,6.94680504369155e-11,1.9058682944212e-08,C9orf40,ENSG00000135045
ENSG00000100077,1796.36485423319,0.963258143183129,0.147724813829432,6.52062519635557,7.00149388385311e-11,1.9058682944212e-08,GRK3,ENSG00000100077
ENSG00000139645,1907.78785585195,0.763423560084136,0.117081955403853,6.52042031114737,7.01106481821468e-11,1.9058682944212e-08,ANKRD52,ENSG00000139645
ENSG00000163635,1283.88097539868,0.65552312439495,0.100825188481906,6.50158094683445,7.9480248768516e-11,2.11146506330724e-08,ATXN7,ENSG00000163635
ENSG00000273025,301.057760936514,0.876632896985721,0.136003111199619,6.44568267044301,1.1508122395871e-10,2.93442872239437e-08,AC009690.3,ENSG00000273025
ENSG00000180089,659.952401026055,0.782766599855656,0.121450316019534,6.44515902066289,1.15479272161982e-10,2.93442872239437e-08,TMEM86B,ENSG00000180089
ENSG00000118985,327.985688036138,-1.13543691145851,0.178113840548897,-6.37478203804607,1.83223340846148e-10,4.55680347053325e-08,ELL2,ENSG00000118985
ENSG00000285258,1267.01115464423,0.655812187168402,0.103351741455281,6.3454391569412,2.21791841329969e-10,5.40109340272085e-08,ATXN7,ENSG00000285258
ENSG00000108960,3282.21802204862,0.861497247032165,0.137144742461824,6.28166440483109,3.34967314793435e-10,7.99067947473564e-08,MMD,ENSG00000108960
ENSG00000173198,112.415636128951,-2.67726293680017,0.427171695967078,-6.26741650272286,3.67087341856815e-10,8.58176787792861e-08,CYSLTR1,ENSG00000173198
