"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"A8K187","A8K187",0.00065657797658483,0.00532,TRUE,0.458,-0.229,0.229
"A8K2L4","A8K2L4",0.00159868289767442,0.0534,TRUE,0.412,-0.206,0.206
"A8K6K2","A8K6K2",0.000500422404145829,0.00201,TRUE,0.358,-0.179,0.179
"A8K7N0","A8K7N0",0.00124923854785922,0.0306,TRUE,-0.521,0.261,-0.261
"A8KAC4","A8KAC4",0.000285357394344584,0.00015,TRUE,0.421,-0.21,0.21
"ABLIM1","O14639",0.000181244356453359,1.06e-05,TRUE,0.478,-0.239,0.239
"ACAD10","Q6JQN1-5",0.000976595575266709,0.0168,TRUE,-0.37,0.185,-0.185
"AK4","P27144",0.000373690754363306,0.00057,TRUE,0.692,-0.346,0.346
"ALDOC","P09972",0.000320457817325694,0.000273,TRUE,0.434,-0.217,0.217
"ANAPC4","Q9UJX5-3",2.12787260216115e-06,8.11e-14,TRUE,1.27,-0.635,0.635
"ANXA5","P08758",0.00109726373747784,0.0221,TRUE,0.706,-0.353,0.353
"APBB1IP","Q7Z5R6",0.000746669381325742,0.00799,TRUE,-0.393,0.197,-0.197
"ASNS","P08243",0.000419681462865767,0.000952,TRUE,-0.474,0.237,-0.237
"B2R7F8","B2R7F8",0.00112575659630045,0.0233,TRUE,0.327,-0.164,0.164
"B3KXY9","B3KXY9",0.000616508436246556,0.00431,TRUE,0.346,-0.173,0.173
"B3VL17","B3VL17",0.000529442927180801,0.0025,TRUE,0.62,-0.31,0.31
"B4DY32","B4DY32",0.000370245734459458,0.000546,TRUE,-0.495,0.247,-0.247
"B4E106","B4E106",0.00066027529484125,0.00542,TRUE,0.352,-0.176,0.176
"B6E4X6","B6E4X6",0.00131480136530558,0.0347,TRUE,-0.364,0.182,-0.182
"BASP1","P80723",0.000531833242263268,0.00254,TRUE,1.41,-0.705,0.705
"BPHL","Q86WA6",0.000358746882279241,0.000473,TRUE,0.458,-0.229,0.229
"BRD4","O60885",0.000583938605244692,0.00356,TRUE,0.436,-0.218,0.218
"BRD9","Q9H8M2",0.000184185467808486,1.17e-05,TRUE,0.454,-0.227,0.227
"BRI3BP","Q8WY22",0.00127562844007092,0.0322,TRUE,0.448,-0.224,0.224
"C15orf40","Q8WUR7",0.00111816813000304,0.023,TRUE,0.441,-0.22,0.22
"CAMK1D","Q8IU85",0.00117715481777533,0.0262,TRUE,0.342,-0.171,0.171
"CARNMT1","Q8N4J0",4.61865209111374e-06,8.11e-14,TRUE,1.35,-0.677,0.677
"CCDC88A","Q3V6T2",0.00166040015383061,0.0575,TRUE,0.385,-0.192,0.192
"CD37","P11049",0.000118644862706406,5.47e-07,TRUE,0.555,-0.277,0.277
"CDYL","Q9Y232",0.00101518502412276,0.0184,TRUE,0.426,-0.213,0.213
"CENPV","Q7Z7K6-3",1.15657916091784e-05,8.11e-14,TRUE,0.841,-0.42,0.42
"CEP85","Q6P2H3",0.00100919853613566,0.0182,TRUE,0.35,-0.175,0.175
"CHDH","A0A024R301",5.70859913581976e-05,4.47e-10,TRUE,0.562,-0.281,0.281
"CKB","P12277",7.96861885851809e-05,1.54e-08,TRUE,0.74,-0.37,0.37
"COTL1","Q14019",0.000619502720133141,0.00438,TRUE,0.329,-0.164,0.164
"CPNE3","O75131",0.00163117508065189,0.0555,TRUE,0.4,-0.2,0.2
"CRK","P46108-2",0.000266281613433836,0.000105,TRUE,0.542,-0.271,0.271
"CTSC","P53634",0.000112722107806498,3.63e-07,TRUE,-0.485,0.243,-0.243
