"Name","ID","P_value","FDR","Significant","log2FC","U2932_WT_centered","U2932_MUT_centered"
"A0A087WZ62","A0A087WZ62",0.000484146336123846,0.000318,TRUE,-0.471,-0.236,0.236
"A8K032","A8K032",0.000409091758533521,0.000177,TRUE,-0.668,-0.334,0.334
"A8K0D2","A8K0D2",0.000836606710102857,0.00178,TRUE,-0.626,-0.313,0.313
"A8K168","A8K168",0.000348824936716256,9.87e-05,TRUE,-0.398,-0.199,0.199
"A8K4M4","A8K4M4",0.000145329175040787,2.55e-06,TRUE,-0.382,-0.191,0.191
"A8K6A0","A8K6A0",0.00428787230500187,0.0497,TRUE,-0.539,-0.27,0.27
"A8KAH1","A8KAH1",0.00014480215047434,2.51e-06,TRUE,-0.499,-0.249,0.249
"ABHD12","Q8N2K0-2",0.00142193796317726,0.00652,TRUE,-0.407,-0.203,0.203
"ABHD6","Q9BV23",0.00608331431577739,0.0806,TRUE,-0.379,-0.19,0.19
"ACP2","P11117",0.000190485316190307,8.92e-06,TRUE,-0.449,-0.225,0.225
"ADAM10","O14672",0.000252466622172058,2.92e-05,TRUE,-0.336,-0.168,0.168
"AGPAT3","Q9NRZ7-3",0.00415789114082908,0.0475,TRUE,-0.645,-0.322,0.322
"ALDH7A1","A0A1B0GW77",0.00226663917140585,0.0177,TRUE,-0.343,-0.171,0.171
"AMFR","Q9UKV5",0.00546593090361357,0.0702,TRUE,-0.443,-0.221,0.221
"ASL","P04424",0.000733144219245353,0.00124,TRUE,-0.351,-0.175,0.175
"ASPH","Q12797",0.00130366284864119,0.00535,TRUE,-0.473,-0.236,0.236
"ATG3","Q9NT62",0.00413555464622588,0.0471,TRUE,-0.424,-0.212,0.212
"ATL3","Q6DD88",0.000308811861426706,6.24e-05,TRUE,-0.967,-0.484,0.484
"ATP2A2","P16615",0.000278427036811398,4.19e-05,TRUE,-0.6,-0.3,0.3
"ATP2A3","Q93084-5",9.80677565351249e-05,3.55e-07,TRUE,-0.545,-0.272,0.272
"ATP6AP1","Q15904",0.00383928404529591,0.042,TRUE,-0.346,-0.173,0.173
"ATP6AP2","O75787",0.00238507695206062,0.0194,TRUE,-0.348,-0.174,0.174
"B2R4I8","B2R4I8",0.000131766994909312,1.62e-06,TRUE,-0.346,-0.173,0.173
"B2R6N9","B2R6N9",0.0051239863312623,0.0643,TRUE,-0.436,-0.218,0.218
"B2R9B9","B2R9B9",0.00157561314004347,0.00828,TRUE,-0.399,-0.199,0.199
"B2R9T9","B2R9T9",0.000683415058868269,0.00101,TRUE,-0.385,-0.193,0.193
"B3KM97","B3KM97",0.000585695593461865,0.00062,TRUE,-0.55,-0.275,0.275
"B4E2A6","B4E2A6",0.0010057597612268,0.00277,TRUE,-0.411,-0.206,0.206
"B7Z8X5","B7Z8X5",0.0017785911342194,0.0108,TRUE,0.33,0.165,-0.165
"BASP1","P80723",0.00270887821539474,0.024,TRUE,1.01,0.507,-0.507
"BCAP31","P51572-2",0.000652167064355442,0.000875,TRUE,-0.529,-0.265,0.265
"BCL2A1","Q16548",0.000672063389922724,0.000959,TRUE,0.379,0.19,-0.19
"BRI3BP","Q8WY22",0.000392163511116765,0.000153,TRUE,-0.593,-0.296,0.296
"C17orf62","Q9BQA9",0.00414327985885845,0.0472,TRUE,-0.405,-0.202,0.202
"CANX","P27824-2",0.000252886795083685,2.94e-05,TRUE,-0.649,-0.324,0.324
"CCDC50","Q8IVM0",0.00155580718843232,0.00804,TRUE,-0.588,-0.294,0.294
"CCDC69","A6NI79",0.000797933511986565,0.00157,TRUE,-0.366,-0.183,0.183
"CCM2","Q9BSQ5-2",0.000108746196878708,6.32e-07,TRUE,-0.444,-0.222,0.222
"CISD2","D6RCF4",0.00044476300261094,0.000238,TRUE,-0.61,-0.305,0.305
"CKAP4","Q07065",0.000341685134665965,9.17e-05,TRUE,-0.619,-0.31,0.31
"CKB","P12277",0.00279365985445444,0.0253,TRUE,-0.966,-0.483,0.483
"CLPTM1L","Q96KA5",0.000419755111403397,0.000194,TRUE,-0.49,-0.245,0.245
"COQ5","Q5HYK3",0.00635336536129995,0.0858,TRUE,0.335,0.167,-0.167
"CYBA","P13498",0.00203417196675008,0.0144,TRUE,-0.374,-0.187,0.187
"DCAF12","Q5T6F0",0.00163946163099064,0.00904,TRUE,0.411,0.206,-0.206
"DDOST","A0A024RAD5",6.22356058929993e-05,2.82e-08,TRUE,-0.403,-0.202,0.202
