Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,ctl_centered,ctl_1,ctl_2,sh_centered,sh_1,sh_2
ANAPC4,Q9UJX5,29945,2.1278726021611513e-6,8.11e-14,1.27,TRUE,Up,-0.635,8.970206006376843,9.013315478178912,0.635,10.261023384695877,10.261597832790054
CARNMT1,Q8N4J0,138199,4.6186520911137365e-6,8.11e-14,1.35,TRUE,Up,-0.677,NA,NA,0.677,9.822993063851952,9.781137000085213
CENPV,Q7Z7K6,NA,1.1565791609178427e-5,8.11e-14,0.841,TRUE,Up,-0.42,10.14732355531683,10.110957970433962,0.42,10.974142317790989,10.96519721475745
DCAF7,P61962,10238,1.5523235893560013e-5,8.11e-14,0.816,TRUE,Up,-0.408,10.51328101591693,10.485219386068875,0.408,11.33491826688294,11.295293238777987
EVL,Q9UI08,51466,1.7389919411003628e-5,8.11e-14,1.06,TRUE,Up,-0.529,9.422767452444553,9.443368898045701,0.529,10.43694124494708,10.545745111209115
MACROD1,Q9BQ69,28992,1.0523043400834353e-5,8.11e-14,1.03,TRUE,Up,-0.515,8.808252806006784,8.82473195668619,0.515,9.807346089427831,9.886881439049061
MELTF,P08582,NA,6.42791372189825e-6,8.11e-14,1,TRUE,Up,-0.501,NA,NA,0.501,9.400943572511999,9.44934959989832
PDCL,Q13371,5082,7.2327841789799125e-6,8.11e-14,0.901,TRUE,Up,-0.451,9.729904915960532,9.715580624891716,0.451,10.632458065207835,10.61529154545091
PHYKPL,Q8IUZ5,85007,1.5542125693402868e-5,8.11e-14,1.09,TRUE,Up,-0.543,NA,NA,0.543,9.53222071725051,9.573741305737903
PIGU,Q9H490,NA,1.4729920074385467e-6,8.11e-14,1.45,TRUE,Up,-0.725,NA,NA,0.725,9.815258817271035,9.86018226737101
Q14403,Q14403,NA,1.119363758879158e-5,8.11e-14,0.868,TRUE,Up,-0.434,10.619925481624396,10.60229395196603,0.434,11.458926288600813,11.500152849441074
UBE2T,Q9NPD8,29089,2.5618901048473274e-6,8.11e-14,1.51,TRUE,Up,-0.757,NA,NA,0.757,9.863687948297024,9.883152568799677
VIPAS39,G3V4K3,NA,1.572284635288751e-5,8.11e-14,0.804,TRUE,Up,-0.402,10.241345868252132,10.250247143515145,0.402,11.071617330969444,11.027214496351055
VTN,P04004,7448,5.293865382596806e-6,8.11e-14,0.987,TRUE,Up,-0.494,10.997750763731279,10.969474770032672,0.494,11.965405085141827,11.976146141524609
ZCCHC9,Q8N567,NA,1.382412836030528e-5,8.11e-14,1.96,TRUE,Up,-0.981,NA,NA,0.981,10.416638721691783,10.37452388845514
ZNF687,Q8N1G0,57592,5.183334517215288e-6,8.11e-14,0.991,TRUE,Up,-0.496,9.15058050759807,9.180617528534965,0.496,10.157400185558187,10.156757697734703
HSF1,Q00613,3297,3.517962891628181e-5,9.92e-13,0.67,TRUE,Up,-0.335,9.408468724871627,9.373729976830024,0.335,10.077410286308263,10.045539487078914
TIGAR,Q9NQ88,57103,3.9218280075519766e-5,4.52e-12,-0.734,TRUE,Down,0.367,10.83419864150097,10.855480212396275,-0.367,10.146843510719707,10.075708042525552
HBA2.1,A0A0K2BMD8,NA,4.0081148404527434e-5,5.94e-12,1.23,TRUE,Up,-0.615,12.819179585992929,12.635062905656605,0.615,13.941586999821567,13.97282527726125
ZC3HAV1L,Q96H79,NA,4.667099018124404e-5,4.22e-11,0.615,TRUE,Up,-0.308,9.152524371949267,9.155384621573983,0.308,9.7485716844582,9.790228283399378
LANCL1,A0A024R3Z5,NA,4.735935242382747e-5,5e-11,0.624,TRUE,Up,-0.312,10.944612605400577,10.968845158264257,0.312,11.601200063854279,11.561174606233848
PLEKHO2,Q8TD55,80301,4.847768656925906e-5,6.49e-11,0.645,TRUE,Up,-0.322,9.920485395872735,9.8714209127143,0.322,10.526836662162314,10.554421874077539
QPRT,Q15274,23475,4.9879490736550864e-5,8.92e-11,0.809,TRUE,Up,-0.404,9.503422814232456,9.543384263217376,0.404,10.28283336410466,10.381102968214527
CHDH,A0A024R301,NA,5.708599135819763e-5,4.47e-10,0.562,TRUE,Up,-0.281,10.051265833658569,10.062502073651801,0.281,10.606749117616692,10.63140039196803
RYR3.1,A0A1B0GVA9,NA,6.945172304746059e-5,3.98e-9,0.553,TRUE,Up,-0.276,9.16734095199755,9.149840316256757,0.276,9.694863167178356,9.7280787064308
