Name,ID,entrezgene_id,P_value,FDR,log2FC,Signif,Status,U2932_WT_centered,U2932_MUT_centered,U2932_WT_1,U2932_WT_2,U2932_WT_3,U2932_MUT_1,U2932_MUT_2,U2932_MUT_3
STOML2,Q9UJZ1,30968,1.3232404082068556e-5,1.28e-12,-0.55,TRUE,Down,-0.275,0.275,12.396497752357233,12.393926675640417,12.419749550058496,11.804009984643049,11.903957141007243,11.853192575387592
GTF3A,A0A024RDQ5,NA,2.6008628203749652e-5,1.06e-10,-0.857,TRUE,Down,-0.429,0.429,6.283551423174307,6.405992359675837,6.587964988882679,5.569855608330948,5.599912842187128,5.53605290024021
HM13,Q8TCT9,81502,2.803876409975023e-5,1.33e-10,-0.538,TRUE,Down,-0.269,0.269,10.360627646192947,10.352815894187792,10.245315010392076,9.816503711389485,9.76188361236552,9.7657004876511
IMPA2,O14732,3613,2.8042683696520497e-5,1.33e-10,-0.698,TRUE,Down,-0.349,0.349,9.677367292136049,9.54978466794786,9.445635671399435,8.862017376869884,8.88233736124948,8.83478704933734
ENAH,A0A0U1RRM6,55740,3.616838247446174e-5,9.42e-10,-0.904,TRUE,Down,-0.452,0.452,8.10643207781693,8.319220502523871,8.20896588630656,7.156841524588401,7.445428759238323,7.31922050252387
FUT8,Q9BYC5,2530,3.781472660660952e-5,1.22e-9,-0.558,TRUE,Down,-0.279,0.279,9.792302265303608,9.7414669864011465,9.89178370321831,9.211888294546004,9.245077275359671,9.293471648838134
PGRMC1,O00264,10857,4.8119481989927955e-5,6.9e-9,-0.476,TRUE,Down,-0.238,0.238,9.580447019598664,9.626256597943243,9.54554371207463,9.113742166049189,9.054468656195478,9.15532422905059
MTDH,Q86UE4,92140,5.013726523118198e-5,8.76e-9,-0.543,TRUE,Down,-0.272,0.272,11.071730496567412,10.928074172953085,10.979282276411064,10.508488076905577,10.40524785265307,10.436295119839363
PRKACA,P17612,5566,5.4518136949962915e-5,1.47e-8,-0.399,TRUE,Down,-0.2,0.2,11.797621000142978,11.79818825652765,11.799038723122344,11.405832854797284,11.366322214245816,11.425583088033717
SBF1,O95248,6305,5.9689273539552165e-5,2.35e-8,-0.465,TRUE,Down,-0.233,0.233,10.311861819197684,10.302981566002888,10.284477117810422,9.900112062977456,9.768680579453914,9.83431302434839
SLC35B2,Q8TB61,347734,5.98269788988323e-5,2.38e-8,-0.484,TRUE,Down,-0.242,0.242,8.51924309436118,8.485426827170242,8.382407876294957,7.977279923499917,7.9576824861651225,8.000563442710106
DDOST,A0A024RAD5,NA,6.223560589299932e-5,2.82e-8,-0.403,TRUE,Down,-0.202,0.202,10.86379910372885,10.878587415791337,10.919086778071089,10.492153626492389,10.454402119252734,10.505017555528122
HMCES,Q96FZ2,56941,6.314750573364273e-5,2.99e-8,0.624,TRUE,Up,0.312,-0.312,11.43816807435673,11.319276962558742,11.30623261473402,11.865114619452532,12.026315945090413,12.04306147027577
MLEC,Q14165,9761,6.665085033742144e-5,4.01e-8,-0.845,TRUE,Down,-0.423,0.423,11.01666902468718,10.903128676812319,10.994989779605728,10.276124405274238,9.93088514710565,10.171552124811905
SPCS1,X6R2S6,NA,7.167367674669117e-5,5.68e-8,-0.562,TRUE,Down,-0.281,0.281,8.79409089843773,8.72075727733199,8.770168320103428,8.286326727090547,8.090112419664289,8.222553427423428
TMX1,Q9H3N1,81542,7.174965673509672e-5,5.7e-8,-0.519,TRUE,Down,-0.26,0.26,10.358211622875809,10.429511356650597,10.512345420347337,9.965207091199341,9.862792311110406,9.91423562233191
E9PLN8,E9PLN8,NA,7.223562840967484e-5,5.87e-8,-0.489,TRUE,Down,-0.245,0.245,7.458611672584599,7.343407822297814,7.496654082593496,6.9342805936400245,6.930737337562887,6.965784284662087
DNAJC1,Q96KC8,64215,7.753357731027721e-5,8.72e-8,-1.09,TRUE,Down,-0.543,0.543,9.141340821093927,9.012065787873997,9.313109776295889,8.215775653020282,7.829088444004886,8.161887682376895
