NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
CD2,CD2,null,null,1.5782017
MYC,MYC,null,null,0.6283192
GALNT18,GALNT18,null,null,0.5844233
NPW,NPW,null,null,0.5304302
JAG2,JAG2,null,null,0.45160693
IGFBP2,IGFBP2,null,null,0.45008802
MXI1,MXI1,null,null,0.43644997
SPTBN2,SPTBN2,null,null,0.43452772
ATP1A3,ATP1A3,null,null,0.4121902
B4GALNT4,B4GALNT4,null,null,0.3867617
CGREF1,CGREF1,null,null,0.38550246
PHKA1,PHKA1,null,null,0.38188803
KLF15,KLF15,null,null,0.37063116
ITGA6,ITGA6,null,null,0.35525844
PODXL2,PODXL2,null,null,0.35357988
HILPDA,HILPDA,null,null,0.350867
GNPDA1,GNPDA1,null,null,0.34024948
KISS1R,KISS1R,null,null,0.32868788
APP,APP,null,null,0.3282222
WNK2,WNK2,null,null,0.32398108
STOM,STOM,null,null,0.32375842
MACC1,MACC1,null,null,0.32327282
PITX1,PITX1,null,null,0.32270482
SEPTIN3,SEPTIN3,null,null,0.31693313
RAC3,RAC3,null,null,0.31669554
ERN1,ERN1,null,null,0.3162752
PCSK1N,PCSK1N,null,null,0.30778807
GAA,GAA,null,null,0.30524865
PODXL,PODXL,null,null,0.29799336
CFD,CFD,null,null,0.29645848
MFSD3,MFSD3,null,null,0.29585034
MTURN,MTURN,null,null,0.29559934
COQ8A,COQ8A,null,null,0.2931994
NPM3,NPM3,null,null,0.28971046
STK32C,STK32C,null,null,0.28957152
LGMN,LGMN,null,null,0.28861108
DDN,DDN,null,null,0.28837645
SLC38A5,SLC38A5,null,null,0.28650033
DDN-AS1,DDN-AS1,null,null,0.2861848
VWCE,VWCE,null,null,0.28470162
TOP1MT,TOP1MT,null,null,0.28396994
PUS7,PUS7,null,null,0.28200617
HSD11B1-AS1,HSD11B1-AS1,null,null,0.28140593
HPDL,HPDL,null,null,0.28134423
GPD1L,GPD1L,null,null,0.2813086
FBXW9,FBXW9,null,null,0.28059885
PLD6,PLD6,null,null,0.2799873
ZDHHC9,ZDHHC9,null,null,0.27996555
GOLM1,GOLM1,null,null,0.27973133
PRSS21,PRSS21,null,null,0.27511147
ANKRD13B,ANKRD13B,null,null,0.27458605
WWC1,WWC1,null,null,0.2740625
EIF4EBP3,EIF4EBP3,null,null,0.27203754
IGLC6,IGLC6,null,null,0.2698493
PSMG4,PSMG4,null,null,0.26895875
POLR3G,POLR3G,null,null,0.2668642
GLB1L2,GLB1L2,null,null,0.2636617
PTPRF,PTPRF,null,null,0.2602191
PTP4A3,PTP4A3,null,null,0.2585071
TEAD4,TEAD4,null,null,0.2583647
ACSM3,ACSM3,null,null,0.25828558
CMTM8,CMTM8,null,null,0.2581145
SSTR3,SSTR3,null,null,0.25774044
BBC3,BBC3,null,null,0.25772732
MYO1B,MYO1B,null,null,0.25341922
PRDX4,PRDX4,null,null,0.24951491
RGMB,RGMB,null,null,0.24908021
SLC27A5,SLC27A5,null,null,0.2476865
METRN,METRN,null,null,0.2473908
AC008522.1,AC008522.1,null,null,0.24275115
SORD,SORD,null,null,0.2418924
CCDC112,CCDC112,null,null,0.24173625
PRKAR2B,PRKAR2B,null,null,0.24167132
ZMYND11,ZMYND11,null,null,0.24152705
SRD5A3,SRD5A3,null,null,0.24084994
INHBE,INHBE,null,null,0.2408214
