ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,external_gene_name,entrezgene_id
ENSG00000187634,577.2628157,0.707323628,0.114084312,6.200007858,5.65E-10,5.64E-09,SAMD11,148398
ENSG00000188976,4039.580834,0.680881915,0.070002735,9.726504459,2.32E-22,7.42E-21,NOC2L,26155
ENSG00000187961,172.1279518,0.527162249,0.170613979,3.08979517,0.002002946,0.007164177,KLHL17,339451
ENSG00000187583,65.79248223,0.834975379,0.290989896,2.86943083,0.004112113,0.013577067,PLEKHN1,84069
ENSG00000187642,14.56498095,0.469050386,0.571351006,0.82094961,0.411674971,0.58893206,PERM1,84808
ENSG00000188290,13.43200337,2.436530531,0.698487778,3.488293721,4.86E-04,0.001994794,HES4,57801
ENSG00000187608,402.9375643,-0.161963602,0.126094531,-1.284461752,0.198980438,0.349450698,ISG15,9636
ENSG00000188157,955.2084179,0.586709375,0.092642081,6.33307637,2.40E-10,2.52E-09,AGRN,375790
ENSG00000131591,299.5307025,0.28931627,0.134465317,2.151605153,0.031428466,0.079255593,C1orf159,54991
ENSG00000186891,1156.428808,-0.584388355,0.076762551,-7.612935586,2.68E-14,4.22E-13,TNFRSF18,8784
ENSG00000186827,93.08479842,-0.165740652,0.238971984,-0.693556829,0.487960175,0.659199024,TNFRSF4,7293
ENSG00000078808,3551.892702,0.226170405,0.058651096,3.856200846,1.15E-04,5.34E-04,SDF4,51150
ENSG00000176022,1026.352342,0.069941846,0.098793277,0.707961597,0.478969106,0.651040219,B3GALT6,126792
ENSG00000184163,16.81071633,0.087871063,0.553324656,0.158805616,0.873822024,0.930642647,C1QTNF12,388581
ENSG00000160087,1860.578074,0.041292101,0.065269915,0.632636046,0.526971342,0.691714441,UBE2J2,118424
ENSG00000162572,20.1077662,0.439188971,0.566464043,0.775316592,0.438152608,0.613145089,SCNN1D,6339
ENSG00000131584,860.4026066,0.397218024,0.084973294,4.674621937,2.94E-06,1.81E-05,ACAP3,116983
ENSG00000169972,541.2341798,0.574655731,0.103592269,5.547283926,2.90E-08,2.35E-07,PUSL1,126789
ENSG00000127054,2701.70184,0.251382816,0.05986349,4.199267635,2.68E-05,1.39E-04,INTS11,54973
ENSG00000224051,733.5441377,-0.040112641,0.095510458,-0.419981669,0.674498845,0.804521272,CPTP,80772
ENSG00000169962,134.3321686,0.012508995,0.192500054,0.064981776,0.94818851,0.972686003,TAS1R3,83756
ENSG00000107404,1287.316208,0.660647246,0.079687299,8.290496116,1.13E-16,2.21E-15,DVL1,1855
ENSG00000162576,63.70782651,0.68195099,0.288694513,2.362188957,0.01816738,0.049883945,MXRA8,54587
ENSG00000175756,4323.401573,0.14359443,0.059185292,2.426184347,0.015258517,0.042941431,AURKAIP1,54998
ENSG00000221978,914.0215804,-0.060882954,0.086220195,-0.706133341,0.480105219,0.652007162,CCNL2,81669
ENSG00000242485,2942.683789,0.1205694,0.063303668,1.904619509,0.056829549,0.130609846,MRPL20,55052
ENSG00000235098,53.1079096,0.046873663,0.335739434,0.139613218,0.888965597,0.939220015,ANKRD65,441869
