ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,193,0.3739353932649293,1.6459275372331235,0.0014992503748125937,0.00992063492063492,0.005012531328320802,2100,"tags=32%, list=20%, signal=26%",LGMN/POLR3G/SORD/VLDLR/QDPR/AK4/SLC6A6/SLC7A5/HK2/CDKN1A/PDK1/ASNS/PSMG1/PSPH/CTH/EEF1E1/PSAT1/RRP9/TRIB3/SLC1A5/NUFIP1/ATP5MC1/LTA4H/GTF2H1/NAMPT/CTSC/P4HA1/HSPD1/FDXR/EPRS/PHGDH/MTHFD2L/PSMB5/SLC7A11/SLC37A4/PPA1/GBE1/GCLC/ERO1A/ABCF2/HMBS/IFRD1/HSPA9/UNG/HPRT1/GPI/DDIT4/HSPE1/PNO1/ITGB2/LDHA/TMEM97/MTHFD2/PGM1/NFIL3/EIF2S2/ACACA/TCEA1/SHMT2/DHCR7/UCHL5
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,199,0.4965947692285103,2.1931008111667376,0.0015037593984962407,0.00992063492063492,0.005012531328320802,2896,"tags=49%, list=27%, signal=36%",MYC/PRDX4/NOLC1/XPOT/CLNS1A/AP3S1/PHB/RUVBL2/RRP9/ABCE1/MRPS18B/SERBP1/SRM/DDX21/NHP2/ODC1/NPM1/FBL/CNBP/NME1/NOP16/TUFM/POLD2/CAD/PWP1/HSPD1/RPL22/PA2G4/GSPT1/EIF1AX/C1QBP/EPRS/CYC1/MAD2L1/HDDC2/PRPS2/IARS/SRPK1/RSL1D1/EEF1B2/SSBP1/NOP56/IFRD1/TOMM70/EXOSC7/HPRT1/HDGF/LSM7/SNRPA1/HSPE1/RPL34/DDX18/ACP1/EIF3B/LDHA/KARS/CCT2/PHB2/GOT2/EIF3D/VDAC1/MRPL23/CCT4/SSB/AIMP2/TXNL4A/PABPC4/EIF2S2/RPS10/EIF2S1/ETF1/CCT5/HDAC2/EIF4A1/NCBP2/RPS3/CCT3/NDUFAB1/TCP1/CCT7/PTGES3/UBA2/RPL14/IMPDH2/RPS5/GLO1/HSP90AB1/PSMD14/CDK4/SET/EIF3J/GNL3/POLE3/EIF4H/MRPL9/FAM120A/APEX1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,197,0.36797945693321626,1.6253027416642927,0.0015037593984962407,0.00992063492063492,0.005012531328320802,3710,"tags=49%, list=35%, signal=32%",ACAT1/TIMM13/MRPS30/ISCA1/SUPV3L1/TIMM50/ATP5MC1/PMPCA/GRPEL1/TIMM8B/COX10/MRPS22/LRPPRC/TIMM9/OAT/FXN/RHOT1/AFG3L2/ECI1/CYC1/POLR2F/BCKDHA/COX11/MRPS12/TOMM70/HSPA9/FDX1/ATP5F1D/BAX/GPI/LDHA/MDH2/PDHA1/PHB2/GOT2/VDAC1/SDHB/CYCS/LDHB/COX7A2L/IDH3A/MTRR/MRPL34/VDAC2/NDUFAB1/HSD17B10/UQCR10/ABCB7/MTX2/MRPL35/ATP6V1C1/OPA1/MRPL11/GLUD1/NDUFA8/PDHX/UQCR11/NDUFB2/MTRF1/NDUFB6/ATP6V1F/MRPL15/RETSAT/DLAT/NDUFV1/ETFDH/COX15/OXA1L/ETFB/SLC25A12/ATP6V1G1/UQCRQ/ETFA/SLC25A4/NDUFS7/CS/ATP5PB/SDHD/UQCRH/IDH3B/ISCU/ATP5ME/ATP5F1A/SUCLG1/NDUFB8/TOMM22/PRDX3/COX5A/ECH1/ATP6V0B/NDUFS3/ATP5PF/ATP5MC2/NDUFS2/ATP5F1B/ALDH6A1
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,148,0.45713523568071646,1.9524221500745824,0.0015128593040847202,0.00992063492063492,0.005012531328320802,2010,"tags=34%, list=19%, signal=28%",MXI1/GNPDA1/SRD5A3/MET/STC2/VLDLR/AK4/HK2/CHST4/PC/B4GALT2/NANP/CTH/HOMER1/VEGFA/ANKZF1/FKBP4/ALDH7A1/PPFIA4/SLC25A10/FAM162A/AGRN/PAM/ME2/QSOX1/RRAGD/GALK1/ALG1/P4HA1/TXN/SOD1/COL5A1/EXT2/CITED2/SLC37A4/GCLC/ERO1A/DDIT4/PFKP/CHPF/LDHA/MPI/MDH2/GOT2/MIF/SLC25A13/B3GAT3/TSTA3/PLOD1/PYGB
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,0.7378984912526932,2.70272335615059,0.001718213058419244,0.00992063492063492,0.005012531328320802,1995,"tags=81%, list=19%, signal=66%",MYC/SORD/RRP12/RABEPK/SLC19A1/SLC29A2/WDR74/HK2/MYBBP1A/EXOSC5/NOLC1/WDR43/SUPV3L1/PHB/TBRG4/NOC4L/RRP9/PUS1/IMP4/TFB2M/PPAN/PES1/SRM/NPM1/NOP16/UTP20/NDUFAF4/HSPD1/IPO4/PA2G4/PRMT3/BYSL/RCL1/MRTO4/NOP56/UNG/LAS1L/HSPE1/NOP2/DDX18/NIP7/PPRC1/GRWD1/FARSA/TMEM97/AIMP2/TCOF1
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,42,-0.5301006992634071,-1.8932321347070191,0.0022371364653243847,0.00992063492063492,0.005012531328320802,2035,"tags=43%, list=19%, signal=35%",CDK9/ACVR1/SKIL/BCAR3/CTNNB1/PPP1CA/HDAC1/PPP1R15A/XIAP/SMURF1/JUNB/FURIN/SMAD3/PMEPA1/CDH1/RAB31/ID2
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,53,-0.5324030913505267,-2.0133418311429248,0.002325581395348837,0.00992063492063492,0.005012531328320802,2653,"tags=62%, list=25%, signal=47%",PIM1/STAT3/IL2RG/CSF2RB/LEPR/PTPN1/IL7/IL2RA/IFNGR2/BAK1/FAS/HMOX1/STAM2/CD44/TYK2/CBL/IL17RA/MAP3K8/JUN/IRF1/MYD88/STAT2/ITGB3/IRF9/EBI3/IL4R/SOCS1/PIK3R5/LTB/CXCL9/CXCL10/CXCL13
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,77,-0.5154241182107856,-2.0892744372903147,0.002512562814070352,0.00992063492063492,0.005012531328320802,1534,"tags=38%, list=14%, signal=32%",CNP/IFI35/TAP1/DHX58/TRIM21/CD74/EPSTI1/SELL/TRAFD1/ADAR/PARP14/IRF1/STAT2/TXNIP/IRF9/NMI/PARP9/OAS1/NUB1/GBP4/SAMD9/IL4R/HERC6/HELZ2/IRF7/MX1/CXCL10/SAMD9L
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,103,-0.44956529893372055,-1.9200140115594089,0.0026246719160104987,0.00992063492063492,0.005012531328320802,1209,"tags=37%, list=11%, signal=33%",IRAK2/CHST2/P2RX4/SELL/LDLR/LCK/RHOG/IRF1/IL10RA/TIMP1/ITGB3/GCH1/EBI3/NMI/LTA/AHR/SELENOS/BTG2/IL4R/RGS1/IL10/PIK3R5/NFKBIA/GNA15/CD40/CCR7/CXCL9/GPR132/SCARF1/IRF7/SLAMF1/TNFRSF9/CXCL10/PLAUR/CD82/CCL22/C5AR1
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,112,-0.48476694653158375,-2.1171513985028407,0.0026954177897574125,0.00992063492063492,0.005012531328320802,1672,"tags=42%, list=16%, signal=36%",ITGA3/CAP1/SHC1/MSN/ICAM1/PTPRC/SIRPA/ITGB4/ACTG1/PIK3R3/ACTN4/INSIG1/INPPL1/NRTN/PLCG1/VCAN/CRAT/MYH9/SGCE/SKAP2/PTK2/PFN1/ZYX/ITGA9/PBX2/RHOF/TRO/CTNNA1/VAV2/RRAS/FSCN1/TAOK2/MAP4K2/CDH1/GNAI2/MVD/CD86/CD274/FBN1/MAPK11/ACTB/CNN2/VASP/SRC/TRAF1/MYL9
