Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6804116,"TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest",8,20,0.001403705783267827,1.885912485066754E-7,1.4212764332421912E-4,12,17,0.0013812154696132596,9606,Homo sapiens,"CDKN1A;CDKN1B;CCNE2;CCNE1;E2F7","","R-HSA-6803411;R-HSA-6798353;R-HSA-6798304;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6798299;R-HSA-6798347;R-HSA-8952996;R-HSA-6803403;R-HSA-8953013;R-HSA-6803801"
R-HSA-2559586,"DNA Damage/Telomere Stress Induced Senescence",13,71,0.004983155530600786,2.702046451030782E-7,1.4212764332421912E-4,7,18,0.0014624634384140397,9606,Homo sapiens,"CDKN1A;CDKN1B;CCNE2;HIST1H2BJ;CCNE1;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-3785711;R-HSA-4647613;R-HSA-69562;R-HSA-3786258;R-HSA-187934;R-HSA-4647594;R-HSA-4647593"
R-HSA-2559582,"Senescence-Associated Secretory Phenotype (SASP)",14,89,0.00624649073554183,5.685952013667617E-7,1.4962001895768573E-4,7,22,0.0017874553136171597,9606,Homo sapiens,"CDKN1A;CDKN2C;CDKN1B;HIST1H2BJ;CDKN2A;RPS6KA2;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-3788745;R-HSA-182594;R-HSA-3788748;R-HSA-3788705;R-HSA-198746;R-HSA-3857328;R-HSA-3788708"
R-HSA-2559583,"Cellular Senescence",21,198,0.013896687254351487,6.233498179852859E-7,1.4962001895768573E-4,32,90,0.007312317192070198,9606,Homo sapiens,"CDKN1A;CDKN2C;CDKN1B;HIST1H2BJ;CCNE2;CDKN2A;CCNE1;RPS6KA2;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-182594;R-HSA-8979082;R-HSA-3857328;R-HSA-3209151;R-HSA-3229089;R-HSA-3223200;R-HSA-3785711;R-HSA-3240295;R-HSA-3788705;R-HSA-198746;R-HSA-187934;R-HSA-3788708;R-HSA-3229102;R-HSA-6804998;R-HSA-6804996;R-HSA-3229138;R-HSA-3209109;R-HSA-3209111;R-HSA-3200023;R-HSA-6804879;R-HSA-3209114;R-HSA-3786258;R-HSA-4647594;R-HSA-4647593;R-HSA-3788745;R-HSA-3222593;R-HSA-3788748;R-HSA-3209096;R-HSA-3209098;R-HSA-4647613;R-HSA-69562;R-HSA-9645672"
R-HSA-6791312,"TP53 Regulates Transcription of Cell Cycle Genes",12,65,0.004562043795620438,7.124762807508844E-7,1.4962001895768573E-4,19,42,0.0034124146896327592,9606,Homo sapiens,"CDKN1A;RGCC;CDKN1B;CCNE2;CCNE1;SFN;E2F7","","R-HSA-6803875;R-HSA-6798304;R-HSA-6803917;R-HSA-6798347;R-HSA-8952996;R-HSA-6803403;R-HSA-6803914;R-HSA-6803892;R-HSA-6803411;R-HSA-6803890;R-HSA-6803858;R-HSA-6798353;R-HSA-6803871;R-HSA-69562;R-HSA-6803388;R-HSA-187934;R-HSA-6798299;R-HSA-8953013;R-HSA-6803801"
R-HSA-73728,"RNA Polymerase I Promoter Opening",9,34,0.002386299831555306,9.896656743002552E-7,1.7319149300254466E-4,1,2,1.6249593760155997E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-73718"
R-HSA-5334118,"DNA methylation",9,36,0.0025266704098820887,1.573036938151695E-6,2.1979967450458382E-4,7,7,5.687357816054598E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-5334097;R-HSA-5334160;R-HSA-5334099;R-HSA-5334179;R-HSA-5334164;R-HSA-5334151;R-HSA-5334152"
R-HSA-9616222,"Transcriptional regulation of granulopoiesis",12,71,0.004983155530600786,1.758828206077645E-6,2.1979967450458382E-4,4,27,0.0021936951576210593,9606,Homo sapiens,"CDKN1A;HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;CKLF;HIST1H2AC","","R-HSA-8865505;R-HSA-9634442;R-HSA-9622363;R-HSA-9624668"
R-HSA-2559580,"Oxidative Stress Induced Senescence",15,114,0.008001122964626614,2.0123699708829434E-6,2.1979967450458382E-4,14,40,0.003249918752031199,9606,Homo sapiens,"CDKN2C;HIST1H2BJ;CDKN2A;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-182594;R-HSA-6804998;R-HSA-6804996;R-HSA-3229138;R-HSA-3209111;R-HSA-6804879;R-HSA-3209114;R-HSA-3209151;R-HSA-3229089;R-HSA-3222593;R-HSA-3223200;R-HSA-3240295;R-HSA-9645672;R-HSA-3229102"
R-HSA-427389,"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",10,48,0.003368893879842785,2.0933302333769888E-6,2.1979967450458382E-4,3,4,3.2499187520311994E-4,9606,Homo sapiens,"HDAC2;HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-427383;R-HSA-427404;R-HSA-427336"
R-HSA-110328,"Recognition and association of DNA glycosylase with site containing an affected pyrimidine",9,42,0.0029477821448624366,5.405535495106584E-6,5.135258720351255E-4,2,21,0.0017062073448163796,9606,Homo sapiens,"NEIL2;HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-5649686;R-HSA-9629372"
R-HSA-6798695,"Neutrophil degranulation",33,480,0.033688938798427846,6.975641456907766E-6,6.068808067509757E-4,10,10,8.124796880077998E-4,9606,Homo sapiens,"GRN;PDXK;TMED10;RPN2;GSTP1;HEXB;GMFG;C1orf35;CTSZ;MGST1;TCIRG1;ETFB;PRDX4;RAP1A;NAPRT;SIRPA;ACP2;CD59;ITGAV;CD58;GUSB;B2M;S100A11;TICAM2;FUCA2;CYBB;GGH;CYBA;CKAP4;BST2;RAB9B;DNASE1L1","","R-HSA-6798743;R-HSA-6799350;R-HSA-6798739;R-HSA-6800434;R-HSA-6798751;R-HSA-6798749;R-HSA-6798748;R-HSA-6798747;R-HSA-6800426;R-HSA-6798745"
R-HSA-212300,"PRC2 methylates histones and DNA",9,44,0.0030881527231892197,7.80819322587778E-6,6.246554580702224E-4,4,4,3.2499187520311994E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H3H;HIST1H4I;HIST1H2AC","","R-HSA-212263;R-HSA-212222;R-HSA-212269;R-HSA-212252"
R-HSA-171306,"Packaging Of Telomere Ends",8,34,0.002386299831555306,9.236336919848931E-6,6.522768353256492E-4,2,2,1.6249593760155997E-4,9606,Homo sapiens,"HIST1H2BJ;HIST1H2BK;HIST1H4I;HIST1H2AC","","R-HSA-181450;R-HSA-176700"
