Class,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
Up,Intracellular signaling by second messengers,23,362,0.025407075,2.99E-04,0.056855073,49,113,0.00918102,9606,Homo sapiens,PHLPP2;CAMK2D;CBX6;USP7;IRS1;PRKCE;CSNK2A2;XIAP;ITPR2;PTPN11;MTOR;REST;GRK3;ADCY9;PIK3CA;IRAK1;PRKAR2B;AGO1;AGO2;SNAI2;PIP4K2B,,R-HSA-8944650;R-HSA-8944522;R-HSA-199425;R-HSA-2318752;R-HSA-8948621;R-HSA-8850945;R-HSA-8948623;R-HSA-8948612;R-HSA-8944538;R-HSA-8944026;R-HSA-1675776;R-HSA-8948651;R-HSA-8944684;R-HSA-8948524;R-HSA-8945709;R-HSA-6807106;R-HSA-8951727;R-HSA-8948641;R-HSA-198314;R-HSA-6807118;R-HSA-8948536;R-HSA-8944569;R-HSA-2316434;R-HSA-111925;R-HSA-6807134;R-HSA-111930;R-HSA-9617583;R-HSA-8944457;R-HSA-8943817;R-HSA-6807077;R-HSA-8944706;R-HSA-8944454;R-HSA-8948569;R-HSA-169683;R-HSA-169680;R-HSA-8944599;R-HSA-111966;R-HSA-8944104;R-HSA-442725;R-HSA-111970;R-HSA-8944483;R-HSA-8948582;R-HSA-8948583;R-HSA-114542;R-HSA-8944632;R-HSA-8948602;R-HSA-198640;R-HSA-8944497;R-HSA-8948594
Up,Signaling by WNT,19,331,0.023231331,0.003028546,0.087827836,62,156,0.012674683,9606,Homo sapiens,KMT2D;CREBBP;USP34;CSNK2A2;LEF1;XIAP;ITPR2;KLHL12;NLK;GNG2;AGO1;DVL1;CCDC88C;AGO2;EP300;TCF3,,R-HSA-3858489;R-HSA-3322422;R-HSA-3858495;R-HSA-3858482;R-HSA-4641231;R-HSA-3364026;R-HSA-3322427;R-HSA-3858480;R-HSA-3322424;R-HSA-3322431;R-HSA-3322429;R-HSA-3858475;R-HSA-4411351;R-HSA-4420052;R-HSA-3364014;R-HSA-5665608;R-HSA-4411357;R-HSA-3640872;R-HSA-4411367;R-HSA-3451153;R-HSA-4411365;R-HSA-1504190;R-HSA-3772435;R-HSA-4641260;R-HSA-1504188;R-HSA-3772434;R-HSA-1504186;R-HSA-3772436;R-HSA-4411373;R-HSA-4411372;R-HSA-4411383;R-HSA-3965450;R-HSA-3965444;R-HSA-3965447;R-HSA-3965441;R-HSA-3451147;R-HSA-4641159;R-HSA-1504213;R-HSA-3299569;R-HSA-4641155;R-HSA-4411402;R-HSA-201677;R-HSA-169680;R-HSA-8944349;R-HSA-201685;R-HSA-5368582;R-HSA-1504193;R-HSA-201691;R-HSA-5368588;R-HSA-398040;R-HSA-8944362;R-HSA-3361751;R-HSA-8944352;R-HSA-4518575;R-HSA-5229348;R-HSA-3322434;R-HSA-201712;R-HSA-5334050;R-HSA-201717;R-HSA-398193;R-HSA-3364042;R-HSA-4518585
Up,TRIF(TICAM1)-mediated TLR4 signaling ,10,107,0.007509826,0.001052781,0.059693969,26,58,0.004712382,9606,Homo sapiens,MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;PTPN11;DUSP7,,R-HSA-451649;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-203797;R-HSA-450257;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-450346;R-HSA-199917;R-HSA-5684261;R-HSA-451634;R-HSA-936951;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-166271;R-HSA-937075;R-HSA-936947
Up,MyD88-independent TLR4 cascade ,10,107,0.007509826,0.001052781,0.059693969,26,60,0.004874878,9606,Homo sapiens,MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;PTPN11;DUSP7,,R-HSA-451649;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-203797;R-HSA-450257;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-450346;R-HSA-199917;R-HSA-5684261;R-HSA-451634;R-HSA-936951;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-166271;R-HSA-937075;R-HSA-936947
Up,Potassium Channels,10,103,0.007229085,7.93E-04,0.056855073,5,19,0.001543711,9606,Homo sapiens,KCNH2;GNG2;KCNMB3;KCNMB4;KCNQ5;KCNAB2;KCNAB3,,R-HSA-1013020;R-HSA-1296037;R-HSA-1013013;R-HSA-1013012;R-HSA-1296127
Up,MyD88 dependent cascade initiated on endosome,9,103,0.007229085,0.002878076,0.08634227,37,63,0.005118622,9606,Homo sapiens,MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;DUSP7,,R-HSA-975118;R-HSA-975119;R-HSA-975180;R-HSA-975115;R-HSA-451649;R-HSA-975111;R-HSA-5684250;R-HSA-975106;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-975134;R-HSA-203797;R-HSA-450257;R-HSA-975188;R-HSA-450333;R-HSA-975125;R-HSA-975122;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-975142;R-HSA-450346;R-HSA-975139;R-HSA-199917;R-HSA-975103;R-HSA-975100;R-HSA-5684261;R-HSA-451634;R-HSA-975097;R-HSA-168184;R-HSA-199935;R-HSA-5684267
Up,Toll Like Receptor 7/8 (TLR7/8) Cascade,9,103,0.007229085,0.002878076,0.08634227,37,64,0.00519987,9606,Homo sapiens,MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;DUSP7,,R-HSA-975118;R-HSA-975119;R-HSA-975180;R-HSA-975115;R-HSA-451649;R-HSA-975111;R-HSA-5684250;R-HSA-975106;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-975134;R-HSA-203797;R-HSA-450257;R-HSA-975188;R-HSA-450333;R-HSA-975125;R-HSA-975122;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-975142;R-HSA-450346;R-HSA-975139;R-HSA-199917;R-HSA-975103;R-HSA-975100;R-HSA-5684261;R-HSA-451634;R-HSA-975097;R-HSA-168184;R-HSA-199935;R-HSA-5684267
Up,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,9,102,0.007158899,0.002700383,0.08634227,29,48,0.003899903,9606,Homo sapiens,MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;DUSP7,,R-HSA-975119;R-HSA-451649;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-203797;R-HSA-450257;R-HSA-450333;R-HSA-975122;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-975142;R-HSA-450346;R-HSA-975139;R-HSA-199917;R-HSA-975103;R-HSA-975100;R-HSA-5684261;R-HSA-451634;R-HSA-975097;R-HSA-168184;R-HSA-199935;R-HSA-5684267
Down,Cell Cycle,35,682,0.047866367,0.001037059,0.018667057,125,410,0.033311667,9606,Homo sapiens,CDT1;CDKN1A;CDKN1B;CDKN2C;RPN2;HIST1H2BJ;CENPX;CDKN2A;PRKCB;SRC;HIST1H2BK;TUBG1;TYMS;HAUS1;MZT2B;POLD4;CCNE2;CCNE1;DMC1;STT3A;SFN;HIST1H4I;HIST1H3H;HIST1H2AC,,R-HSA-69891;R-HSA-75010;R-HSA-8852354;R-HSA-69127;R-HSA-75016;R-HSA-8852362;R-HSA-2294574;R-HSA-187916;R-HSA-264458;R-HSA-8961946;R-HSA-912408;R-HSA-69140;R-HSA-75028;R-HSA-2294580;R-HSA-69142;R-HSA-69144;R-HSA-8853405;R-HSA-174105;R-HSA-187934;R-HSA-2294590;R-HSA-188191;R-HSA-69152;R-HSA-380455;R-HSA-2172678;R-HSA-9018017;R-HSA-8961952;R-HSA-8853419;R-HSA-75825;R-HSA-2301205;R-HSA-68919;R-HSA-176702;R-HSA-176700;R-HSA-6803801;R-HSA-2245218;R-HSA-182594;R-HSA-5683735;R-HSA-606287;R-HSA-69191;R-HSA-912458;R-HSA-69195;R-HSA-68940;R-HSA-69199;R-HSA-912450;R-HSA-68944;R-HSA-68948;R-HSA-606289;R-HSA-380508;R-HSA-8942803;R-HSA-912470;R-HSA-912467;R-HSA-174438;R-HSA-1363314;R-HSA-69227;R-HSA-2294600;R-HSA-174441;R-HSA-174446;R-HSA-174444;R-HSA-174445;R-HSA-187506;R-HSA-174451;R-HSA-174448;R-HSA-1363303;R-HSA-380272;R-HSA-174202;R-HSA-174203;R-HSA-912503;R-HSA-174456;R-HSA-1363311;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095;R-HSA-912496;R-HSA-1363306;R-HSA-380283;R-HSA-606326;R-HSA-187520;R-HSA-380294;R-HSA-606349;R-HSA-8942607;R-HSA-8962050;R-HSA-380303;R-HSA-69005;R-HSA-380311;R-HSA-8848414;R-HSA-69016;R-HSA-380316;R-HSA-8854044;R-HSA-187552;R-HSA-6803403;R-HSA-174255;R-HSA-8854071;R-HSA-69299;R-HSA-8848436;R-HSA-6803411;R-HSA-187574;R-HSA-187575;R-HSA-187828;R-HSA-8961840;R-HSA-69562;R-HSA-188350;R-HSA-8961846;R-HSA-2288097;R-HSA-5229194;R-HSA-5223304;R-HSA-181450;R-HSA-8941895;R-HSA-157906;R-HSA-3000319;R-HSA-8941915;R-HSA-69074;R-HSA-198613;R-HSA-2574845;R-HSA-3000310;R-HSA-6803388;R-HSA-2574840;R-HSA-188386;R-HSA-69600;R-HSA-188390;R-HSA-69604;R-HSA-6804879;R-HSA-174058;R-HSA-6799246;R-HSA-176116;R-HSA-69116;R-HSA-1214188
Down,Cellular responses to external stimuli,32,586,0.041128579,6.26E-04,0.012519026,57,228,0.018524537,9606,Homo sapiens,CDKN1A;GPX1;CDKN1B;CDKN2C;RPN2;HIST1H2BJ;CDKN2A;GSTP1;HSPA4L;HIST1H2BK;CYBB;CYBA;TCIRG1;LIMD1;CCNE2;CCNE1;RPS6KA2;RRAGD;HIST1H4I;HIST1H3H;P4HB;HIST1H2AC;ATP6V1C2,,R-HSA-8979082;R-HSA-3857328;R-HSA-9645598;R-HSA-3209151;R-HSA-3229089;R-HSA-9640195;R-HSA-3223200;R-HSA-1234179;R-HSA-1234177;R-HSA-1234183;R-HSA-9646468;R-HSA-3788705;R-HSA-5252041;R-HSA-187934;R-HSA-3788708;R-HSA-3229102;R-HSA-5251955;R-HSA-3209109;R-HSA-5251959;R-HSA-3209111;R-HSA-3200023;R-HSA-3209114;R-HSA-3786258;R-HSA-5251942;R-HSA-3323013;R-HSA-3209096;R-HSA-3209098;R-HSA-69562;R-HSA-9645608;R-HSA-5252079;R-HSA-182594;R-HSA-3341296;R-HSA-3785711;R-HSA-3240295;R-HSA-198746;R-HSA-1234163;R-HSA-6804998;R-HSA-6807557;R-HSA-6804996;R-HSA-3229138;R-HSA-9639286;R-HSA-3343700;R-HSA-6804879;R-HSA-4647594;R-HSA-1234173;R-HSA-4647593;R-HSA-3788745;R-HSA-3222593;R-HSA-9640167;R-HSA-3788748;R-HSA-1222376;R-HSA-4647613;R-HSA-9640168;R-HSA-9645672;R-HSA-9640175;R-HSA-1234159;R-HSA-71676
