Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-4086398,"Ca2+ pathway",10,81,0.0056850084222346995,1.2286450828036255E-4,0.0568550730586439,14,27,0.0021936951576210593,9606,Homo sapiens,"GNG2;AGO1;AGO2;LEF1;ITPR2;TCF3;NLK","","R-HSA-8944362;R-HSA-4411365;R-HSA-4411402;R-HSA-4518575;R-HSA-4411373;R-HSA-169680;R-HSA-4411383;R-HSA-4420052;R-HSA-398193;R-HSA-3965444;R-HSA-3965447;R-HSA-4518585;R-HSA-3965441;R-HSA-398040"
R-HSA-9006925,"Intracellular signaling by second messengers",23,362,0.02540707467714767,2.993960897104131E-4,0.0568550730586439,49,113,0.009181020474488138,9606,Homo sapiens,"PHLPP2;CAMK2D;CBX6;USP7;IRS1;PRKCE;CSNK2A2;XIAP;ITPR2;PTPN11;MTOR;REST;GRK3;ADCY9;PIK3CA;IRAK1;PRKAR2B;AGO1;AGO2;SNAI2;PIP4K2B","","R-HSA-8944650;R-HSA-8944522;R-HSA-199425;R-HSA-2318752;R-HSA-8948621;R-HSA-8850945;R-HSA-8948623;R-HSA-8948612;R-HSA-8944538;R-HSA-8944026;R-HSA-1675776;R-HSA-8948651;R-HSA-8944684;R-HSA-8948524;R-HSA-8945709;R-HSA-6807106;R-HSA-8951727;R-HSA-8948641;R-HSA-198314;R-HSA-6807118;R-HSA-8948536;R-HSA-8944569;R-HSA-2316434;R-HSA-111925;R-HSA-6807134;R-HSA-111930;R-HSA-9617583;R-HSA-8944457;R-HSA-8943817;R-HSA-6807077;R-HSA-8944706;R-HSA-8944454;R-HSA-8948569;R-HSA-169683;R-HSA-169680;R-HSA-8944599;R-HSA-111966;R-HSA-8944104;R-HSA-442725;R-HSA-111970;R-HSA-8944483;R-HSA-8948582;R-HSA-8948583;R-HSA-114542;R-HSA-8944632;R-HSA-8948602;R-HSA-198640;R-HSA-8944497;R-HSA-8948594"
R-HSA-5625970,"RHO GTPases activate KTN1",4,12,8.422234699606962E-4,4.054565403379673E-4,0.0568550730586439,2,2,1.6249593760155997E-4,9606,Homo sapiens,"KLC2;KIF5A;KTN1","","R-HSA-5625959;R-HSA-5672083"
R-HSA-1489509,"DAG and IP3 signaling",7,52,0.0036496350364963502,7.66925659893225E-4,0.0568550730586439,10,27,0.0021936951576210593,9606,Homo sapiens,"GRK3;CAMK2D;ADCY9;PRKAR2B;PRKCE;ITPR2","","R-HSA-169683;R-HSA-169680;R-HSA-442725;R-HSA-111970;R-HSA-111925;R-HSA-8951727;R-HSA-198314;R-HSA-111930;R-HSA-9617583;R-HSA-111966"
R-HSA-1296071,"Potassium Channels",10,103,0.007229084783829309,7.929264200218222E-4,0.0568550730586439,5,19,0.0015437114072148197,9606,Homo sapiens,"KCNH2;GNG2;KCNMB3;KCNMB4;KCNQ5;KCNAB2;KCNAB3","","R-HSA-1013020;R-HSA-1296037;R-HSA-1013013;R-HSA-1013012;R-HSA-1296127"
R-HSA-450294,"MAP kinase activation",8,69,0.004842784952274004,8.61440500888544E-4,0.0568550730586439,20,32,0.0025999350016249595,9606,Homo sapiens,"MAP2K4;RPS6KA5;IRAK1;FBXW11;TNIP2;MAPKAPK2;TAB3;DUSP7","","R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-451649;R-HSA-450222;R-HSA-5684250;R-HSA-450346;R-HSA-199917;R-HSA-5684248;R-HSA-198669;R-HSA-5684261;R-HSA-451634;R-HSA-203797;R-HSA-450257;R-HSA-450333;R-HSA-199935;R-HSA-5684267"
R-HSA-937061,"TRIF(TICAM1)-mediated TLR4 signaling ",10,107,0.007509825940482875,0.0010527811615932414,0.05969396929510595,26,58,0.004712382190445239,9606,Homo sapiens,"MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;PTPN11;DUSP7","","R-HSA-451649;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-203797;R-HSA-450257;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-450346;R-HSA-199917;R-HSA-5684261;R-HSA-451634;R-HSA-936951;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-166271;R-HSA-937075;R-HSA-936947"
R-HSA-166166,"MyD88-independent TLR4 cascade ",10,107,0.007509825940482875,0.0010527811615932414,0.05969396929510595,26,60,0.004874878128046799,9606,Homo sapiens,"MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;PTPN11;DUSP7","","R-HSA-451649;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-203797;R-HSA-450257;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-450346;R-HSA-199917;R-HSA-5684261;R-HSA-451634;R-HSA-936951;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-166271;R-HSA-937075;R-HSA-936947"
R-HSA-426496,"Post-transcriptional silencing by small RNAs",3,7,4.912970241437394E-4,0.0010853448962746537,0.05969396929510595,3,3,2.4374390640233994E-4,9606,Homo sapiens,"AGO1;AGO2","","R-HSA-426522;R-HSA-426520;R-HSA-426489"
R-HSA-975871,"MyD88 cascade initiated on plasma membrane",9,94,0.006597417181358787,0.001570171236963458,0.07065770566335561,34,58,0.004712382190445239,9606,Homo sapiens,"MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;DUSP7","","R-HSA-937034;R-HSA-937032;R-HSA-451649;R-HSA-975878;R-HSA-975879;R-HSA-5684250;R-HSA-975874;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-936960;R-HSA-936991;R-HSA-937050;R-HSA-203797;R-HSA-450257;R-HSA-937044;R-HSA-450333;R-HSA-168162;R-HSA-975852;R-HSA-975853;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-450346;R-HSA-199917;R-HSA-5684261;R-HSA-451634;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-975857"
R-HSA-168142,"Toll Like Receptor 10 (TLR10) Cascade",9,94,0.006597417181358787,0.001570171236963458,0.07065770566335561,34,59,0.004793630159246019,9606,Homo sapiens,"MAP2K4;RPS6KA5;IRAK1;FBXW11;NKIRAS1;TNIP2;MAPKAPK2;TAB3;DUSP7","","R-HSA-937034;R-HSA-937032;R-HSA-451649;R-HSA-975878;R-HSA-975879;R-HSA-5684250;R-HSA-975874;R-HSA-168140;R-HSA-5684248;R-HSA-198669;R-HSA-936960;R-HSA-936991;R-HSA-937050;R-HSA-203797;R-HSA-450257;R-HSA-937044;R-HSA-450333;R-HSA-168162;R-HSA-975852;R-HSA-975853;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-450337;R-HSA-450222;R-HSA-450346;R-HSA-199917;R-HSA-5684261;R-HSA-451634;R-HSA-168184;R-HSA-199935;R-HSA-5684267;R-HSA-975857"
