ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,147,-0.5376375044028321,-2.489521824619354,1e-10,8.333333333333335e-10,3.508771929824562e-10,6588,"tags=68%, list=30%, signal=48%",POLL/POLR3C/RBX1/POLE4/ERCC3/SEC61A1/PDE4B/NELFCD/ZNF707/ZNF707/HPRT1/POLH/RFC5/RPA3/SNAPC4/CDA/RAE1/ERCC1/RFC4/DDB1/MPC2/POLD3/RALA/POLR1C/POLR2A/POLR2A/HCLS1/SUPT4H1/POLR2C/XPC/TSG101/EIF1B/POLD4/RAD51/SF3A3/VPS28/VPS28/POLA2/LIG1/CANT1/GMPR2/GMPR2/MRPL40/TP53/DUT/POLR1H/POLR1H/POLR1H/POLR1H/POLR1H/POLR1H/POLR1H/POLR1H/POLR2H/IMPDH2/PNP/ITPA/PRIM1/DGUOK/SUPT5H/DAD1/GTF2B/VPS37D/ELL/RFC2/SSRP1/TARBP2/PCNA/NME4/NT5C/POLD1/TAF6/VPS37B/GUK1/BRF2/ZWINT/GTF2F1/BCAP31/ERCC2/GTF3C5/NME1/AAAS/NELFB/POLR3GL/APRT/USP11/CETN2/SURF1/SURF1/NME3/TYMS/FEN1/POLR2E/ALYREF/MPG/GPX4/POLR2J/CLP1/TAF12/RPA2/NELFE/NELFE/NELFE/NELFE/NELFE/NELFE/POLR2G/ADA/EDF1/ADRM1/SAC3D1/POLR2I/POLR2F
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,198,-0.5208868100048785,-2.498285034318372,1e-10,8.333333333333335e-10,3.508771929824562e-10,6696,"tags=66%, list=31%, signal=46%",GINS1/RAD50/PMS2/PAICS/SPC24/HNRNPD/CTPS1/POLE4/BUB1B/EIF2S1/CSE1L/CHEK2/CNOT9/MTHFD2/PAN2/E2F8/SMC3/DSCC1/ZW10/RPA3/MAD2L1/CDKN3/RBBP7/GINS3/MSH2/RRM2/CIT/NUP205/CBX5/SPAG5/MCM5/SHMT1/POLD3/HMGB2/SMC1A/HMGB3/MCM4/MELK/CCNB2/TRIP13/TBRG4/HMMR/PHF5A/CENPM/KIF22/KPNA2/ESPL1/AK2/MLH1/KIF18B/BIRC5/H2AX/UBR7/UBR7/CTCF/STMN1/RACGAP1/TACC3/LMNB1/POLA2/CDCA8/LIG1/SLBP/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TUBB/TP53/DUT/MCM6/MYC/DLGAP5/AURKA/XRCC6/MCM7/NOP56/NCAPD2/RAN/DDX39A/LYAR/NOLC1/KIF4A/MCM3/RPA1/PPP1R8/TCF19/TCF19/TCF19/TCF19/TCF19/TCF19/TCF19/RFC2/SSRP1/PCNA/POLD1/DCLRE1B/PA2G4/KIF2C/HMGA1/PRDX4/TK1/RANBP1/UNG/TIMELESS/PRPS1/SUV39H1/PTTG1/CDK4/H2AZ1/NME1/CDKN2C/CDC25A/CKS2/PLK1/UBE2S/CCNE1/SNRPB/CDC25B/ASF1B/NAA38/MCM2/CKS1B/DCTPP1/CDKN1B/AURKB/MYBL2/UBE2T/POLD2/RNASEH2A/RPA2/TUBG1/CDC20/CDKN2A/POP7/CDKN1A
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,198,0.5763204459332273,3.084502407613221,1e-10,8.333333333333335e-10,3.508771929824562e-10,3188,"tags=50%, list=15%, signal=43%",CAP2/ADAM12/NTM/DKK1/FAP/CXCL12/LAMC2/LOXL1/DST/IGFBP3/MATN3/SPP1/SPOCK1/MXRA5/DPYSL3/GEM/CDH11/PRRX1/INHBA/PCOLCE2/PDLIM4/LRRC15/COMP/MMP2/SDC4/BGN/ABI3BP/SPARC/LUM/COL16A1/DAB2/VCAM1/CDH2/COL12A1/SLIT2/COL6A3/TFPI2/FOXC2/TNC/PMP22/TIMP3/FBLN2/CXCL1/TNFRSF11B/NNMT/FBN2/ITGAV/VEGFC/MSX1/SERPINE2/LAMA2/COL4A2/COL6A2/COL3A1/FSTL1/CDH6/ECM2/PDGFRB/GAS1/GJA1/CALD1/POSTN/COL4A1/MMP14/THY1/CXCL6/THBS1/IGFBP2/MFAP5/ELN/SNAI2/GREM1/GREM1/GREM1/COL1A2/DCN/COL5A3/FERMT2/FGF2/CD44/COL5A2/WNT5A/THBS2/GLIPR1/CAPG/HTRA1/IL15/CTHRC1/CADM1/IGFBP4/SLIT3/FBN1/COL5A1/COL1A1/FBLN5/FN1/MGP/TGFBI/MATN2/PLOD2
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,198,-0.46716535828453853,-2.2406254117728803,1e-10,8.333333333333335e-10,3.508771929824562e-10,6660,"tags=57%, list=31%, signal=40%",HSP90B1/LDHA/BUB1/USO1/PSMD14/SLC2A1/STARD4/HSPA5/NFYC/MTHFD2/BCAT1/ADIPOR2/ADIPOR2/HPRT1/GLRX/INSIG1/PSME3/LDLR/GPI/GPI/ARPC5L/CACYBP/RRM2/NUP205/ACSL3/DHFR/CYB5B/CXCR4/MCM4/HSPA9/SORD/CCT6A/SLC37A4/SLC37A4/HSPD1/HSPE1/SQLE/CYP51A1/GLA/PGK1/IDH1/AK4/TMEM97/EPRS1/NUFIP1/ASNS/PSPH/BTG2/YKT6/WARS1/SLC7A5/HMGCS1/PFKL/TXNRD1/GSR/RPN1/PSMA4/SCD/IMMT/SLC1A5/ACLY/CALR/GAPDH/TOMM40/QDPR/AURKA/PNP/EIF2S2/NMT1/NFIL3/PPIA/PSMG1/CORO1A/PRDX1/DDX39A/TUBA4A/PHGDH/PDAP1/ALDOA/RPA1/NFKBIB/NFKBIB/ABCF2/ABCF2/PSMD13/CCNF/FKBP2/PSAT1/UNG/EBP/ENO1/MAP2K3/HMBS/HMBS/TPI1/PGM1/CDC25A/PLK1/PSMC2/DHCR24/DDIT4/STIP1/PSMC4/PSMC4/MCM2/SLC9A3R1/RRP9/SHMT2/PPP1R15A/FDXR/PSMB5/TUBG1/GOT1/G6PD/DHCR7/SDF2L1/CDKN1A/TRIB3/XBP1
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,199,-0.550228159601677,-2.6419410363319566,1e-10,8.333333333333335e-10,3.508771929824562e-10,7267,"tags=77%, list=33%, signal=52%",SRSF2/EXOSC7/RPL34/SRSF1/SET/RPL14/GSPT1/PABPC1/PSMA2/RSL1D1/SRSF7/SSB/BUB3/LDHA/CLNS1A/IARS1/HNRNPD/CTPS1/PSMD14/RPS6/SF3B3/EIF2S1/GLO1/GNL3/RNPS1/TXNL4A/TFDP1/HPRT1/RAD23B/SNRPG/PTGES3/CDK2/MAD2L1/PSMA6/YWHAQ/NOP16/HNRNPA1/SLC25A3/NPM1/PSMD1/RFC4/CNBP/MCM5/VBP1/RACK1/KPNB1/MCM4/SMARCC1/HSPD1/HSPE1/EEF1B2/EEF1B2/EIF4H/PGK1/TCP1/EPRS1/CCT2/KPNA2/UBE2L3/RPS3/ODC1/PSMA1/HDGF/EIF3B/STARD7/CCT5/YWHAE/YWHAE/VDAC1/RPS2/CCT4/PRDX3/PWP1/HDDC2/KARS1/CCNA2/POLE3/HSP90AB1/PSMA4/DUT/CDC45/MCM6/RRM1/EIF4A1/MYC/IMPDH2/LSM7/XRCC6/EIF2S2/RPL18/SNRPD3/EIF3D/PPIA/CCT3/COX5A/MCM7/NOP56/CAD/SNRPB2/RAN/ERH/RPLP0/PSMB2/RPS10/NOLC1/CUL1/RPS5/PCNA/PA2G4/PCBP1/PSMD3/SF3A1/TRIM28/PRDX4/NDUFAB1/RANBP1/PPM1G/GOT2/ILF2/TUFM/CDK4/PRPF31/MRPL23/C1QBP/H2AZ1/AIMP2/NME1/CSTF2/SNRPA/MRPS18B/MRPS18B/MRPS18B/MRPS18B/MRPS18B/MRPS18B/MRPS18B/PHB2/PRPS2/NHP2/PSMD7/VDAC3/CCT7/APEX1/PSMC4/PSMC4/TYMS/MCM2/PSMD8/FBL/FBL/MRPL9/RUVBL2/SRM/PRPF31/PRPF31/PSMA7/RRP9/PHB/POLD2/CYC1/SNRPD2/CDC20/PSMB3/PSMB3/LSM2/LSM2/LSM2/LSM2/LSM2/LSM2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,185,-0.557087795019455,-2.650646974290456,1e-10,8.333333333333335e-10,3.508771929824562e-10,6650,"tags=71%, list=31%, signal=49%",LDHA/ALDH6A1/DLD/MRPS11/NDUFA4/TIMM9/ETFA/RETSAT/OXA1L/NDUFV2/ATP6AP1/HADHB/IDH3A/COX10/GLUD1/GPI/GPI/BAX/PDP1/DLAT/SLC25A3/MRPL35/AFG3L2/COX7B/HSPA9/COX15/UQCRC2/UQCRC2/ETFB/ATP6V0E1/NNT/RHOT2/DECR1/IDH1/PDHX/NDUFA6/NDUFA6/NDUFA6/NDUFA6/NDUFA6/NDUFS4/MDH1/PMPCA/VDAC2/COX7C/NDUFS6/TCIRG1/MFN2/COX4I1/ACAA2/COX6C/LDHB/SDHA/ATP6V0B/VDAC1/NDUFB6/ATP6V1G1/PRDX3/SUCLG1/NDUFS7/BDH2/ACADVL/UQCRH/IMMT/TOMM22/MRPS15/UQCRFS1/NDUFB4/NDUFB3/ATP6V0C/HADHA/PDHA1/ATP6V1E1/SLC25A5/COX5A/NDUFS8/POR/GRPEL1/ABCB7/SLC25A4/SLC25A6/MPC1/NDUFB8/ALAS1/NDUFS3/NDUFS3/NDUFA2/TIMM8B/NDUFS2/NDUFAB1/ACO2/HTRA2/AIFM1/GOT2/CASP7/NDUFV1/COX7A2/FH/IDH3B/MRPS12/MRPS12/MRPL34/PHB2/UQCR11/VDAC3/HCCS/SLC25A11/SDHB/COX5B/TIMM13/SURF1/SURF1/NDUFA1/MRPL15/ATP6V1F/COX6A1/OGDH/IDH3G/GPX4/UQCRQ/ECI1/SLC25A20/MDH2/ECHS1/HSD17B10/CYC1/COX8A/IDH2/BCKDHA/MRPL11/COX6B1/ECH1/ECH1/UQCRC1/UQCR10/NDUFB7/POLR2F/TIMM10/NDUFA8
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,200,0.39316823681366453,2.104305836662616,3.981085620880204e-9,2.8436325863430028e-8,1.1973189837233696e-8,3497,"tags=33%, list=16%, signal=28%",MYH4/MYH2/MYH1/MYH8/TNNC1/ADAM12/MYOG/CASQ1/MYH7/CASQ2/HSPB8/ACHE/MYL3/PPP1R3C/IGFBP3/EFS/MB/MYF6/SGCA/IGF1/GJA5/MYL1/DES/SPARC/MYOZ1/COL6A3/CSRP3/SVIL/FST/TNNT1/HRC/APLNR/PPFIA4/LAMA2/COL4A2/COL6A2/COL3A1/STC2/WWTR1/CNN3/IGFBP7/SCHIP1/ATP2A1/FGF2/NCAM1/BDKRB2/CHRNA1/SLN/KIFC3/PTGIS/NAV2/MYBPH/TNNT2/CLU/ACTC1/CRYAB/COX6A2/DTNA/NOS1/CDH13/COL1A1/MRAS/EPHB3/REEP1/SSPN/ACTN2/MYOM2/MYOM2/FHL1/TNNI1
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,192,-0.42118236093963485,-2.0184470441924036,4.7141163132507373e-8,2.946322695781711e-7,1.2405569245396678e-7,9952,"tags=79%, list=46%, signal=43%",NOTCH2/SFPQ/CDK1/NASP/CUL4A/SMAD3/XPO1/MNAT1/PAFAH1B1/CDC27/CCNT1/PLK4/CDC7/NDC80/ILF3/CENPF/MAPK14/FOXN3/CHEK1/SMC2/TNPO2/POLE/SNRPD1/LBR/TMPO/SYNCRIP/TTK/TGFB1/BARD1/TLE3/NUSAP1/ORC5/YTHDC1/YTHDC1/KIF11/NUP50/NUP98/STAG1/RAD21/MKI67/H2AZ2/FANCC/TOP2A/SRSF2/TROAP/LIG3/SRSF1/GSPT1/EXO1/BUB3/FBXO5/BUB1/DMD/HNRNPD/EWSR1/RBM14/SLC7A1/TFDP1/E2F1/RAD23B/KIF15/KIF15/KMT5A/MAD2L1/CDKN3/UCK2/NEK2/NUMA1/TOP1/MCM5/PRC1/NCL/SMC1A/CHAF1A/KPNB1/HMGB3/CCNB2/SMARCC1/ABL1/HMMR/GINS2/SQLE/HIRA/UPF1/KIF22/KPNA2/DKC1/ODC1/ESPL1/PBK/DTYMK/E2F4/ODF2/BIRC5/H2AX/CTCF/SLC7A5/CENPA/STMN1/PML/RACGAP1/TACC3/LMNB1/TRAIP/CCNA2/E2F2/E2F2/HMGN2/POLA2/HSPA8/CDC6/MEIS2/BCL3/KATNA1/CDC45/MCM6/MYC/RAD54L/AURKA/CBX1/CHMP1A/DDX39A/TPX2/NOLC1/KIF4A/ATF5/CUL1/MCM3/MT2A/KIF2C/UBE2C/CCNF/HMGA1/SUV39H1/PTTG1/CDK4/H2AZ1/CDKN2C/CDC25A/CKS2/PLK1/SAP30/UBE2S/INCENP/PRMT5/CDC25B/MCM2/CKS1B/CDKN1B/AURKB/MYBL2/RPA2/CDC20/H2BC12
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,95,-0.4977852173233649,-2.1410243213862845,7.975531131760327e-8,4.245886408816881e-7,1.7877416458176345e-7,4769,"tags=63%, list=22%, signal=49%",SAMD9L/HELZ2/CMTR1/NUB1/CNP/TRIM14/WARS1/STAT2/IFI35/OGFR/MVB12A/TRIM5/DHX58/SP110/IRF1/MOV10/TXNIP/IRF9/IRF9/UBA7/EPSTI1/BATF2/SLC25A28/TRIM26/TRIM26/TRIM26/TRIM26/TRIM26/TRIM26/TRIM26/TRIM26/LGALS3BP/RNF31/RNF31/TAP1/TAP1/TAP1/TAP1/TAP1/TAP1/TAP1/TAP1/IFIT3/IFITM1/HLA-C/HLA-C/HLA-C/HLA-C/HLA-C/HLA-C/HLA-C/TDRD7/LY6E/LY6E/PSME2/PSME2/SELL/NMI/TRAFD1/IRF2/IFIT2/PSMB9/PSMB9/PSMB9/PSMB9/PSMB9/PSMB9/PSMB9/PSMB9/MX1/PSMB8/PSMB8/PSMB8/PSMB8/PSMB8/PSMB8/PSMB8/PSMB8/PSME1/PSME1/UBE2L6/BST2/USP18/TRIM21/ISG15/RTP4
HALLMARK_COAGULATION,HALLMARK_COAGULATION,138,0.4131445542092517,2.116816277235901,8.491772817633762e-8,4.245886408816881e-7,1.7877416458176345e-7,4132,"tags=45%, list=19%, signal=37%",MEP1A/CTSE/HPN/MMP9/CPB2/PLAU/C3/COMP/MMP2/FGA/SPARC/APOC1/TFPI2/TIMP3/CFH/A2M/ITIH1/GNG12/THBD/CFI/C1S/VWF/SERPING1/C1R/MMP14/THBS1/F3/HNF4A/ACOX2/KLK8/HRG/CRIP2/PDGFB/PROS1/HTRA1/C2/C2/C2/C2/C2/C2/C2/CLU/TF/GP1BA/RGN/MMP8/C8G/CTSO/CTSO/KLF7/FBN1/FN1/MST1/MMP7/DCT/TIMP1/LRP1/CTSK/CTSB/MMP3/DPP4/F10/PROZ/OLR1/CFD/CFD/FGG/SERPINE1/PLG/ITGA2
