ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,148,-0.3375964822408943,-1.6269649949296032,0.0022727272727272726,0.009110787172011662,0.004603345097437471,4142,"tags=53%, list=34%, signal=35%",CETN2/SEC61A1/TAF1C/BRF2/SF3A3/SSRP1/RPA2/UMPS/POLR2J/PDE4B/SUPT4H1/FEN1/TK2/NELFB/TSG101/PCNA/GPX4/TAF10/CLP1/ELOA/ALYREF/CANT1/GTF3C5/RAD51/NELFE/EDF1/DDB2/ADCY6/SRSF6/GMPR2/POLR1C/MPG/TAF13/COX17/POLE4/ELL/GTF2F1/TP53/GUK1/POLA2/ZNF707/ITPA/GSDME/POLD1/DUT/TARBP2/RAE1/ADA/AAAS/PNP/PDE6G/POLR2F/POLR2H/POLR2A/HCLS1/SUPT5H/RPA3/ERCC2/GTF2H5/ZWINT/APRT/POLR2G/USP11/SURF1/NME1/DGUOK/NME3/RBX1/VPS28/ADRM1/SAC3D1/BCAP31/ZNRD1/BCAM/POLR2I/DAD1/VPS37B
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,58,-0.4196639662062167,-1.6956222691536071,0.0022727272727272726,0.009110787172011662,0.004603345097437471,3423,"tags=52%, list=28%, signal=38%",SRM/NOP16/IPO4/PPRC1/DUSP2/TMEM97/TBRG4/NOP56/BYSL/PA2G4/WDR74/IMP4/AIMP2/RRP12/SLC19A1/PPAN/EXOSC5/LAS1L/RABEPK/SLC29A2/GRWD1/RRP9/PHB/DCTPP1/HSPE1/CDK4/PES1/FARSA/NOC4L
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,86,-0.5852248823868054,-2.5422093507925614,0.0022935779816513763,0.009110787172011662,0.004603345097437471,2507,"tags=55%, list=20%, signal=44%",CMTR1/ADAR/TAP1/PSMB8/RNF31/IRF9/SAMD9L/STAT2/SP110/GBP4/PLSCR1/PARP9/CSF1/IRF1/TRIM26/IFI27/SLC25A28/ISG15/PARP12/MVB12A/PSME2/PSME1/TRIM21/WARS/HLA-C/IFI30/C1S/IFI44/IFI35/LAMP3/UBE2L6/UBA7/IFI44L/IFITM3/TXNIP/CXCL11/PSMB9/PARP14/BST2/IRF7/IFITM1/LY6E/IFITM2/CXCL10/MX1/SELL
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,67,-0.4443250396777049,-1.8455087237045948,0.002304147465437788,0.009110787172011662,0.004603345097437471,2126,"tags=34%, list=17%, signal=29%",STAT2/BAK1/TNFRSF1A/TNFRSF21/CSF1/IRF1/PLA2G2A/STAT3/IL15RA/CD44/TNFRSF1B/CXCL13/PIM1/PTPN1/IL2RG/EBI3/TNF/HMOX1/CXCL11/CXCL9/LTB/CXCL10
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,142,-0.38216617429323474,-1.822205898000639,0.0023094688221709007,0.009110787172011662,0.004603345097437471,2665,"tags=35%, list=22%, signal=28%",CASP1/BGN/PSEN2/SOD1/CTNNB1/MGMT/TAP1/RHOB/TSPO/LGALS3/CASP2/SAT1/DIABLO/DIABLO/ADD1/DNAJC3/ENO2/IRF1/CCND1/BMF/BCL2L11/KRT18/FDXR/PRF1/GNA15/CASP4/RARA/BAX/CD44/CD2/EGR3/BCAP31/ERBB2/CCND2/LMNA/IGFBP6/EBP/MMP2/IFITM3/IER3/TXNIP/CDC25B/BCL2L1/TNF/HMOX1/GPX1/TIMP1/GSTM1/CDKN1A/CLU
HALLMARK_COAGULATION,HALLMARK_COAGULATION,82,-0.5069463324660576,-2.190979113601959,0.0023148148148148147,0.009110787172011662,0.004603345097437471,1872,"tags=33%, list=15%, signal=28%",PDGFB/ISCU/SERPING1/MST1/MMP15/SH2B2/CFB/USP11/THBD/HTRA1/CTSH/C1R/PEF1/C1S/S100A1/RAPGEF3/CTSK/CRIP2/GP1BA/MMP2/LGMN/TIMP1/S100A13/C3/MMP9/CLU
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,154,-0.34679051812128436,-1.6749644505443353,0.002352941176470588,0.009110787172011662,0.004603345097437471,2952,"tags=34%, list=24%, signal=27%",KYNU/FYN/DUSP6/CP/CTSD/CASP1/APOC1/CFH/PPP4C/MMP14/GPD2/GCA/SRC/CCL5/STX4/LGALS3/HSPA5/PDGFB/ITGAM/CDK5R1/PLSCR1/SERPING1/IRF1/PFN1/MMP15/PRCP/GZMB/MSRB1/CASP4/DOCK9/CFB/ATOX1/CALM3/CTSH/KLK1/C1R/C1S/PIM1/S100A9/RHOG/CTSL/GP1BA/PSMB9/LGMN/TIMP1/HSPA1A/S100A13/IRF7/DUSP5/C3/CR2/CLU
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,130,-0.3711691954593873,-1.7459059476043233,0.0023584905660377358,0.009110787172011662,0.004603345097437471,1520,"tags=23%, list=12%, signal=20%",GPER1/SLC9A3R1/OVOL2/GALE/RNASEH2A/NAB2/TSPAN13/KLF4/BLVRB/CD44/NBL1/ASS1/DCXR/PPIF/EGR3/NXT1/S100A9/HSPB8/IGFBP4/ETFB/LARGE1/SLC29A1/PTPN6/BATF/DHCR7/UNC13B/CKB/DNAJC12/XBP1
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,163,-0.3899882351816854,-1.896111137454251,0.0024154589371980675,0.009110787172011662,0.004603345097437471,1177,"tags=23%, list=10%, signal=21%",HLA-DQA1/CXCR3/PRF1/EIF5A/BCL3/NME1/CD4/CD2/WARS/CXCL13/AARS/CCND2/CCL11/IRF4/CD79A/HLA-A/EGFR/IL2RG/HLA-G/CD3D/TNF/CD3G/CD8B/CXCL9/CAPG/PTPN6/TIMP1/CD7/HLA-DQA1/CD3E/IRF7/ACHE/CDKN2A/LTB/CFP/MMP9/CCL19
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,136,-0.42137813262655294,-1.992382093650258,0.0024154589371980675,0.009110787172011662,0.004603345097437471,3084,"tags=41%, list=25%, signal=31%",P2RX7/CYBB/DCBLD2/CD14/SLC11A2/BEST1/PTAFR/PDPN/TPBG/CD48/GABBR1/KIF1B/ADM/SRI/MMP14/CD70/ITGA5/CD40/NFKBIA/CCL5/CMKLR1/SPHK1/LDLR/IL2RB/CSF1/PTGER4/IRF1/PTGIR/GNA15/APLNR/IL15RA/TNFRSF1B/ADRM1/SEMA4D/RHOG/LPAR1/GP1BA/EBI3/LAMP3/CXCL11/CXCL9/TIMP1/BST2/LTA/IRF7/IFITM1/IL7R/CHST2/LY6E/CXCL10/CX3CL1/EMP3/SELL/CDKN1A/CCR7
