NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
RGS13,RGS13,null,null,0.47637406
LINC01694,LINC01694,null,null,0.38816065
SLITRK5,SLITRK5,null,null,0.33572745
OGDHL,OGDHL,null,null,0.32140037
KBTBD11,KBTBD11,null,null,0.3111797
NUGGC,NUGGC,null,null,0.30226034
FAM92B,FAM92B,null,null,0.29156375
MIAT,MIAT,null,null,0.28636202
ECEL1,ECEL1,null,null,0.28589475
CYP1A1,CYP1A1,null,null,0.28384355
MYEF2,MYEF2,null,null,0.28209263
KCTD15,KCTD15,null,null,0.26849586
ZDHHC8,ZDHHC8,null,null,0.26788488
IGLJ2,IGLJ2,null,null,0.26614615
SHANK1,SHANK1,null,null,0.26384747
DDX3Y,DDX3Y,null,null,0.2591339
LIX1,LIX1,null,null,0.25779194
JAG2,JAG2,null,null,0.25700682
AC092070.2,AC092070.2,null,null,0.25069845
B4GALT6,B4GALT6,null,null,0.24629924
IGHD,IGHD,null,null,0.24313293
CDYL2,CDYL2,null,null,0.24209328
ZFP30,ZFP30,null,null,0.23342152
USP44,USP44,null,null,0.23300013
ARLNC1,ARLNC1,null,null,0.2290031
SLC24A5,SLC24A5,null,null,0.22808595
RADX,RADX,null,null,0.22774574
ZNF107,ZNF107,null,null,0.22428025
DIRAS1,DIRAS1,null,null,0.22147928
LINC01991,LINC01991,null,null,0.21960337
NETO2,NETO2,null,null,0.21924862
EIF1AY,EIF1AY,null,null,0.2191944
AC023510.1,AC023510.1,null,null,0.21846226
ACPP,ACPP,null,null,0.2165527
USP9Y,USP9Y,null,null,0.21602353
AC102953.2,AC102953.2,null,null,0.21398798
CELSR1,CELSR1,null,null,0.21291879
THRIL,THRIL,null,null,0.21278946
USP32P2,USP32P2,null,null,0.2121323
FAM106A,FAM106A,null,null,0.21192385
ZNF354C,ZNF354C,null,null,0.21186596
LILRB1,LILRB1,null,null,0.21014462
RPS4Y1,RPS4Y1,null,null,0.20970176
TXLNGY,TXLNGY,null,null,0.20674057
Z99774.1,Z99774.1,null,null,0.20572878
RAP1GAP2,RAP1GAP2,null,null,0.20322847
RTL6,RTL6,null,null,0.20115125
GAS5-AS1,GAS5-AS1,null,null,0.20047858
TESMIN,TESMIN,null,null,0.20038252
