Sample,SampleALT,Experiment,Batch,Condition,Replicate,Cell_line,Treatment,Time,Treatment2,SLX,Corresponding ,Merged
SLX.13195.A009,SLX-13195.A009,RNA,1,BL41_ctl_24,1,BL41,ctl,24,ctl,SLX.13195,None,1
SLX.13201.A001,SLX-13201.A001,RNA,2,BL41_ctl_24,2,BL41,ctl,24,ctl,SLX.13201,SLX.13452.A001,1
SLX.13452.A001,SLX-13452.A001,Ribo,2,BL41_ctl_24,2,BL41,ctl,24,ctl,SLX.13452,SLX.13201.A001,1
SLX.13195.A006,SLX-13195.A006,RNA,1,BL41_ctl_48,1,BL41,ctl,48,ctl,SLX.13195,None,1
SLX.13201.A005,SLX-13201.A005,RNA,2,BL41_ctl_48,2,BL41,ctl,48,ctl,SLX.13201,SLX.13457.A004,1
SLX.13457.A004,SLX-13457.A004,Ribo,2,BL41_ctl_48,2,BL41,ctl,48,ctl,SLX.13457,SLX.13201.A005,1
SLX.13452.A004,SLX-13452.A004,Ribo,2,BL41_DY_24,2,BL41,shY,24,shY,SLX.13452,SLX.13201.A004,1
SLX.14300.A007,SLX-14300.A007,Ribo,2,BL41_DY_48,2,BL41,shY,48,shY,SLX.14300,SLX.13201.A008,1
SLX.13195.A010,SLX-13195.A010,RNA,1,BL41_sh1_24,1,BL41,sh1,24,sh,SLX.13195,None,1
SLX.13201.A002,SLX-13201.A002,RNA,2,BL41_sh1_24,2,BL41,sh1,24,sh,SLX.13201,SLX.13452.A002,1
SLX.13452.A002,SLX-13452.A002,Ribo,2,BL41_sh1_24,2,BL41,sh1,24,sh,SLX.13452,SLX.13201.A002,1
SLX.13195.A012,SLX-13195.A012,RNA,1,BL41_sh1_48,1,BL41,sh1,48,sh,SLX.13195,None,1
SLX.13201.A006,SLX-13201.A006,RNA,2,BL41_sh1_48,2,BL41,sh1,48,sh,SLX.13201,SLX.13457.A005,1
SLX.13457.A005,SLX-13457.A005,Ribo,2,BL41_sh1_48,2,BL41,sh1,48,sh,SLX.13457,SLX.13201.A006,1
SLX.13195.A007,SLX-13195.A007,RNA,1,BL41_sh2_24,1,BL41,sh2,24,sh,SLX.13195,None,1
SLX.13201.A003,SLX-13201.A003,RNA,2,BL41_sh2_24,2,BL41,sh2,24,sh,SLX.13201,SLX.13452.A003,1
SLX.13452.A003,SLX-13452.A003,Ribo,2,BL41_sh2_24,2,BL41,sh2,24,sh,SLX.13452,SLX.13201.A003,1
SLX.13195.A005,SLX-13195.A005,RNA,1,BL41_sh2_48,1,BL41,sh2,48,sh,SLX.13195,None,1
