Sample,SampleALT,Experiment,Condition,Replicate,Cell_line,Treatment,Time,Treatment2,SLX,Corresponding,WT_sign,DDX3Xexpr,Group
SLX.12465.A001,SLX-12465.A001,RNA,Mutu_ctl_24,1,Mutu,ctl,24,ctl,SLX.12465,SLX.12469.A001,FALSE,NA,A
SLX.12465.A004,SLX-12465.A004,RNA,Mutu_ctl_48,1,Mutu,ctl,48,ctl,SLX.12465,SLX.12469.A004,FALSE,NA,A
SLX.12465.A002,SLX-12465.A002,RNA,Mutu_sh1_24,1,Mutu,sh1,24,sh,SLX.12465,SLX.12469.A002,FALSE,NA,A
SLX.12465.A005,SLX-12465.A005,RNA,Mutu_sh1_48,1,Mutu,sh1,48,sh,SLX.12465,SLX.12469.A005,FALSE,NA,A
SLX.12465.A003,SLX-12465.A003,RNA,Mutu_sh2_24,1,Mutu,sh2,24,sh,SLX.12465,SLX.12469.A003,FALSE,NA,A
SLX.12465.A006,SLX-12465.A006,RNA,Mutu_sh2_48,1,Mutu,sh2,48,sh,SLX.12465,SLX.12469.A006,FALSE,NA,A
SLX.12469.A001,SLX-12469.A001,Ribo,Mutu_ctl_24,1,Mutu,ctl,24,ctl,SLX.12469,SLX.12465.A001,FALSE,NA,A
SLX.12469.A004,SLX-12469.A004,Ribo,Mutu_ctl_48,1,Mutu,ctl,48,ctl,SLX.12469,SLX.14296.A004,FALSE,NA,A
SLX.12469.A002,SLX-12469.A002,Ribo,Mutu_sh1_24,1,Mutu,sh1,24,sh,SLX.12469,SLX.12465.A002,FALSE,NA,A
SLX.12469.A005,SLX-12469.A005,Ribo,Mutu_sh1_48,1,Mutu,sh1,48,sh,SLX.12469,SLX.12465.A005,FALSE,NA,A
SLX.12469.A003,SLX-12469.A003,Ribo,Mutu_sh2_24,1,Mutu,sh2,24,sh,SLX.12469,SLX.12465.A003,FALSE,NA,A
SLX.12469.A006,SLX-12469.A006,Ribo,Mutu_sh2_48,1,Mutu,sh2,48,sh,SLX.12469,SLX.12465.A006,FALSE,NA,A
SLX.13199.A001,SLX-13199.A001,RNA,Mutu_ctl_24,2,Mutu,ctl,24,ctl,SLX.13199,SLX.13460.A005,FALSE,NA,
SLX.13199.A003,SLX-13199.A003,RNA,Mutu_ctl_48,2,Mutu,ctl,48,ctl,SLX.13199,SLX.13454.A008,FALSE,NA,
SLX.13454.A008,SLX-13454.A008,Ribo,Mutu_ctl_48,2,Mutu,ctl,48,ctl,SLX.13454,SLX.13199.A003,FALSE,NA,
SLX.13460.A005,SLX-13460.A005,Ribo,Mutu_ctl_24,2,Mutu,ctl,24,ctl,SLX.13460,SLX.13199.A001,FALSE,NA,
