"Name","ID","P_value","FDR","Significant","log2FC","ctl_centered","sh_centered"
"A8K187","A8K187",0.000655277383959575,0.00486,TRUE,0.458,-0.229,0.229
"A8K2L4","A8K2L4",0.00159576892163047,0.0503,TRUE,0.412,-0.206,0.206
"A8K6K2","A8K6K2",0.000499849176780417,0.00182,TRUE,0.358,-0.179,0.179
"A8K7N0","A8K7N0",0.00124651499279469,0.0286,TRUE,-0.521,0.261,-0.261
"A8KAC4","A8KAC4",0.000284932100690681,0.000134,TRUE,0.421,-0.21,0.21
"ABLIM1","O14639",0.000180925704983059,9.3e-06,TRUE,0.478,-0.239,0.239
"ACAD10","Q6JQN1-5",0.000975105935928496,0.0155,TRUE,-0.37,0.185,-0.185
"AK4","P27144",0.000372683145576744,0.000508,TRUE,0.692,-0.346,0.346
"ALDOC","P09972",0.000319926314907465,0.000245,TRUE,0.434,-0.217,0.217
"ANAPC4","Q9UJX5-3",2.12047819091131e-06,8.63e-14,TRUE,1.27,-0.635,0.635
"ANXA5","P08758",0.00109452992036913,0.0205,TRUE,0.706,-0.353,0.353
"APBB1IP","Q7Z5R6",0.000745453004527297,0.00735,TRUE,-0.393,0.197,-0.197
"ASNS","P08243",0.000418841555785628,0.000853,TRUE,-0.474,0.237,-0.237
"B2R7F8","B2R7F8",0.00112439741252461,0.0217,TRUE,0.327,-0.164,0.164
"B3KXY9","B3KXY9",0.00061581630756815,0.00394,TRUE,0.346,-0.173,0.173
"B3VL17","B3VL17",0.000528114348121552,0.00226,TRUE,0.62,-0.31,0.31
"B4DY32","B4DY32",0.000369472593060033,0.000489,TRUE,-0.495,0.247,-0.247
"B4E106","B4E106",0.000659462916397335,0.00496,TRUE,0.352,-0.176,0.176
"B6E4X6","B6E4X6",0.0013127635139863,0.0325,TRUE,-0.364,0.182,-0.182
"BASP1","P80723",0.000530214420462947,0.00229,TRUE,1.41,-0.705,0.705
"BPHL","Q86WA6",0.000358076184584671,0.000424,TRUE,0.458,-0.229,0.229
"BRD4","O60885",0.000582858824972773,0.00324,TRUE,0.436,-0.218,0.218
"BRD9","Q9H8M2",0.000183897186286846,1.03e-05,TRUE,0.454,-0.227,0.227
"BRI3BP","Q8WY22",0.00127312018175681,0.0301,TRUE,0.448,-0.224,0.224
"C15orf40","Q8WUR7",0.0011160024625994,0.0214,TRUE,0.441,-0.22,0.22
"CAMK1D","Q8IU85",0.00117555688313869,0.0245,TRUE,0.342,-0.171,0.171
"CARNMT1","Q8N4J0",2.04759725419141e-05,8.63e-14,TRUE,1.33,-0.663,0.663
"CCDC88A","Q3V6T2",0.00165757987235292,0.0541,TRUE,0.385,-0.192,0.192
"CD37","P11049",0.000118393513756528,4.67e-07,TRUE,0.555,-0.277,0.277
"CDYL","Q9Y232",0.00101328831178521,0.0171,TRUE,0.426,-0.213,0.213
"CENPV","Q7Z7K6-3",1.15353595331826e-05,8.63e-14,TRUE,0.841,-0.42,0.42
"CEP85","Q6P2H3",0.00100780949114714,0.0169,TRUE,0.35,-0.175,0.175
"CHDH","A0A024R301",5.69838396626641e-05,3.6e-10,TRUE,0.562,-0.281,0.281
"CKB","P12277",7.94588775573e-05,1.26e-08,TRUE,0.74,-0.37,0.37
"COTL1","Q14019",0.00061893604783555,0.00401,TRUE,0.329,-0.164,0.164
"CPNE3","O75131",0.00162828547173569,0.0523,TRUE,0.4,-0.2,0.2
"CRK","P46108-2",0.000265679496026809,9.36e-05,TRUE,0.542,-0.271,0.271
"CTSC","P53634",0.000112546875091045,3.1e-07,TRUE,-0.485,0.243,-0.243
"DCAF7","P61962",1.54817949413542e-05,8.63e-14,TRUE,0.816,-0.408,0.408
"DCTN6","O00399",0.00134911169396869,0.0348,TRUE,-0.771,0.385,-0.385
"DUSP3","B5BUI8",0.000311100565092509,0.000213,TRUE,0.416,-0.208,0.208
"EDARADD","L0R849",0.000278474557566377,0.00012,TRUE,0.489,-0.244,0.244
"EIF4A1","J3KSZ0",0.00204867196223182,0.078,TRUE,-0.323,0.162,-0.162
"ENO1","P06733",0.000829447264606236,0.00999,TRUE,0.325,-0.162,0.162
"ERCC4","Q92889",0.000511450533571729,0.002,TRUE,0.335,-0.168,0.168
"EVL","Q9UI08-2",1.73284362253464e-05,8.63e-14,TRUE,1.06,-0.529,0.529
"F2","P00734",0.00109905599207783,0.0207,TRUE,0.367,-0.184,0.184
"FAM65B","Q9Y4F9",0.00163028790454883,0.0524,TRUE,0.358,-0.179,0.179
"FCRLA","Q7L513-10",0.000685645199070915,0.00562,TRUE,-0.369,0.185,-0.185
"FKBP1A","P62942",0.0016932481689005,0.0564,TRUE,0.419,-0.21,0.21
"FNBP4","Q8N3X1-2",0.000383688179664246,0.000575,TRUE,0.412,-0.206,0.206
"FTL","P02792",0.0011003692206091,0.0207,TRUE,0.612,-0.306,0.306
"GATM","P50440-2",0.000246455354942646,6.17e-05,TRUE,0.638,-0.319,0.319
"GSN","P06396-2",0.000146165498682986,2.21e-06,TRUE,0.971,-0.485,0.485
"HBA2","G3V1N2",0.000153787457084887,3.11e-06,TRUE,1.14,-0.569,0.569
"HBA2.1","A0A0K2BMD8",3.99308267432315e-05,4.46e-12,TRUE,1.23,-0.615,0.615
"HBA2.2","U6A3P2",0.000212587093900597,2.6e-05,TRUE,0.678,-0.339,0.339
"HIST1H1E","P10412",0.00192559932473474,0.0703,TRUE,-1.07,0.536,-0.536
"HLTF","Q14527",0.000826047078442828,0.00988,TRUE,0.372,-0.186,0.186
"HSF1","Q00613",3.50992780077001e-05,8.09e-13,TRUE,0.67,-0.335,0.335
"HSPB1","P04792",0.00174941182940846,0.0598,TRUE,0.82,-0.41,0.41
"ICAM1","P05362",0.00131809166540084,0.0329,TRUE,0.434,-0.217,0.217
"IL4I1","Q96RQ9-2",0.000725611587026089,0.00675,TRUE,0.472,-0.236,0.236
