ensembl,external_gene_name,entrezgene_id
ENSG00000000419,DPM1,8813
ENSG00000000457,SCYL3,57147
ENSG00000000460,C1orf112,55732
ENSG00000000938,FGR,2268
ENSG00000001036,FUCA2,2519
ENSG00000001084,GCLC,2729
ENSG00000001167,NFYA,4800
ENSG00000001461,NIPAL3,57185
ENSG00000001497,LAS1L,81887
ENSG00000001561,ENPP4,22875
ENSG00000001629,ANKIB1,54467
ENSG00000001630,CYP51A1,1595
ENSG00000001631,KRIT1,889
ENSG00000002330,BAD,572
ENSG00000002549,LAP3,51056
ENSG00000002822,MAD1L1,8379
ENSG00000002834,LASP1,3927
ENSG00000002919,SNX11,29916
ENSG00000003056,M6PR,4074
ENSG00000003393,ALS2,57679
ENSG00000003402,CFLAR,8837
ENSG00000003509,NDUFAF7,55471
ENSG00000003756,RBM5,10181
ENSG00000004059,ARF5,381
ENSG00000004139,SARM1,23098
ENSG00000004142,POLDIP2,26073
ENSG00000004455,AK2,204
ENSG00000004468,CD38,952
ENSG00000004478,FKBP4,2288
ENSG00000004487,KDM1A,23028
ENSG00000004534,RBM6,10180
ENSG00000004700,RECQL,5965
ENSG00000004766,VPS50,55610
ENSG00000004777,ARHGAP33,115703
ENSG00000004779,NDUFAB1,4706
ENSG00000004864,SLC25A13,10165
ENSG00000004866,ST7,7982
ENSG00000004897,CDC27,996
ENSG00000004961,HCCS,3052
ENSG00000004975,DVL2,1856
ENSG00000005007,UPF1,5976
ENSG00000005020,SKAP2,8935
ENSG00000005022,SLC25A5,292
ENSG00000005059,MCUB,55013
ENSG00000005075,POLR2J,5439
ENSG00000005100,DHX33,56919
ENSG00000005156,LIG3,3980
ENSG00000005175,RPAP3,79657
ENSG00000005189,REXO5,81691
ENSG00000005194,CIAPIN1,57019
ENSG00000005206,SPPL2B,56928
ENSG00000005249,PRKAR2B,5577
ENSG00000005302,MSL3,10943
ENSG00000005339,CREBBP,1387
ENSG00000005436,GCFC2,6936
ENSG00000005448,WDR54,84058
ENSG00000005483,KMT2E,55904
ENSG00000005486,RHBDD2,57414
ENSG00000005700,IBTK,25998
ENSG00000005801,ZNF195,7748
ENSG00000005812,FBXL3,26224
ENSG00000005844,ITGAL,3683
ENSG00000005882,PDK2,5164
ENSG00000005884,ITGA3,3675
ENSG00000005889,ZFX,7543
ENSG00000005893,LAMP2,3920
ENSG00000006007,GDE1,51573
ENSG00000006015,REX1BD,55049
ENSG00000006025,AC003665.1,114881
ENSG00000006062,MAP3K14,9020
ENSG00000006125,AP2B1,163
ENSG00000006194,ZNF263,10127
ENSG00000006282,SPATA20,64847
ENSG00000006451,RALA,5898
ENSG00000006530,AGK,55750
ENSG00000006576,PHTF2,57157
ENSG00000006607,FARP2,9855
ENSG00000006625,GGCT,79017
