Gene name (Gene ID)	Length	cDNA #	cDNA %	reads #	reads %
intergenic (.)	4488330785	4885	21.67065921391181	82823	15.16246610903326
SCYL3 (ENSG00000000457.13)	44637	1	0.0044361636057137785	1	0.000183070718387806
NFYA (ENSG00000001167.14)	27032	2	0.008872327211427557	89	0.016293293936514738
NIPAL3 (ENSG00000001461.16)	57183	3	0.013308490817141336	77	0.014096445315861062
ANKIB1 (ENSG00000001629.9)	155151	2	0.008872327211427557	55	0.010068889511329329
CYP51A1 (ENSG00000001630.15)	3731	1	0.0044361636057137785	3	0.000549212155163418
MAD1L1 (ENSG00000002822.15)	417377	3	0.013308490817141336	92	0.016842506091678155
LASP1 (ENSG00000002834.17)	51848	4	0.017744654422855114	140	0.02562990057429284
M6PR (ENSG00000003056.7)	9593	1	0.0044361636057137785	7	0.0012814950287146425
KLHL13 (ENSG00000003096.14)	219426	1	0.0044361636057137785	1	0.000183070718387806
CFLAR (ENSG00000003402.19)	60521	1	0.0044361636057137785	1	0.000183070718387806
NDUFAF7 (ENSG00000003509.15)	21773	1	0.0044361636057137785	20	0.003661414367756121
ARF5 (ENSG00000004059.10)	3361	2	0.008872327211427557	174	0.03185430499947825
PLXND1 (ENSG00000004399.12)	51644	2	0.008872327211427557	48	0.008787394482614688
AK2 (ENSG00000004455.16)	72712	3	0.013308490817141336	66	0.012082667413595198
CD38 (ENSG00000004468.12)	74956	21	0.09315943571998936	287	0.05254129617730033
FKBP4 (ENSG00000004478.7)	10471	2	0.008872327211427557	70	0.01281495028714642
KDM1A (ENSG00000004487.15)	64174	2	0.008872327211427557	3	0.000549212155163418
RBM6 (ENSG00000004534.14)	158739	8	0.03548930884571023	13	0.0023799193390414784
VPS50 (ENSG00000004766.15)	128782	1	0.0044361636057137785	1	0.000183070718387806
NDUFAB1 (ENSG00000004779.9)	15355	1	0.0044361636057137785	10	0.0018307071838780606
SLC25A13 (ENSG00000004864.13)	201833	3	0.013308490817141336	3	0.000549212155163418
ST7 (ENSG00000004866.20)	274611	1	0.0044361636057137785	1	0.000183070718387806
CDC27 (ENSG00000004897.11)	70516	2	0.008872327211427557	36	0.006590545861961017
UPF1 (ENSG00000005007.12)	36299	2	0.008872327211427557	99	0.0181240011203928
SKAP2 (ENSG00000005020.12)	327578	1	0.0044361636057137785	1	0.000183070718387806
DHX33 (ENSG00000005100.12)	28096	3	0.013308490817141336	12	0.002196848620653672
THSD7A (ENSG00000005108.15)	460864	1	0.0044361636057137785	3	0.000549212155163418
LIG3 (ENSG00000005156.11)	29250	2	0.008872327211427557	18	0.0032952729309805085
RPAP3 (ENSG00000005175.9)	44296	1	0.0044361636057137785	2	0.00036614143677561205
ACSM3 (ENSG00000005187.11)	185903	1	0.0044361636057137785	1	0.000183070718387806
PRKAR2B (ENSG00000005249.12)	117163	10	0.04436163605713778	161	0.02947438566043677
CREBBP (ENSG00000005339.14)	155673	7	0.03105314523999645	50	0.0091535359193903
ABCB4 (ENSG00000005471.15)	78739	2	0.008872327211427557	22	0.004027555804531732
KMT2E (ENSG00000005483.20)	100183	5	0.02218081802856889	49	0.008970465201002495
IBTK (ENSG00000005700.14)	77669	2	0.008872327211427557	21	0.0038444850861439274
MYCBP2 (ENSG00000005810.17)	281968	11	0.04879779966285157	202	0.03698028511433681
ZFX (ENSG00000005889.15)	67083	1	0.0044361636057137785	58	0.01061810166649275
LAMP2 (ENSG00000005893.15)	41539	2	0.008872327211427557	71	0.012998021005534228
MAP3K14 (ENSG00000006062.14)	53920	4	0.017744654422855114	81	0.014828728189412287
AP2B1 (ENSG00000006125.17)	138685	3	0.013308490817141336	55	0.010068889511329329
RALA (ENSG00000006451.7)	84642	1	0.0044361636057137785	1	0.000183070718387806
PHTF2 (ENSG00000006576.16)	158599	1	0.0044361636057137785	43	0.007872040890675659
FARP2 (ENSG00000006607.13)	137843	2	0.008872327211427557	2	0.00036614143677561205
DBF4 (ENSG00000006634.7)	33326	2	0.008872327211427557	44	0.008055111609063465
COX10 (ENSG00000006695.10)	139002	2	0.008872327211427557	35	0.00640747514357321
GTF2IRD1 (ENSG00000006704.10)	148815	1	0.0044361636057137785	35	0.00640747514357321
VPS41 (ENSG00000006715.15)	209432	1	0.0044361636057137785	1	0.000183070718387806
ARHGAP44 (ENSG00000006740.16)	202105	1	0.0044361636057137785	11	0.002013777902265866
ELAC2 (ENSG00000006744.18)	25797	2	0.008872327211427557	14	0.002562990057429285
PNPLA4 (ENSG00000006757.11)	29493	1	0.0044361636057137785	3	0.000549212155163418
ADIPOR2 (ENSG00000006831.9)	100105	4	0.017744654422855114	58	0.01061810166649275
MARK4 (ENSG00000007047.14)	212666	3	0.013308490817141336	125	0.022883839798475757
CCDC124 (ENSG00000007080.10)	10976	1	0.0044361636057137785	53	0.009702748074553718
PAFAH1B1 (ENSG00000007168.12)	89178	4	0.017744654422855114	86	0.015744081781351317
DNAH9 (ENSG00000007174.17)	371318	1	0.0044361636057137785	1	0.000183070718387806
KIAA0100 (ENSG00000007202.14)	31015	6	0.026616981634282676	416	0.07615741884932731
MATK (ENSG00000007264.14)	24160	1	0.0044361636057137785	5	0.0009153535919390303
CD79B (ENSG00000007312.12)	3615	3	0.013308490817141336	28	0.0051259801148585684
CRAMP1 (ENSG00000007545.15)	65522	2	0.008872327211427557	44	0.008055111609063465
E2F2 (ENSG00000007968.6)	24791	3	0.013308490817141336	39	0.007139758017124434
JARID2 (ENSG00000008083.13)	275638	6	0.026616981634282676	8	0.0014645657471024482
CDKL5 (ENSG00000008086.11)	227005	2	0.008872327211427557	3	0.000549212155163418
NADK (ENSG00000008130.15)	29226	2	0.008872327211427557	2	0.00036614143677561205
CYTH3 (ENSG00000008256.15)	110766	5	0.02218081802856889	58	0.01061810166649275
ADAM22 (ENSG00000008277.14)	268747	1	0.0044361636057137785	1	0.000183070718387806
SYPL1 (ENSG00000008282.8)	22074	3	0.013308490817141336	69	0.012631879568758615
SPAG9 (ENSG00000008294.20)	158692	1	0.0044361636057137785	1	0.000183070718387806
CELSR3 (ENSG00000008300.16)	26425	2	0.008872327211427557	21	0.0038444850861439274
PKD1 (ENSG00000008710.19)	46427	3	0.013308490817141336	40	0.0073228287355122405
HEATR5B (ENSG00000008869.11)	115960	4	0.017744654422855114	32	0.005858262988409793
SEC62 (ENSG00000008952.16)	31739	5	0.02218081802856889	193	0.03533264864884656
RPS20 (ENSG00000008988.9)	7287	2	0.008872327211427557	2	0.00036614143677561205
CSDE1 (ENSG00000009307.15)	41764	8	0.03548930884571023	102	0.01867321327555621
UBE3C (ENSG00000009335.17)	129995	1	0.0044361636057137785	1	0.000183070718387806
REV3L (ENSG00000009413.15)	184306	3	0.013308490817141336	23	0.004210626522919539
PAX7 (ENSG00000009709.11)	117861	1	0.0044361636057137785	1	0.000183070718387806
FAM76A (ENSG00000009780.15)	36119	1	0.0044361636057137785	1	0.000183070718387806
TRAF3IP3 (ENSG00000009790.14)	26289	1	0.0044361636057137785	20	0.003661414367756121
VTA1 (ENSG00000009844.15)	77528	1	0.0044361636057137785	31	0.005675192270021986
BAZ1B (ENSG00000009954.10)	81881	5	0.02218081802856889	138	0.02526375913751723
RANBP9 (ENSG00000010017.12)	90067	2	0.008872327211427557	14	0.002562990057429285
SPRTN (ENSG00000010072.15)	17920	2	0.008872327211427557	56	0.01025196022971714
METTL13 (ENSG00000010165.19)	31937	1	0.0044361636057137785	1	0.000183070718387806
ZNF207 (ENSG00000010244.18)	22277	1	0.0044361636057137785	1	0.000183070718387806
UQCRC1 (ENSG00000010256.10)	11975	4	0.017744654422855114	17	0.0031122022125927022
NCAPD2 (ENSG00000010292.12)	38270	2	0.008872327211427557	77	0.014096445315861062
GIPR (ENSG00000010310.8)	15384	1	0.0044361636057137785	21	0.0038444850861439274
PHF7 (ENSG00000010318.20)	12985	2	0.008872327211427557	46	0.008421253045839077
FUZ (ENSG00000010361.13)	10508	1	0.0044361636057137785	19	0.003478343649368315
IDS (ENSG00000010404.17)	8069	1	0.0044361636057137785	67	0.012265738131983004
BTK (ENSG00000010671.15)	41350	5	0.02218081802856889	152	0.02782674919494652
SCMH1 (ENSG00000010803.16)	214955	8	0.03548930884571023	181	0.033135800028192886
FYN (ENSG00000010810.17)	213121	2	0.008872327211427557	8	0.0014645657471024482
HIVEP2 (ENSG00000010818.9)	205232	6	0.026616981634282676	32	0.005858262988409793
ELOA (ENSG00000011007.12)	18905	1	0.0044361636057137785	39	0.007139758017124434
CLCN6 (ENSG00000011021.21)	37049	4	0.017744654422855114	44	0.008055111609063465
TSPAN9 (ENSG00000011105.12)	205961	1	0.0044361636057137785	19	0.003478343649368315
BTBD7 (ENSG00000011114.14)	95543	1	0.0044361636057137785	71	0.012998021005534228
MBTD1 (ENSG00000011258.15)	77356	1	0.0044361636057137785	1	0.000183070718387806
UTP18 (ENSG00000011260.13)	37409	1	0.0044361636057137785	48	0.008787394482614688
TTC19 (ENSG00000011295.15)	44834	1	0.0044361636057137785	1	0.000183070718387806
PTBP1 (ENSG00000011304.19)	15253	3	0.013308490817141336	65	0.011899596695207392
LARS2 (ENSG00000011376.9)	160916	1	0.0044361636057137785	1	0.000183070718387806
WIZ (ENSG00000011451.17)	29972	1	0.0044361636057137785	26	0.004759838678082957
RABGAP1 (ENSG00000011454.16)	164003	5	0.02218081802856889	23	0.004210626522919539
CEP68 (ENSG00000011523.13)	30639	1	0.0044361636057137785	1	0.000183070718387806
MAP4K3 (ENSG00000011566.14)	187435	2	0.008872327211427557	18	0.0032952729309805085
BRCA1 (ENSG00000012048.20)	118339	2	0.008872327211427557	13	0.0023799193390414784
ERCC1 (ENSG00000012061.15)	71496	6	0.026616981634282676	35	0.00640747514357321
CD22 (ENSG00000012124.16)	27586	4	0.017744654422855114	62	0.011350384540043971
EXTL3 (ENSG00000012232.8)	155131	1	0.0044361636057137785	45	0.008238182327451271
ELOVL5 (ENSG00000012660.13)	81378	4	0.017744654422855114	23	0.004210626522919539
ALOX5 (ENSG00000012779.10)	71944	3	0.013308490817141336	60	0.010984243103268362
UBR7 (ENSG00000012963.14)	11235	2	0.008872327211427557	189	0.034600365775295336
MAP4K5 (ENSG00000012983.11)	142524	8	0.03548930884571023	141	0.02581297129268065
NUB1 (ENSG00000013374.15)	36751	1	0.0044361636057137785	13	0.0023799193390414784
PGM3 (ENSG00000013375.15)	32787	1	0.0044361636057137785	1	0.000183070718387806
CLK1 (ENSG00000013441.15)	11640	1	0.0044361636057137785	1	0.000183070718387806
POLR3B (ENSG00000013503.9)	152541	1	0.0044361636057137785	1	0.000183070718387806
ANGEL1 (ENSG00000013523.9)	40069	4	0.017744654422855114	27	0.004942909396470763
DDX11 (ENSG00000013573.16)	30947	3	0.013308490817141336	360	0.06590545861961017
TACC3 (ENSG00000013810.18)	23687	3	0.013308490817141336	62	0.011350384540043971
ZC3H3 (ENSG00000014164.6)	103799	5	0.02218081802856889	117	0.02141927405137331
CAPN1 (ENSG00000014216.15)	31441	1	0.0044361636057137785	14	0.002562990057429285
MDH1 (ENSG00000014641.17)	18589	3	0.013308490817141336	4	0.0007322828735512241
SLC30A9 (ENSG00000014824.13)	99071	1	0.0044361636057137785	45	0.008238182327451271
COX15 (ENSG00000014919.12)	20257	2	0.008872327211427557	2	0.00036614143677561205
CCDC88C (ENSG00000015133.18)	146522	14	0.0621062904799929	112	0.02050392045943428
YAF2 (ENSG00000015153.14)	81246	2	0.008872327211427557	58	0.01061810166649275
BID (ENSG00000015475.18)	40553	1	0.0044361636057137785	87	0.015927152499739125
MATR3 (ENSG00000015479.18)	6949	1	0.0044361636057137785	1	0.000183070718387806
XYLT2 (ENSG00000015532.9)	17047	1	0.0044361636057137785	24	0.004393697241307344
RGPD5 (ENSG00000015568.12)	64938	1	0.0044361636057137785	1	0.000183070718387806
NUDCD3 (ENSG00000015676.17)	111760	2	0.008872327211427557	3	0.000549212155163418
ATP2C1 (ENSG00000017260.19)	166118	2	0.008872327211427557	21	0.0038444850861439274
RALBP1 (ENSG00000017797.12)	59623	2	0.008872327211427557	2	0.00036614143677561205
RUFY3 (ENSG00000018189.12)	103112	4	0.017744654422855114	46	0.008421253045839077
AGPS (ENSG00000018510.13)	166656	3	0.013308490817141336	3	0.000549212155163418
TTC27 (ENSG00000018699.11)	192943	1	0.0044361636057137785	1	0.000183070718387806
PRDM11 (ENSG00000019485.13)	139305	1	0.0044361636057137785	12	0.002196848620653672
CD74 (ENSG00000019582.14)	11293	20	0.08872327211427558	535	0.09794283433747623
MNAT1 (ENSG00000020426.10)	234594	2	0.008872327211427557	21	0.0038444850861439274
RUNX3 (ENSG00000020633.18)	65539	1	0.0044361636057137785	9	0.0016476364654902545
RTFDC1 (ENSG00000022277.12)	50865	2	0.008872327211427557	8	0.0014645657471024482
ZDHHC6 (ENSG00000023041.11)	22490	1	0.0044361636057137785	1	0.000183070718387806
