Gene name (Gene ID)	Length	cDNA #	cDNA %	reads #	reads %
intergenic (.)	4488330785	179365	16.124044526868314	3236703	13.707374443730005
DPM1 (ENSG00000000419.12)	23689	42	0.0037755965217766523	804	0.00340492441004285
SCYL3 (ENSG00000000457.13)	44637	32	0.002876644968972687	689	0.0029179016399496567
C1orf112 (ENSG00000000460.16)	192074	29	0.0026069595031314977	553	0.002341944277056836
FGR (ENSG00000000938.12)	23214	48	0.004314967453459031	1832	0.007758484476615052
FUCA2 (ENSG00000001036.13)	16880	1	8.989515528039647e-05	1	4.2349806095060314e-06
GCLC (ENSG00000001084.10)	116366	93	0.00836024944107687	2701	0.011438682626275794
NFYA (ENSG00000001167.14)	27032	75	0.006742136646029736	1538	0.006513400177420278
STPG1 (ENSG00000001460.17)	59936	13	0.001168637018645154	241	0.0010206303268909538
NIPAL3 (ENSG00000001461.16)	57183	61	0.005483604472104184	1234	0.005225966072130443
LAS1L (ENSG00000001497.16)	22194	44	0.0039553868323374455	858	0.003633613362956176
ENPP4 (ENSG00000001561.6)	16707	18	0.0016181127950471365	290	0.0012281443767567495
SEMA3F (ENSG00000001617.11)	33937	9	0.0008090563975235683	99	0.00041926308034109723
CFTR (ENSG00000001626.14)	249995	4	0.0003595806211215859	7	2.9644864266542223e-05
ANKIB1 (ENSG00000001629.9)	155151	97	0.008719830062198458	2179	0.009228022748113645
CYP51A1 (ENSG00000001630.15)	3731	43	0.0038654916770570476	881	0.0037310179169748148
KRIT1 (ENSG00000001631.15)	45862	85	0.0076410881988337	2146	0.009088268387999943
RAD52 (ENSG00000002016.17)	75003	14	0.0012585321739255508	329	0.0013933086205274849
MYH16 (ENSG00000002079.14)	72302	1	8.989515528039647e-05	21	8.893459279962667e-05
BAD (ENSG00000002330.13)	14875	13	0.001168637018645154	196	0.0008300561994631822
LAP3 (ENSG00000002549.12)	30781	26	0.0023372740372903087	539	0.0022826545485237514
CD99 (ENSG00000002586.18)	50131	1	8.989515528039647e-05	1	4.2349806095060314e-06
CD99 (ENSG00000002586.18_PAR_Y)	50131	1	8.989515528039647e-05	126	0.0005336075567977602
HS3ST1 (ENSG00000002587.9)	36506	1	8.989515528039647e-05	1	4.2349806095060314e-06
WNT16 (ENSG00000002745.12)	15738	1	8.989515528039647e-05	1	4.2349806095060314e-06
HECW1 (ENSG00000002746.14)	450978	7	0.0006292660869627754	65	0.0002752737396178921
MAD1L1 (ENSG00000002822.15)	417377	174	0.015641757018788987	3460	0.014653032908890869
LASP1 (ENSG00000002834.17)	51848	184	0.01654070857159295	4281	0.018129951989295325
SNX11 (ENSG00000002919.14)	19718	21	0.0018877982608883261	360	0.0015245930194221714
M6PR (ENSG00000003056.7)	9593	71	0.00638255602490815	1695	0.007178292133112725
KLHL13 (ENSG00000003096.14)	219426	36	0.003236225590094273	664	0.002812027124712005
CYP26B1 (ENSG00000003137.8)	18801	2	0.00017979031056079294	2	8.469961219012065e-06
ICA1 (ENSG00000003147.17)	149504	4	0.0003595806211215859	4	1.693992243802413e-05
ALS2 (ENSG00000003393.14)	80636	28	0.002517064347851101	424	0.0017956317784305574
CASP10 (ENSG00000003400.14)	46526	2	0.00017979031056079294	9	3.811482548555429e-05
CFLAR (ENSG00000003402.19)	60521	36	0.003236225590094273	542	0.002295359490352269
TFPI (ENSG00000003436.15)	101531	1	8.989515528039647e-05	1	4.2349806095060314e-06
NDUFAF7 (ENSG00000003509.15)	21773	25	0.002247378882009912	674	0.0028543769308070656
RBM5 (ENSG00000003756.16)	20276	52	0.0046745480745806174	929	0.003934296986231104
MTMR7 (ENSG00000003987.13)	115499	4	0.0003595806211215859	42	0.00017786918559925337
SLC7A2 (ENSG00000003989.17)	71783	7	0.0006292660869627754	99	0.00041926308034109723
ARF5 (ENSG00000004059.10)	3361	81	0.0072815075777121156	1503	0.006365175856087567
SARM1 (ENSG00000004139.13)	39387	13	0.001168637018645154	348	0.0014737732521080992
POLDIP2 (ENSG00000004142.11)	10346	131	0.01177626534173194	3045	0.012895515955945869
PLXND1 (ENSG00000004399.12)	51644	30	0.0026968546584118947	555	0.002350414238275848
AK2 (ENSG00000004455.16)	72712	82	0.007371402732992511	1679	0.00711053244336063
CD38 (ENSG00000004468.12)	74956	899	0.08081574459707644	22129	0.093715885907759
FKBP4 (ENSG00000004478.7)	10471	108	0.00970867677028282	2366	0.010019964122091272
KDM1A (ENSG00000004487.15)	64174	97	0.008719830062198458	2006	0.008495371102669102
RBM6 (ENSG00000004534.14)	158739	219	0.01968703900640683	4894	0.020725995102922518
CAMKK1 (ENSG00000004660.14)	34577	1	8.989515528039647e-05	1	4.2349806095060314e-06
RECQL (ENSG00000004700.15)	32759	37	0.0033261207453746697	849	0.0035954985374706218
VPS50 (ENSG00000004766.15)	128782	33	0.002966540124253084	594	0.002515578482046583
HSPB6 (ENSG00000004776.12)	3511	3	0.00026968546584118944	41	0.0001736342049897473
ARHGAP33 (ENSG00000004777.18)	14291	14	0.0012585321739255508	450	0.0019057412742777145
NDUFAB1 (ENSG00000004779.9)	15355	59	0.005303814161543392	971	0.004112166171830358
ZMYND10 (ENSG00000004838.13)	5743	2	0.00017979031056079294	10	4.234980609506032e-05
ABCB5 (ENSG00000004846.16)	161832	1	8.989515528039647e-05	1	4.2349806095060314e-06
SLC25A13 (ENSG00000004864.13)	201833	52	0.0046745480745806174	1594	0.006750559091552616
ST7 (ENSG00000004866.20)	274611	74	0.006652241490749339	1929	0.008169277595737136
CDC27 (ENSG00000004897.11)	70516	94	0.008450144596357269	2465	0.01043922720243237
CALCR (ENSG00000004948.13)	150064	1	8.989515528039647e-05	27	0.00011434447645666289
HCCS (ENSG00000004961.14)	11778	15	0.0013484273292059474	351	0.0014864781939366173
DVL2 (ENSG00000004975.11)	9205	52	0.0046745480745806174	1165	0.004933752410074528
UPF1 (ENSG00000005007.12)	36299	108	0.00970867677028282	2196	0.009300017418475248
SKAP2 (ENSG00000005020.12)	327578	64	0.005753289937945374	1430	0.0060560222715936255
SLC25A5 (ENSG00000005022.5)	2920	147	0.01321458782621828	3841	0.01626656052111267
MCUB (ENSG00000005059.15)	128240	128	0.011506579875890748	2476	0.010485811989136937
HOXA11 (ENSG00000005073.5)	3714	2	0.00017979031056079294	2	8.469961219012065e-06
