Gene name (Gene ID)	Length	cDNA #	cDNA %	reads #	reads %
intergenic (.)	4488330785	145557	21.868145406032344	5734079	11.458509018725511
TNMD (ENSG00000000005.5)	15084	1	0.00015023767600343742	2	3.996634514008444e-06
DPM1 (ENSG00000000419.12)	23689	21	0.0031549911960721865	1046	0.002090239850826416
SCYL3 (ENSG00000000457.13)	44637	10	0.0015023767600343743	680	0.0013588557347628712
C1orf112 (ENSG00000000460.16)	192074	25	0.003755941900085936	1352	0.0027017249314697078
FGR (ENSG00000000938.12)	23214	14	0.002103327464048124	944	0.0018864114906119852
CFH (ENSG00000000971.15)	95627	2	0.00030047535200687485	2	3.996634514008444e-06
FUCA2 (ENSG00000001036.13)	16880	8	0.0012019014080274994	353	0.0007054059917224904
GCLC (ENSG00000001084.10)	116366	36	0.005408556336123748	1917	0.003830774181677093
NFYA (ENSG00000001167.14)	27032	9	0.001352139084030937	667	0.0013328776104218158
STPG1 (ENSG00000001460.17)	59936	4	0.0006009507040137497	253	0.0005055742660220682
NIPAL3 (ENSG00000001461.16)	57183	49	0.0073616461241684346	6282	0.012553429008500521
LAS1L (ENSG00000001497.16)	22194	22	0.0033052288720756234	1277	0.002551851137194391
ENPP4 (ENSG00000001561.6)	16707	20	0.0030047535200687487	680	0.0013588557347628712
SEMA3F (ENSG00000001617.11)	33937	1	0.00015023767600343742	2	3.996634514008444e-06
CFTR (ENSG00000001626.14)	249995	3	0.0004507130280103123	4	7.993269028016887e-06
ANKIB1 (ENSG00000001629.9)	155151	24	0.0036057042240824986	1034	0.002066260043742365
CYP51A1 (ENSG00000001630.15)	3731	49	0.0073616461241684346	3134	0.006262726283451232
KRIT1 (ENSG00000001631.15)	45862	20	0.0030047535200687487	1199	0.0023959823911480624
RAD52 (ENSG00000002016.17)	75003	2	0.00030047535200687485	58	0.00011590240090624488
MYH16 (ENSG00000002079.14)	72302	1	0.00015023767600343742	1	1.998317257004222e-06
BAD (ENSG00000002330.13)	14875	23	0.003455466548079061	1658	0.0033132100121130003
LAP3 (ENSG00000002549.12)	30781	22	0.0033052288720756234	1059	0.002116217975167471
CD99 (ENSG00000002586.18_PAR_Y)	50131	4	0.0006009507040137497	4	7.993269028016887e-06
HECW1 (ENSG00000002746.14)	450978	9	0.001352139084030937	9	1.7984855313037998e-05
MAD1L1 (ENSG00000002822.15)	417377	58	0.008713785208199371	2388	0.004771981609726082
LASP1 (ENSG00000002834.17)	51848	71	0.010666874996244058	2977	0.005948990474101568
SNX11 (ENSG00000002919.14)	19718	28	0.004206654928096248	1222	0.002441943688059159
M6PR (ENSG00000003056.7)	9593	51	0.007662121476175309	2559	0.005113693860673804
KLHL13 (ENSG00000003096.14)	219426	2	0.00030047535200687485	2	3.996634514008444e-06
