ProteinID,tSNE_x_dim,tSNE_y_dim,Organelle_annotation,Detailed_manual_annotation
A0AV96-2;A0AV96,-27.1754922,6.005220647,Nucleus,
A0AVT1;A0AVT1-2,1.696214901,-50.6033469,,
A0FGR8-2;A0FGR8;A0FGR8-4,49.57337993,-23.13100992,ER,
A0MZ66;A0MZ66-3;A0MZ66-6;A0MZ66-4;A0MZ66-5;A0MZ66-8;A0MZ66-2,18.82608763,36.74836284,Cytoplasm,
A1A4S6,50.61440837,-28.02511909,Cytoplasm,
A1L0T0,19.90469791,-4.527542737,,
A2RRP1;A2RRP1-2,42.02774517,-14.93496259,ER,
A2RUS2;A2RUS2-2,53.28981626,-26.26735867,,
A3KMH1-3;A3KMH1,-47.17561291,-15.36611301,Secreted,
A3KN83-3;A3KN83-2;A3KN83,26.88918551,48.25788565,,
A4D1E9;A4D1E9-2,-14.84461669,-21.58216803,Nucleolus,
A4D1P6;A4D1P6-2;A4D1P6-3,16.74537047,12.84822196,,
A5YKK6;A5YKK6-2;A5YKK6-3;A5YKK6-4,-5.565141952,35.24915963,,
A6NC98;A6NC98-4;A6NC98-2,9.329138803,11.98161165,ER,
A6NDG6,-29.68205745,6.461812977,,
A6NDU8,35.92952264,22.95878814,,
A6NFQ2;A6NFQ2-3,0.914543246,-30.53348532,,
A6NHL2-2;A6NHL2,-17.25619355,-6.890488185,Cytoplasm,
A6NHQ2,-36.2458116,17.53101704,Nucleolus,nucleolar rRNA processing
A6NHR9;A6NHR9-2,-51.58645843,41.27063178,,
A6NIH7,-22.93126815,-12.87338427,,
A6NJ78,-15.20594757,29.2989447,,
A6NKT7,35.21980383,-13.80584765,,
A6ZKI3,-12.64262041,-11.25658034,,
A8CG34;A8CG34-2,-6.010230233,16.01846782,,
A8MXV4,9.199717644,-42.8289351,,
A9UHW6;A9UHW6-2;A9UHW6-3,41.87183761,-41.6057766,,
B0I1T2;B0I1T2-4,52.28160681,-29.20079648,,
B7ZAQ6-3;B7ZAQ6-2;P0CG08;B7ZAQ6;A6NKF9,-14.00347801,-43.78828481,,
C4AMC7;Q6VEQ5,50.96638841,-14.08823216,Cytoplasm,Actin regulation
C9JLW8,-20.1151197,-17.2151962,,
E9PAV3;Q13765;E9PAV3-2,-43.02482646,-8.341357788,,
E9PRG8,9.038284832,21.86782675,,
O00115-2;O00115,-20.46086008,13.33444181,,
O00116,21.29683808,14.45574823,,
O00139;O00139-4;O00139-1;O00139-5,38.85799926,28.74003109,Cytoplasm,
O00148;O00148-2;O00148-3,-33.82157402,29.9428717,,
O00151,63.12502444,3.9644851,Cytoplasm,
O00154-4;O00154-2;O00154-3,-32.14808438,11.07756131,Mitochondrion,
O00159,30.10151852,5.295514507,,
O00161;O00161-2,52.54740436,-35.48239633,,
O00165;O00165-2;O00165-5;O00165-3,-18.51376031,11.2064312,,
O00170,-24.29095516,-48.76825244,Cytoplasm,
O00178,40.32300654,-18.9596169,Cytoplasm,
O00182-2;O00182,8.73347243,51.04027233,,
O00186,50.84133827,1.309013395,Cytoplasm,
O00193,-35.11271531,31.94811355,,
O00203,45.00809798,-13.48885424,,
O00214-2;O00214,18.15011225,6.107057552,Cytoplasm,
O00217,14.42957364,-52.59498912,Mitochondrion,complex I
O00221,-17.18608632,-39.77219238,Cytoplasm,
O00231;O00231-2,-36.90587445,-21.19857821,,
O00232;O00232-2,-37.21143987,-21.68265674,,
O00233;O00233-2,-15.90848643,-1.854822816,,
O00244,-34.36561944,-22.10258487,,
O00255-2;O00255;O00255-3,-51.78267721,25.37342504,Nucleus,
O00264;O00264-2,20.10523842,-4.551468374,ER,
O00267,-11.83124106,48.08702004,Nucleus,
O00268,-42.32081384,17.02445168,Nucleus,
O00273,-38.77045119,-8.182090001,Cytoplasm,
O00299,34.43450986,0.898542914,,
O00303,-45.72385094,-15.89184147,Cytoplasm,
O00329,51.97943937,-24.50212419,Cytoplasm,
O00330-3;O00330,-1.548884042,-56.29541884,Mitochondrion,
O00391,46.48940215,-2.017692134,Secreted,
O00399,42.28853057,-7.580254327,Cytoplasm,
O00410;O00410-3,-38.45344283,-2.436832611,,
O00411,-5.667917377,-37.33840038,Mitochondrion,
O00422,-45.3963339,11.87424179,,EJC
O00425,13.04471281,-21.07200422,,
O00429-3,61.22794665,-6.558547178,Mitochondrion,
O00442;O00442-2,16.98435528,-38.32550193,Nucleus,
O00443,-6.328646925,23.68448514,,
O00459,0.290538378,24.00253267,,
O00461,-2.280714546,-9.801670835,,
O00468-6;O00468-7,0.685148797,-41.7061203,Secreted,
O00469-2;O00469,15.29797269,10.02616738,ER,
O00471,8.515427059,-37.06525113,Cytoplasm,
O00479,-16.33700427,27.58329015,Nucleus,
O00483,32.16831564,-32.68302841,Mitochondrion,
O00487,-36.8971812,-22.00611082,,
O00499-9;O00499-7;O00499-4;O00499-6;O00499-2;O00499-10;O00499-8;O00499-11,18.11607452,53.22714295,,
O00505,-0.501328483,13.61917472,,
O00515,-1.848868421,-30.08691948,Secreted,
O00541;O00541-2,-28.22273968,54.29929158,Nucleolus,
O00560;O00560-3,29.36640582,22.97651248,,
O00566,-31.80704009,38.7758311,Nucleolus,
O00567,-51.79391056,17.43469231,,nucleolar rRNA processing
O00571;O00571-2,-43.55958873,-2.71636945,,
O00584,22.61275352,7.464109796,Secreted,
O00592-2;O00592,12.78986801,-5.618105439,,
O00625,-2.74872007,67.6756369,,
O00629,-41.26207143,-18.76463222,,
O00743;O00743-2;O00743-3,21.08237523,-11.70128242,Cytoplasm,
O00746,6.936790539,4.128834539,Mitochondrion,
O00750,3.575169486,15.2386138,,
O00754;O00754-2,12.34725528,12.58492244,,
O00762;O00762-2;O00762-3,14.71934874,60.70687884,,
O00764;O00764-3;O00764-2,3.056859913,-52.10349119,Cytoplasm,
O00767,2.451473661,56.85050268,ER,
O14497;O14497-2;O14497-3,-42.3694502,31.55420082,Nucleus,
O14519;O14519-2,-19.49225712,39.50039346,,
O14521-2;O14521;O14521-4,8.021465988,-50.06332432,Mitochondrion,complex II
O14530;O14530-2,-43.29139851,42.01668427,,
O14545,3.697177636,54.75536723,,
O14548,22.2278411,-57.9470816,Mitochondrion,complex IV
O14561,-21.7761492,-38.73933285,Mitochondrion,
O14562,-21.33130596,54.72220567,,
O14578-4,-22.70778848,53.07058541,Cytoplasm,
O14579;O14579-3;O14579-2,23.0203163,-11.88094305,Cytoplasm,
O14617-5;O14617;O14617-4;O14617-2;O14617-3,45.12365364,-13.55331341,Cytoplasm,
O14618,37.77896636,-31.50495303,Cytoplasm,
O14639-6,56.12375143,-4.494386959,Cytoplasm,Actin regulation
O14646-2;O14646,-9.357770249,46.47882662,,
O14647;O14647-2,-20.06314526,2.114719632,Nucleus,
O14653;O14653-2;O14653-3,-7.698823475,2.406424529,,
O14656,14.06863685,1.778827285,,
O14657,-10.12074494,-30.32922328,,
O14662,33.06182029,-31.56230313,Cytoplasm,
O14672,51.59499146,-19.78739298,,
O14686;O14686-3,-24.04468895,36.84384397,Nucleus,
O14727-4;O14727;O14727-5;O14727-3;O14727-2,26.94608832,20.10577099,Cytoplasm,
O14734,-12.25027909,-43.39957645,Cytoplasm,
O14735;O14735-3,42.01115501,-37.4253406,ER,
O14737;O14737-2,-37.34764806,-9.383860938,,
O14744;O14744-2;O14744-5;O14744-3;O14744-4,-53.13058895,-22.29948886,,
O14745;O14745-2,32.05119098,42.27722517,Cytoplasm,
O14773;O14773-2,31.55225146,9.122743476,,
O14776-2;O14776,-30.24595286,30.13388021,Nucleus,
O14777,8.395348727,57.33516179,Nucleus,
O14786;O14786-3;O14786-2,24.47043973,6.079158368,Secreted,
O14787-2;O14787,-24.80963005,-34.05682945,,
O14802,-16.11047164,27.38559794,Nucleus,
O14818,-30.74853377,-11.34788091,,
O14828;O14828-2,31.58725272,-31.09211058,,
O14874;O14874-2;O14874-3,19.02673311,-53.34360201,Mitochondrion,
O14879,10.13591447,17.56784447,Mitochondrion,
O14880,14.098391,-25.02641784,ER,
O14893;O14893-3;O14893-2,-20.67869761,37.5511866,,
O14907,2.632615835,-43.11025623,,
O14908,-26.64731478,-7.884853541,Cytoplasm,
O14920;O14920-2;O14920-4,43.01223264,23.53904507,,
O14925,4.683678227,70.07901136,Mitochondrion,
O14929;O14929-2,9.030875562,59.62922683,,
O14933;O14933-2,24.67669251,9.057386632,,
O14936-3;O14936;O14936-4;O14936-6;O14936-2;O14936-5,40.2744996,8.783021077,,
O14949,17.04515462,-53.8585818,Mitochondrion,complex III
O14950,60.85680213,-5.118783635,,Myosins
O14964;O14964-2,-21.729594,-1.727178218,Cytoplasm,
O14966;O14966-2;O14966-3,8.297123924,-43.7144082,Cytoplasm,
O14972;O14972-2,2.079939331,-14.34175832,,
O14974;O14974-3;O14974-5;O14974-2,47.51216017,-18.1404335,Cytoplasm,
O14975;O14975-2,46.67046423,-0.624801775,ER,
O14976;O14976-2,30.24062136,-8.934479124,Cytoplasm,
O14979,-32.42384591,13.11400882,,
O14979-3;O14979-2,-5.224482019,14.88619686,,
O14980,-35.46587478,-16.00332257,,
O14981,0.273948857,34.97257758,Nucleus,
O15020,-20.73772312,-36.53304081,Cytoplasm,
O15027;O15027-5,-18.76529919,44.39807057,ER,
O15031,56.76870152,-8.398178495,,Rho GTPase regulation
O15042-2;O15042;O15042-3,-41.24609659,23.94319048,Nucleus,
O15047,-5.7101505,41.64127501,Nucleus,
O15054-1;O15054,5.044000048,-44.73600809,Nucleus,
O15056;O15056-2;O15056-3,53.90000001,-12.82990998,Cytoplasm,
O15066;O15066-2,-10.29837037,-0.049975274,Cytoplasm,
O15067,-21.84274856,30.85573305,Cytoplasm,
O15084;O15084-4;O15084-1;O15084-2,23.26622578,29.18025788,Nucleus,
O15091;O15091-2;O15091-4,-21.47403168,22.38877249,Mitochondrion,
O15111,32.76280988,31.54068553,,
O15116,21.29023702,3.114459161,Nucleus,
