Gene name (Gene ID)	Length	cDNA #	cDNA %	reads #	reads %
intergenic (.)	4488330785	176820	19.207977796003497	4637123	10.808807912182504
DPM1 (ENSG00000000419.12)	23689	62	0.006735067432146912	3553	0.008281793368859189
SCYL3 (ENSG00000000457.13)	44637	5	0.0005431505993666863	131	0.0003053517960373076
C1orf112 (ENSG00000000460.16)	192074	45	0.004888355394300178	2308	0.0053797858416343965
FGR (ENSG00000000938.12)	23214	8	0.0008690409589866983	254	0.0005920561541486728
CFH (ENSG00000000971.15)	95627	2	0.00021726023974667452	2	4.661859481485612e-06
FUCA2 (ENSG00000001036.13)	16880	7	0.0007604108391133608	372	0.0008671058635563237
GCLC (ENSG00000001084.10)	116366	71	0.007712738511006947	3705	0.008636094689452095
NFYA (ENSG00000001167.14)	27032	65	0.007060957791766923	4881	0.011377268064565635
STPG1 (ENSG00000001460.17)	59936	11	0.00119493131860671	462	0.0010768895402231762
NIPAL3 (ENSG00000001461.16)	57183	47	0.005105615634046852	2252	0.005249253776152799
LAS1L (ENSG00000001497.16)	22194	54	0.005866026473160213	2827	0.006589538377079911
ENPP4 (ENSG00000001561.6)	16707	32	0.003476163835946793	1579	0.00368053806063289
SEMA3F (ENSG00000001617.11)	33937	4	0.00043452047949334914	205	0.00047784059685227517
CFTR (ENSG00000001626.14)	249995	2	0.00021726023974667452	2	4.661859481485612e-06
ANKIB1 (ENSG00000001629.9)	155151	83	0.009016299949486994	4379	0.010207141334712748
CYP51A1 (ENSG00000001630.15)	3731	73	0.00792999875075362	4160	0.009696667721490072
KRIT1 (ENSG00000001631.15)	45862	42	0.004562465034680166	2485	0.0057923604057458725
RAD52 (ENSG00000002016.17)	75003	14	0.001520821678226722	992	0.0023122823028168637
MYH16 (ENSG00000002079.14)	72302	1	0.00010863011987333729	46	0.00010722276807416908
BAD (ENSG00000002330.13)	14875	25	0.0027157529968334323	1774	0.0041350693600777375
LAP3 (ENSG00000002549.12)	30781	61	0.006626437312273574	4028	0.009388984995712021
CD99 (ENSG00000002586.18_PAR_Y)	50131	2	0.00021726023974667452	2	4.661859481485612e-06
HS3ST1 (ENSG00000002587.9)	36506	2	0.00021726023974667452	2	4.661859481485612e-06
AOC1 (ENSG00000002726.20)	36878	1	0.00010863011987333729	2	4.661859481485612e-06
HECW1 (ENSG00000002746.14)	450978	7	0.0007604108391133608	8	1.8647437925942447e-05
MAD1L1 (ENSG00000002822.15)	417377	77	0.00836451923024697	1853	0.004319212809596419
LASP1 (ENSG00000002834.17)	51848	104	0.011297532466827076	4772	0.01112319672282467
SNX11 (ENSG00000002919.14)	19718	47	0.005105615634046852	2016	0.004699154357337496
TMEM176A (ENSG00000002933.7)	4718	2	0.00021726023974667452	3	6.992789222228418e-06
M6PR (ENSG00000003056.7)	9593	66	0.0071695879116402605	3774	0.00879692884156335
KLHL13 (ENSG00000003096.14)	219426	8	0.0008690409589866983	73	0.0001701578710742248
ICA1 (ENSG00000003147.17)	149504	8	0.0008690409589866983	672	0.0015663847857791654
ALS2 (ENSG00000003393.14)	80636	35	0.0038020541955668045	1967	0.0045849388000410995
CASP10 (ENSG00000003400.14)	46526	2	0.00021726023974667452	78	0.00018181251977793884
CFLAR (ENSG00000003402.19)	60521	167	0.018141230018847324	9154	0.021337330846759643
TFPI (ENSG00000003436.15)	101531	7	0.0007604108391133608	433	0.0010092925777416349
NDUFAF7 (ENSG00000003509.15)	21773	19	0.0020639722775934086	886	0.002065203750298126
RBM5 (ENSG00000003756.16)	20276	51	0.005540136113540201	2410	0.0056175406751901615
ARF5 (ENSG00000004059.10)	3361	76	0.008255889110373634	4823	0.011242074139602551
SARM1 (ENSG00000004139.13)	39387	19	0.0020639722775934086	910	0.0021211460640759533
POLDIP2 (ENSG00000004142.11)	10346	143	0.015534107141887231	7342	0.01711368615653368
PLXND1 (ENSG00000004399.12)	51644	11	0.00119493131860671	831	0.0019370026145572718
AK2 (ENSG00000004455.16)	72712	111	0.012057943305940438	6313	0.014715159453309331
CD38 (ENSG00000004468.12)	74956	20	0.0021726023974667453	819	0.001909031457668358
FKBP4 (ENSG00000004478.7)	10471	147	0.015968627621380578	7524	0.017537915369348872
KDM1A (ENSG00000004487.15)	64174	85	0.009233560189233669	4841	0.011284030874935923
RBM6 (ENSG00000004534.14)	158739	116	0.012601093905307123	6177	0.014398153008568313
CAMKK1 (ENSG00000004660.14)	34577	1	0.00010863011987333729	7	1.631650818519964e-05
RECQL (ENSG00000004700.15)	32759	54	0.005866026473160213	2410	0.0056175406751901615
VPS50 (ENSG00000004766.15)	128782	14	0.001520821678226722	1094	0.0025500371363726296
HSPB6 (ENSG00000004776.12)	3511	5	0.0005431505993666863	49	0.00011421555729639748
ARHGAP33 (ENSG00000004777.18)	14291	9	0.0009776710788600355	424	0.0009883142100749495
NDUFAB1 (ENSG00000004779.9)	15355	70	0.007604108391133609	4105	0.00956846658574922
SLC22A16 (ENSG00000004809.13)	51647	1	0.00010863011987333729	1	2.330929740742806e-06
ZMYND10 (ENSG00000004838.13)	5743	1	0.00010863011987333729	1	2.330929740742806e-06
ABCB5 (ENSG00000004846.16)	161832	3	0.00032589035962001184	3	6.992789222228418e-06
SLC25A13 (ENSG00000004864.13)	201833	41	0.004453834914806829	2129	0.004962549418041433
