Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides U2932_L1_rep1,Peptides U2932_L1_rep2,Razor + unique peptides U2932_L1_rep1,Razor + unique peptides U2932_L1_rep2,Unique peptides U2932_L1_rep1,Unique peptides U2932_L1_rep2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L U2932_L1_rep1,Ratio H/L normalized U2932_L1_rep1,Ratio H/L variability [%] U2932_L1_rep1,Ratio H/L count U2932_L1_rep1,Ratio H/L iso-count U2932_L1_rep1,Ratio H/L type U2932_L1_rep1,Ratio H/L U2932_L1_rep2,Ratio H/L normalized U2932_L1_rep2,Ratio H/L variability [%] U2932_L1_rep2,Ratio H/L count U2932_L1_rep2,Ratio H/L iso-count U2932_L1_rep2,Ratio H/L type U2932_L1_rep2,Sequence coverage U2932_L1_rep1 [%],Sequence coverage U2932_L1_rep2 [%],Intensity,Intensity L,Intensity H,Intensity U2932_L1_rep1,Intensity L U2932_L1_rep1,Intensity H U2932_L1_rep1,Intensity U2932_L1_rep2,Intensity L U2932_L1_rep2,Intensity H U2932_L1_rep2,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (N) site IDs,Oxidation (M) site IDs,Deamidation (N) site positions,Oxidation (M) site positions
Q7L2H7;J3KNJ2;E9PN86,Q7L2H7;J3KNJ2,7;6;2,7;6;2,2;2;2,Eukaryotic translation initiation factor 3 subunit M,EIF3M,>sp|Q7L2H7|EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens GN=EIF3M PE=1 SV=1;>tr|J3KNJ2|J3KNJ2_HUMAN Eukaryotic translation initiation factor 3 subunit M (Fragment) OS=Homo sapiens GN=EIF3M PE=2 SV=1,3,7,7,2,5,5,5,5,2,2,25.4,25.4,8.6,42.502,374,374;191;102,0,75.193,44.425,56.936,76.078,5,0,Median,44.425,56.936,75.679,3,0,Median,11.853,17.209,111.6,7,5,Median,15.2,21.4,3757100000,146970000,3610100000,1886300000,58910000,1827400000,1870800000,88056000,1782800000,,,,1369,447;4742;4743;4893;5945;7428;7898,True;True;True;True;True;True;True,456;4857;4858;5013;5014;6115;7624;8112,1264;14359;14360;14361;14362;14742;14743;14744;14745;14746;17891;17892;22327;22328;22329;24161,1940;22212;22213;22214;22215;22751;22752;22753;22754;22755;27342;27343;33978;33979;33980;33981;36721,1940;22212;22215;22755;27343;33978;36721,,218,,113
B0QY89;Q9Y262;B4DQF6;Q9Y262-2;B3KPB9;B0QY90;B3KNG0;Q8N7H0;Q7Z5X3;C9JHP4;C9K0Q7;B4DEH4;H7C3A0,B0QY89;Q9Y262;B4DQF6;Q9Y262-2;B3KPB9;B0QY90;B3KNG0,21;21;20;20;19;16;12;10;7;6;6;6;5,21;21;20;20;19;16;12;10;7;6;6;6;5,21;21;20;20;19;16;12;10;7;6;6;6;5,Eukaryotic translation initiation factor 3 subunit L,EIF3L,>tr|B0QY89|B0QY89_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=2 SV=1;>sp|Q9Y262|EIF3L_HUMAN Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3L PE=1 SV=1;>tr|B4DQF6|B4DQF6_HUMAN Eukaryoti,13,21,21,21,17,19,17,19,17,19,35.1,35.1,35.1,70.901,607,607;564;531;516;607;466;297;297;188;150;183;222;127,0,323.31,41.241,50.055,55.632,71,0,Median,16.131,24.538,58.847,35,0,Median,42.523,52.623,52.972,36,0,Median,29.8,32.9,31792000000,1322100000,30470000000,17679000000,767000000,16912000000,14113000000,555110000,13558000000,,,,211,1739;2094;3110;3460;3620;3997;4117;4451;5235;5275;5363;6013;6412;7395;7585;7611;7795;7796;8025;8043;8190,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1787;2146;3178;3536;3704;4092;4212;4553;5362;5412;5508;6185;6588;7590;7785;7815;8007;8008;8245;8263;8414,5246;5247;6188;6189;6190;9198;9199;9200;9201;9202;9203;9204;10196;10742;10743;10744;12026;12369;12370;12371;13364;13365;13366;13367;13368;13369;13370;13371;13372;13373;13374;13375;15951;16048;16280;18079;18080;19280;19281;19282;19283;19284;19285;22231;22232;22233;22234;22235;22236;23202;23203;23204;23270;23271;23272;23273;23274;23275;23276;23277;23892;23893;23894;23895;23896;23897;23898;23899;23900;23901;23902;23903;23904;24587;24588;24589;24590;24591;24592;24593;24594;24595;24596;24662;24663;24664;24665;24666;24667;24668;24669;24670;24671;25040;25041;25042;25043;25044;25045,8160;8161;8162;9551;9552;9553;9554;9555;14163;14164;14165;14166;14167;14168;14169;14170;14171;14172;14173;14174;14175;14176;15713;16619;16620;16621;18582;19092;19093;19094;19095;20635;20636;20637;20638;20639;20640;20641;20642;20643;20644;20645;20646;20647;20648;20649;20650;20651;20652;20653;20654;20655;20656;20657;20658;20659;20660;20661;20662;24494;24626;24973;27600;27601;29407;29408;29409;29410;29411;29412;29413;29414;29415;29416;29417;29418;29419;29420;33807;33808;33809;33810;33811;33812;33813;33814;33815;33816;33817;33818;33819;33820;35256;35257;35258;35259;35260;35354;35355;35356;35357;35358;35359;35360;35361;35362;35363;35364;35365;35366;36313;36314;36315;36316;36317;36318;36319;36320;36321;36322;36323;36324;36325;36326;36327;36328;36329;36330;36331;36332;36333;36334;36335;36336;37349;37350;37351;37352;37353;37354;37355;37356;37357;37358;37359;37360;37361;37362;37363;37364;37365;37366;37367;37368;37502;37503;37504;37505;37506;37507;37508;37509;37510;37511;37512;37513;37514;37515;37516;37517;37518;37519;37520;38037;38038;38039;38040;38041;38042;38043;38044;38045;38046;38047;38048;38049;38050;38051;38052;38053;38054;38055,8161;9552;14173;15713;16621;18582;19092;20653;24494;24626;24973;27600;29407;33811;35257;35355;36314;36331;37352;37514;38053,,19;20,,311;513
B4DJI2;P28799;K7EKL3;P28799-3;P28799-2;K7EMR1;K7EQ05;B4E1G5,B4DJI2;P28799;K7EKL3;P28799-3;P28799-2,3;3;2;2;2;1;1;1,3;3;2;2;2;1;1;1,3;3;2;2;2;1;1;1,Granulins;Acrogranin;Paragranulin;Granulin-1;Granulin-2;Granulin-3;Granulin-4;Granulin-5;Granulin-6;Granulin-7,GRN,">tr|B4DJI2|B4DJI2_HUMAN cDNA FLJ53342, highly similar to Granulins OS=Homo sapiens PE=2 SV=1;>sp|P28799|GRN_HUMAN Granulins OS=Homo sapiens GN=GRN PE=1 SV=2;>tr|K7EKL3|K7EKL3_HUMAN Paragranulin (Fragment) OS=Homo sapiens GN=GRN PE=4 SV=1;>sp|P28799-3|GRN_H",8,3,3,3,2,1,2,1,2,1,6,6,6,56.852,530,530;593;388;413;438;172;436;436,0,18.752,27.054,37.66,32.444,2,1,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,1,Median,3.8,2.3,17591000,275110,17316000,13206000,123280,13082000,4385800,151830,4234000,,,,443,838;2633;4788,True;True;True,851;2693;4907,2584;7583;14469,4153;11566;22372,4153;11566;22372,,,,
Q5JSZ5;Q5JSZ5-5;Q5H9R5;B4E3S7;B4E0S7;H3BLU0;Q9BU62;H0Y412;Q5JSZ5-4;Q5JSZ5-2;Q5JSZ5-3;Q5JT00;Q5JSZ9,Q5JSZ5;Q5JSZ5-5,18;13;5;3;3;3;3;3;3;3;3;2;1,17;12;5;3;3;3;2;3;3;3;3;2;1,17;12;5;3;3;3;2;3;3;3;3;2;1,Protein PRRC2B,PRRC2B,>sp|Q5JSZ5|PRC2B_HUMAN Protein PRRC2B OS=Homo sapiens GN=PRRC2B PE=1 SV=2;>sp|Q5JSZ5-5|PRC2B_HUMAN Isoform 1 of Protein PRRC2B OS=Homo sapiens GN=PRRC2B,13,18,17,17,14,11,13,11,13,11,9.4,9.1,9.1,242.96,2229,2229;1535;797;152;172;178;339;588;268;326;327;178;175,0,152.46,26.451,35.468,75.085,23,21,Linear,4.1429,6.4303,61.392,12,11,Median,30.369,42.081,88.382,11,10,Linear,7.2,5.9,996680000,127510000,869170000,471710000,73002000,398710000,524960000,54507000,470460000,,,,1329,571;1188;1350;1763;1886;2822;2853;3325;3433;3871;5505;5688;5903;6121;6457;6467;7304;7998,True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True,582;1220;1387;1811;1935;2883;2914;3398;3509;3962;5660;5850;6073;6295;6633;6643;7498;8217,1643;1644;1645;1646;1647;3657;3658;4098;5295;5711;8248;8318;8319;8320;8321;8322;8323;9848;10116;11617;16690;17161;17162;17796;18470;18471;18472;19376;19391;19392;22027;24509;24510;24511,2515;2516;2517;2518;2519;5797;5798;6512;8232;8848;12615;12716;12717;12718;12719;12720;12721;15186;15599;17970;25596;26255;26256;27214;28222;28223;28224;29542;29559;29560;33518;37240;37241;37242,2518;5797;6512;8232;8848;12615;12720;15186;15599;17970;25596;26255;27214;28222;29542;29560;33518;37240,,,,
Q5U0F4;Q53HU7;Q13347;Q5TFK1;Q9P1D9,Q5U0F4;Q53HU7;Q13347,14;14;14;5;3,14;14;14;5;3,14;14;14;5;3,Eukaryotic translation initiation factor 3 subunit I,EIF3S2;EIF3I,">tr|Q5U0F4|Q5U0F4_HUMAN Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens GN=EIF3S2 PE=2 SV=1;>tr|Q53HU7|Q53HU7_HUMAN Eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa variant (Fragment) OS=Homo sapiens PE=2 SV=1;>sp|Q133",5,14,14,14,13,14,13,14,13,14,44,44,44,36.501,325,325;325;325;125;73,0,137.26,25.031,32.419,53.263,21,0,Median,31.326,44.18,54.558,10,0,Median,25.031,32.419,54.571,11,0,Median,42.8,44,24315000000,695200000,23620000000,14380000000,437730000,13942000000,9935000000,257470000,9677500000,,,,1264,1165;1184;1189;1495;2002;2402;3009;3937;4317;5270;5809;6473;6474;6920,True;True;True;True;True;True;True;True;True;True;True;True;True;True,1195;1215;1216;1221;1536;2053;2458;3076;4029;4417;5405;5406;5407;5974;5975;6649;6650;7103,3596;3597;3645;3646;3647;3659;3660;4469;4470;5992;5993;5994;5995;5996;5997;7006;7007;7008;7009;7010;8944;8945;8946;11823;11824;12974;12975;12976;12977;12978;12979;16035;16036;16037;16038;16039;16040;16041;17531;17532;17533;17534;17535;19406;19407;19408;19409;19410;19411;19412;19413;19414;20853;20854,5703;5704;5777;5778;5779;5780;5781;5799;5800;7030;7031;7032;7033;7034;7035;9260;9261;9262;9263;9264;9265;9266;9267;9268;9269;9270;9271;9272;9273;9274;9275;9276;9277;9278;10703;10704;10705;10706;10707;10708;10709;10710;10711;10712;10713;10714;10715;10716;10717;13760;13761;13762;13763;18251;18252;20017;20018;20019;20020;20021;20022;20023;24608;24609;24610;24611;24612;24613;24614;24615;24616;26826;26827;26828;26829;26830;26831;26832;26833;26834;29580;29581;29582;29583;29584;29585;29586;29587;29588;29589;29590;29591;31727;31728,5704;5778;5799;7030;9262;10703;13763;18252;20020;24609;26829;29584;29591;31728,173;174,191,41;192,1
C9JP03;Q5T6P2;C9JD09;C9JUW9;Q5T6P1;Q7L0J2;Q8ND83-2;Q8ND83-4;Q8ND83,C9JP03;Q5T6P2;C9JD09;C9JUW9;Q5T6P1;Q7L0J2;Q8ND83-2;Q8ND83-4;Q8ND83,1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1,SLAIN motif-containing protein 1,SLAIN1,>tr|C9JP03|C9JP03_HUMAN SLAIN motif-containing protein 1 (Fragment) OS=Homo sapiens GN=SLAIN1 PE=2 SV=1;>tr|Q5T6P2|Q5T6P2_HUMAN SLAIN motif-containing protein 1 (Fragment) OS=Homo sapiens GN=SLAIN1 PE=2 SV=1;>tr|C9JD09|C9JD09_HUMAN SLAIN motif-containing p,9,1,1,1,1,1,1,1,1,1,7.1,7.1,7.1,11.269,99,99;111;135;147;228;364;305;568;568,0,21.016,18.71,29.85,10.955,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,7.1,7.1,115990000,5815900,110180000,61614000,2915400,58698000,54379000,2900500,51478000,,,,655,4865,TRUE,4984,14659;14660,22641;22642,22641,,,,
J3KNB8;F5H538;Q9Y6R4-2;Q9Y6R4;F5H4R1;Q9P1M2;F5H1X6,J3KNB8;F5H538;Q9Y6R4-2;Q9Y6R4;F5H4R1;Q9P1M2,6;6;6;6;4;3;1,6;6;6;6;4;3;1,6;6;6;6;4;3;1,Mitogen-activated protein kinase kinase kinase 4,MAP3K4,>tr|J3KNB8|J3KNB8_HUMAN Mitogen-activated protein kinase kinase kinase 4 OS=Homo sapiens GN=MAP3K4 PE=2 SV=1;>tr|F5H538|F5H538_HUMAN Mitogen-activated protein kinase kinase kinase 4 OS=Homo sapiens GN=MAP3K4 PE=2 SV=1;>sp|Q9Y6R4-2|M3K4_HUMAN Isoform 2 of M,7,6,6,6,4,4,4,4,4,4,4.6,4.6,4.6,176.57,1554,1554;1604;1558;1608;1442;544;636,0,41.47,17.658,29.059,85.115,3,0,Median,17.658,29.059,174.74,3,1,Median,6.8249,10.176,142.42,4,3,Median,3.1,3.2,159010000,16426000,142580000,79181000,8122500,71058000,79825000,8303700,71522000,,,,793,3586;4154;4394;5622;5816;7841,True;True;True;True;True;True,3667;4249;4494;5783;5983;8054,10628;12458;13184;13185;17002;17564;17565;24018,16387;19221;20369;20370;26031;26866;26867;36504,16387;19221;20370;26031;26867;36504,,,,
E7EX73;B4DSI9;E9PGM1;E7EUU4;B4DGF1;B2RU10;B2RU06;Q4LE58;Q04637-6;Q04637-7;Q04637-5;Q04637-4;Q04637-3;Q04637;Q04637-8;Q04637-9;C9JF13;Q96I65;C9J6B6;C9K073;C9J2Z7;H7C0V6;H7C044;C9JWH7;C9J556;REV__Q8NEG2-2;C9JSU8;C9JWW9;REV__Q8NEG2;REV__F5H7J8;REV__Q86XB5;REV__C9JQZ6;REV__J3KQX6,E7EX73;B4DSI9;E9PGM1;E7EUU4;B4DGF1;B2RU10;B2RU06;Q4LE58;Q04637-6;Q04637-7;Q04637-5;Q04637-4;Q04637-3;Q04637;Q04637-8;Q04637-9;C9JF13,31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;16;15;15;12;10;4;4;1;1;1;1;1;1;1;1;1;1,31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;16;15;15;12;10;4;4;1;1;1;1;1;1;1;1;1;1,30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;15;15;15;12;10;4;4;1;1;1;1;1;1;1;1;1;1,Eukaryotic translation initiation factor 4 gamma 1,EIF4G1;EIF4G1 variant protein,">tr|E7EX73|E7EX73_HUMAN Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens GN=EIF4G1 PE=2 SV=1;>tr|B4DSI9|B4DSI9_HUMAN cDNA FLJ56483, highly similar to Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens PE=2 SV=1;>tr|E9PGM1|",33,31,31,30,24,25,24,25,23,24,21.1,21.1,20.3,158.64,1436,1436;1512;1513;1560;1566;1606;1606;1624;1403;1404;1435;1512;1559;1599;1600;1606;903;645;757;869;834;180;226;127;143;153;163;285;295;295;296;324;340,0,258.96,18.739,27.848,50.948,35,0,Median,16.44,26.39,54.151,22,0,Median,28.48,43.543,44.363,13,0,Median,15.9,17.6,11588000000,505810000,11083000000,6312000000,291290000,6020700000,5276500000,214520000,5061900000,,,,322,55;56;76;472;1057;1330;1393;1394;1472;1479;1807;2385;2390;2652;2698;2829;3247;3694;3809;4540;4548;5381;5681;6005;6098;6398;6733;6886;7583;7960;7961,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,55;56;77;482;1078;1366;1430;1431;1513;1520;1855;2441;2446;2712;2758;2890;3319;3780;3898;4648;4656;5530;5531;5843;6177;6272;6574;6913;7068;7783;8179;8180,134;135;136;137;138;139;140;184;185;186;1320;1321;1322;1323;1324;1325;1326;1327;3197;4044;4045;4046;4047;4048;4049;4213;4214;4215;4216;4217;4218;4433;4444;5464;5465;5466;5467;6969;6970;6971;6987;6988;6989;7623;7757;7758;7759;7760;8261;8262;9666;9667;9668;9669;9670;9671;9672;10921;10922;11409;13726;13727;13728;13729;13730;13731;13732;13733;13746;13747;16346;16347;16348;16349;16350;16351;16352;16353;16354;16355;17149;18063;18390;19234;20208;20656;23199;23200;24374;24375;24376;24377;24378;24379;24380;24381,206;207;208;209;210;211;212;277;278;279;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;5042;6419;6420;6421;6422;6423;6424;6425;6426;6427;6428;6429;6430;6431;6674;6675;6676;6677;6678;6679;6680;6681;6982;6997;8484;8485;8486;8487;10653;10654;10655;10656;10676;10677;10678;10679;10680;10681;11626;11811;11812;11813;11814;11815;11816;12633;12634;12635;14900;14901;14902;14903;14904;14905;14906;14907;14908;16876;16877;17658;21207;21208;21209;21210;21211;21212;21213;21214;21215;21235;21236;25069;25070;25071;25072;25073;25074;25075;25076;25077;25078;26240;27578;28114;29335;30749;31415;35253;35254;37031;37032;37033;37034;37035;37036;37037;37038,207;211;279;2016;5042;6427;6678;6681;6982;6997;8487;10653;10676;11626;11812;12633;14906;16877;17658;21213;21235;25072;26240;27578;28114;29335;30749;31415;35253;37033;37038,46,,763,
B5BTY4;Q59GX6;O00571;O00571-2;B4DXX7;O15523;Q5S4N1;B4DLU5;B4E010;B4E132;B4E3C4;B4DK29;B4DLA0;C9J081;C9J8G5;D6RCM4;Q9NQI0-3;Q9NQI0-2;Q9NQI0-4;Q9NQI0;H0Y960,B5BTY4;Q59GX6;O00571;O00571-2;B4DXX7;O15523;Q5S4N1;B4DLU5,37;37;37;36;26;26;23;23;17;16;8;8;5;5;4;2;2;2;2;2;1,37;37;37;36;26;26;23;23;17;16;8;8;5;5;4;2;2;2;2;2;1,37;37;37;36;26;26;23;23;17;16;8;8;5;5;4;2;2;2;2;2;1,ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y,DDX3X;DDX3Y,>tr|B5BTY4|B5BTY4_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=2 SV=1;>tr|Q59GX6|Q59GX6_HUMAN DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3 variant (Fragment) OS=Homo sapiens PE=2 SV=1;>sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicas,21,37,37,37,32,29,32,29,32,29,55,55,55,73.171,662,662;674;662;646;657;660;362;532;410;407;308;291;139;250;224;518;575;690;704;724;305,0,323.31,17.662,27.367,73.604,90,0,Median,17.786,22.58,90.393,45,0,Median,17.461,32.271,44.206,45,0,Median,49.1,44.7,1.108E+11,4791500000,1.0601E+11,60952000000,2539900000,58412000000,49851000000,2251600000,47599000000,,,,576,925;966;1056;1130;1138;1208;1231;1433;1624;1625;2154;2263;2371;2480;2761;3005;3212;3577;3740;3988;4287;5121;5753;6015;6131;6383;6403;6460;6701;6774;7640;7649;7650;8003;8176;8177;8402,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,940;984;1077;1153;1161;1162;1241;1265;1470;1669;1670;2209;2318;2427;2536;2821;3072;3282;3658;3827;4083;4386;5247;5916;5917;6187;6305;6559;6579;6636;6880;6955;7844;7853;7854;8222;8400;8401;8632,2827;2828;2829;2937;3190;3191;3192;3193;3194;3195;3196;3451;3452;3453;3454;3455;3456;3475;3476;3477;3714;3715;3716;3717;3718;3719;3720;3721;3722;3723;3724;3725;3773;3774;3775;3776;3777;4294;4295;4905;4906;4907;4908;4909;4910;6336;6337;6338;6339;6587;6588;6589;6590;6591;6592;6593;6594;6595;6596;6597;6598;6599;6600;6601;6602;6603;6604;6605;6932;7185;7186;7187;7188;7997;8930;8931;8932;8933;8934;8935;8936;8937;8938;8939;9560;10603;10604;11102;12001;12002;12003;12004;12005;12006;12007;12891;12892;12893;15586;17308;17309;18087;18088;18494;18495;19201;19202;19242;19243;19379;20088;20089;20090;20091;20092;20093;20094;20095;20096;20097;20098;20099;20100;20101;20102;20103;20104;20105;20106;20107;20108;20109;20110;20111;20112;20113;20114;20115;20116;20117;20118;20119;20120;20121;20122;20123;20124;20125;20126;20127;20128;20403;20404;23367;23368;23369;23370;23371;23372;23373;23374;23375;23376;23396;23397;24523;24524;25004;25005;25006;25007;25008;25009;25010;25011;25012;25013;25014;25015;25580;25581;25582;25583;25584;25585;25586;25587;25588;25589,4505;4506;4507;4508;4509;4510;4511;4666;4667;4668;5035;5036;5037;5038;5039;5040;5041;5428;5429;5430;5431;5432;5433;5434;5435;5436;5437;5438;5439;5440;5441;5442;5443;5444;5445;5446;5447;5448;5449;5450;5451;5474;5475;5476;5871;5872;5873;5874;5875;5876;5877;5878;5879;5880;5881;5882;5883;5884;5885;5886;5953;5954;5955;5956;5957;5958;5959;5960;5961;5962;5963;5964;5965;5966;6780;6781;6782;6783;7674;7675;7676;7677;7678;7679;7680;7681;7682;9757;9758;9759;9760;9761;10087;10088;10089;10090;10091;10092;10093;10094;10095;10096;10097;10098;10099;10100;10101;10102;10103;10104;10105;10106;10107;10108;10109;10110;10111;10112;10113;10114;10115;10116;10117;10118;10119;10120;10121;10122;10123;10124;10125;10126;10127;10128;10605;10972;10973;10974;10975;10976;12203;13738;13739;13740;13741;13742;13743;13744;13745;13746;13747;13748;13749;13750;13751;13752;13753;13754;13755;14747;16353;16354;16355;17129;18544;18545;18546;18547;18548;18549;18550;18551;18552;18553;19908;19909;19910;19911;19912;19913;19914;23930;26443;26444;26445;27609;27610;27611;28255;28256;29290;29291;29346;29347;29348;29349;29545;30559;30560;30561;30562;30563;30564;30565;30566;30567;30568;30569;30570;30571;30572;30573;30574;30575;30576;30577;30578;30579;30580;30581;30582;30583;30584;30585;30586;30587;30588;30589;30590;30591;30592;30593;30594;30595;30596;30597;30598;30599;30600;30601;30602;30603;30604;30605;30606;30607;30608;30609;30610;30611;30612;30613;30614;30615;30616;30617;30618;30619;30620;30621;30622;30623;30624;30625;30626;30627;30628;30629;30630;30631;30632;30633;30634;30635;30636;30637;30638;30639;30640;31062;31063;35497;35498;35499;35500;35501;35502;35503;35504;35505;35506;35507;35508;35534;35535;37260;37261;37989;37990;37991;37992;37993;37994;37995;37996;37997;37998;37999;38000;38001;38002;38846;38847;38848;38849;38850;38851;38852;38853;38854;38855;38856;38857;38858;38859;38860;38861;38862;38863;38864;38865;38866;38867;38868;38869;38870;38871,4505;4666;5036;5444;5476;5872;5959;6781;7679;7682;9760;10111;10605;10972;12203;13742;14747;16355;17129;18548;19910;23930;26444;27611;28256;29290;29346;29545;30591;31063;35504;35534;35535;37260;37989;37994;38856,,75;76;77;78;79,,221;330;331;370;574
B4DVQ5;A1KYQ7;H3BRV0;B4E1D5;Q99613;B4DVU3;B4DDN4;B5ME19;B4DRU0;B4E2Z6;B3KNZ4;Q3B7B9;H3BPE4;H3BPE3;H3BTY8,B4DVQ5;A1KYQ7;H3BRV0;B4E1D5;Q99613;B4DVU3;B4DDN4;B5ME19;B4DRU0;B4E2Z6;B3KNZ4,23;23;23;23;23;22;22;22;20;18;17;6;5;3;2,23;23;23;23;23;22;22;22;20;18;17;6;5;3;2,23;23;23;23;23;22;22;22;20;18;17;6;5;3;2,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,>tr|B4DVQ5|B4DVQ5_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=2 SV=1;>tr|A1KYQ7|A1KYQ7_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens GN=EIF3C PE=2 SV=1;>tr|H3BRV0|H3BRV0_HUMAN Eukaryot,15,23,23,23,19,19,19,19,19,19,24.3,24.3,24.3,103.64,898,898;913;903;903;913;761;792;914;735;784;699;252;148;133;80,0,245.98,16.14,26.037,72.87,58,0,Median,16.276,25.957,69.903,26,0,Median,16.007,26.211,76.237,32,0,Median,22,20.9,30087000000,1524600000,28562000000,17572000000,860920000,16711000000,12515000000,663710000,11851000000,,,,11,907;947;961;1665;1986;2264;2662;2663;3818;4205;4417;4758;5780;5888;5908;6077;6560;6561;6970;6973;7014;8181;8182,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,921;922;965;979;1712;2035;2319;2722;2723;3907;4301;4516;4517;4875;5944;6057;6078;6251;6737;6738;7154;7157;7198;8405;8406,2761;2762;2763;2764;2765;2766;2767;2768;2769;2770;2771;2772;2773;2774;2775;2776;2777;2778;2779;2780;2781;2891;2924;2925;2926;2927;2928;2929;2930;5038;5039;5040;5041;5042;5043;5044;5045;5046;5047;5048;5049;5050;5051;5052;5053;5950;5951;5952;5953;5954;5955;5956;6606;6607;6608;6609;6610;6611;6612;6613;6614;7647;7648;7649;7650;7651;7652;7653;7654;7655;7656;11451;12622;13219;13220;13221;13222;13223;13224;13225;13226;13227;13228;13229;13230;13231;13232;13233;13234;13235;13236;13237;14396;14397;14398;14399;14400;14401;14402;14403;14404;14405;14406;17439;17440;17441;17748;17749;17750;17807;17808;17809;17810;17811;17812;17813;17814;17815;17816;17817;17818;17819;18288;19679;19680;19681;19682;21042;21043;21044;21045;21049;21050;21051;21052;21053;21054;21055;21056;21057;21058;21150;21151;21152;25022;25023;25024,4403;4404;4405;4406;4407;4408;4409;4410;4411;4412;4413;4414;4415;4416;4417;4418;4419;4420;4421;4422;4423;4424;4425;4426;4427;4428;4429;4430;4431;4432;4433;4434;4435;4436;4437;4600;4645;4646;4647;4648;4649;4650;4651;4652;4653;7862;7863;7864;7865;7866;7867;7868;7869;7870;7871;7872;7873;7874;7875;7876;7877;7878;7879;7880;7881;7882;7883;7884;7885;7886;7887;7888;7889;7890;7891;7892;7893;7894;7895;7896;7897;7898;7899;7900;9187;9188;9189;9190;9191;9192;9193;9194;9195;9196;9197;9198;9199;9200;9201;9202;9203;9204;9205;9206;9207;9208;9209;9210;10129;10130;10131;10132;10133;10134;10135;10136;10137;10138;10139;10140;10141;10142;10143;10144;10145;10146;10147;10148;10149;11655;11656;11657;11658;11659;11660;11661;11662;11663;11664;11665;11666;11667;11668;11669;17718;19481;20414;20415;20416;20417;20418;20419;20420;20421;20422;20423;20424;20425;20426;20427;20428;20429;20430;20431;20432;20433;20434;20435;20436;20437;20438;20439;20440;22266;22267;22268;22269;22270;22271;22272;22273;22274;22275;22276;22277;22278;22279;22280;22281;22282;26709;26710;26711;27123;27124;27125;27227;27228;27229;27230;27231;27232;27233;27234;27235;27236;27237;27238;27239;27240;27241;27932;27933;29973;29974;29975;29976;32029;32030;32031;32032;32033;32034;32035;32036;32037;32038;32042;32043;32044;32045;32046;32047;32048;32049;32050;32051;32052;32171;32172;32173;32174;38010;38011;38012;38013;38014,4430;4600;4645;7897;9188;10135;11660;11669;17718;19481;20423;22277;26709;27123;27238;27932;29973;29976;32030;32047;32171;38010;38012,0;1;2,,616;854;855,
